target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_F1_2022S-01,2022-11-22 08:26:40.005,2022-11-22 08:36:40.005,10.0,19h41m57.79s,-71d07m07.4s,{'filter': 'R'},120,3
TransitionBlock,2022-11-22 08:36:40.005,2022-11-22 08:39:20.005,2.67,,,[],,
395P_2022S-01,2022-11-22 08:39:20.005,2022-11-22 08:49:20.005,10.0,22h59m58.35s,-3d36m35.8s,{'filter': 'R'},120,3
TransitionBlock,2022-11-22 08:49:20.005,2022-11-22 08:49:40.005,0.33,,,[],,
445P_2022S-01,2022-11-22 08:49:40.005,2022-11-22 08:56:00.005,6.33,23h17m39.2s,-5d52m52.4s,{'filter': 'R'},300,1
TransitionBlock,2022-11-22 08:56:00.005,2022-11-22 08:57:20.005,1.33,,,[],,
A2021_X2_2022S-01,2022-11-22 09:01:20.007,2022-11-22 09:11:20.007,10.0,0h32m10.61s,-35d44m46.9s,{'filter': 'R'},120,3
TransitionBlock,2022-11-22 09:11:20.007,2022-11-22 09:12:40.007,1.33,,,[],,
382P_2022S-01,2022-11-22 09:12:40.007,2022-11-22 09:22:40.007,10.0,0h33m44.82s,-0d40m36.7s,{'filter': 'R'},120,3
TransitionBlock,2022-11-22 09:22:40.007,2022-11-22 09:24:20.007,1.67,,,[],,
C2020_T2_2022S-01,2022-11-22 09:24:20.007,2022-11-22 09:30:40.007,6.33,22h36m28.71s,-38d11m12.7s,{'filter': 'R'},300,1
TransitionBlock,2022-11-22 09:30:40.007,2022-11-22 09:32:20.007,1.67,,,[],,
2022jzx_2022S-05,2022-11-22 09:33:00.008,2022-11-22 09:39:20.008,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-22 09:39:20.008,2022-11-22 09:40:00.008,0.67,,,[],,
2060_2022S-01,2022-11-22 09:40:00.008,2022-11-22 09:50:00.008,10.0,0h41m25.77s,+6d29m28.3s,{'filter': 'R'},120,3
TransitionBlock,2022-11-22 09:50:00.008,2022-11-22 09:51:00.008,1.0,,,[],,
2022wxo_2022S-05,2022-11-22 09:51:20.008,2022-11-22 09:57:40.008,6.33,1h56m17.67s,-7d41m58.09992s,{'filter': 'R'},300,1
TransitionBlock,2022-11-22 09:57:40.008,2022-11-22 09:58:00.008,0.33,,,[],,
C2021_T4_2022S-01,2022-11-22 09:58:20.009,2022-11-22 10:15:00.009,16.67,1h32m41.82s,-10d55m25.6s,{'filter': 'R'},20,10
TransitionBlock,2022-11-22 10:15:00.009,2022-11-22 10:17:00.009,2.0,,,[],,
73P-BU_2022S-01,2022-11-22 10:17:00.009,2022-11-22 10:59:00.009,42.0,21h30m36.1s,-27d01m16.6s,{'filter': 'R'},60,18
TransitionBlock,2022-11-22 10:59:00.009,2022-11-22 11:01:00.009,2.0,,,[],,
C2019_F1_2022S-01,2022-11-22 11:01:00.009,2022-11-22 11:15:40.009,14.67,1h22m41.96s,-24d03m23.2s,{'filter': 'R'},30,8
TransitionBlock,2022-11-22 11:15:40.009,2022-11-22 11:16:40.009,1.0,,,[],,
22P_2022S-01,2022-11-22 11:16:40.009,2022-11-22 11:31:20.009,14.67,0h46m27.62s,-2d05m27.3s,{'filter': 'R'},30,8
TransitionBlock,2022-11-22 11:31:20.009,2022-11-22 11:32:20.009,1.0,,,[],,
P2021_R1_2022S-01,2022-11-22 11:32:20.009,2022-11-22 11:38:40.009,6.33,2h18m00.74s,+6d55m00.5s,{'filter': 'R'},300,1
TransitionBlock,2022-11-22 11:38:40.009,2022-11-22 11:40:00.009,1.33,,,[],,
