target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-01-22 08:49:40.006,2023-01-22 09:31:40.006,42.0,1h16m41.35s,-16d03m48.9s,{'filter': 'R'},60,18
TransitionBlock,2023-01-22 09:31:40.006,2023-01-22 09:33:20.006,1.67,,,[],,
C2014_UN271_22S01,2023-01-22 09:33:20.006,2023-01-22 09:40:20.006,7.0,2h27m32.87s,-60d01m45.1s,{'filter': 'R'},60,3
TransitionBlock,2023-01-22 09:40:20.006,2023-01-22 09:43:40.006,3.33,,,['filter:R to V'],,
2022ydv_22S02,2023-01-22 09:43:40.006,2023-01-22 09:48:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-22 09:48:00.006,2023-01-22 09:49:20.006,1.33,,,[],,
2022ydu_22S02,2023-01-22 09:49:20.006,2023-01-22 09:53:40.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-22 09:53:40.006,2023-01-22 09:54:00.006,0.33,,,[],,
2022tiv_22S02,2023-01-22 09:54:00.006,2023-01-22 09:58:20.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-22 09:58:20.006,2023-01-22 09:59:40.006,1.33,,,[],,
2021aefx_22S02,2023-01-22 09:59:40.006,2023-01-22 10:04:00.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-22 10:04:00.006,2023-01-22 10:08:00.006,4.0,,,['filter:V to R'],,
C2022_F1_22S01,2023-01-22 10:08:00.006,2023-01-22 10:11:20.006,3.33,21h28m15.42s,-62d08m34s,{'filter': 'R'},120,1
TransitionBlock,2023-01-22 10:11:20.006,2023-01-22 10:12:40.006,1.33,,,[],,
C2019_E3_22S01,2023-01-22 10:13:40.009,2023-01-22 10:55:40.009,42.0,6h03m09.1s,-76d19m33.4s,{'filter': 'R'},60,18
TransitionBlock,2023-01-22 10:55:40.009,2023-01-22 10:57:00.009,1.33,,,[],,
C2021_S3_22S01,2023-01-22 10:57:00.009,2023-01-22 11:47:00.009,50.0,5h27m04.08s,-38d04m49.9s,{'filter': 'R'},20,30
TransitionBlock,2023-01-22 11:47:00.009,2023-01-22 11:48:00.009,1.0,,,[],,
C2022_R6_22S01,2023-01-22 11:48:00.009,2023-01-22 11:51:20.009,3.33,3h11m45.8s,-40d23m17.4s,{'filter': 'R'},120,1
TransitionBlock,2023-01-22 11:51:20.009,2023-01-22 11:53:20.009,2.0,,,[],,
C2021_E3_22S01,2023-01-22 11:54:20.013,2023-01-22 12:44:20.013,50.0,7h46m33.15s,-37d31m01.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-22 12:44:20.013,2023-01-22 12:45:00.013,0.67,,,[],,
2022acwj_22S05,2023-01-22 12:45:40.015,2023-01-22 12:52:00.015,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-22 12:52:00.015,2023-01-22 12:53:40.015,1.67,,,[],,
C2021_A9_22S01,2023-01-22 12:54:00.015,2023-01-22 12:57:20.015,3.33,8h22m37.05s,+14d21m00.7s,{'filter': 'R'},120,1
TransitionBlock,2023-01-22 12:57:20.015,2023-01-22 12:59:20.015,2.0,,,[],,
C2021_G2_22S01,2023-01-22 13:01:40.015,2023-01-22 13:51:40.015,50.0,9h05m16.18s,-39d23m11.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-22 13:51:40.015,2023-01-22 13:52:00.015,0.33,,,[],,
C2019_L3_22S01,2023-01-22 13:52:20.017,2023-01-22 14:42:20.017,50.0,9h44m45.32s,-33d30m44.7s,{'filter': 'R'},20,30
TransitionBlock,2023-01-22 14:42:20.017,2023-01-22 14:43:20.017,1.0,,,[],,
2022abdh_22S05,2023-01-22 14:43:20.017,2023-01-22 14:49:40.017,6.33,8h39m08.044992s,-8d51m47.66004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-22 14:49:40.017,2023-01-22 14:51:00.017,1.33,,,[],,
2022aduk_22S05,2023-01-22 14:52:40.020,2023-01-22 14:59:00.020,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-22 14:59:00.020,2023-01-22 15:02:20.020,3.33,,,[],,
C2021_P4_22S01,2023-01-22 15:02:40.020,2023-01-22 15:10:00.020,7.33,19h36m59.11s,-64d45m08.8s,{'filter': 'R'},30,4
TransitionBlock,2023-01-22 15:10:00.020,2023-01-22 15:11:00.020,1.0,,,[],,
C2021_C5_22S01,2023-01-22 15:11:20.020,2023-01-22 15:57:20.020,46.0,15h30m37.31s,-65d37m02s,{'filter': 'R'},30,25
TransitionBlock,2023-01-22 15:57:20.020,2023-01-22 16:00:00.020,2.67,,,[],,
A2019_U5_22S01,2023-01-22 16:00:20.022,2023-01-22 16:42:20.022,42.0,13h43m19.22s,+2d00m22.1s,{'filter': 'R'},60,18
TransitionBlock,2023-01-22 16:42:20.022,2023-01-22 16:43:40.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-22 16:44:00.024,2023-01-22 16:50:20.024,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
