target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_JK5_22S01,2025-01-06 08:59:20.007,2025-01-06 21:59:20.007000,2025-01-06 09:01:20.007,2025-01-06 22:01:20.007000,1.999999999999993,2h30m37.56s,+10d35m06.1s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.07}",120,1
TransitionBlock,2025-01-06 09:01:20.007,2025-01-06 22:01:20.007000,2025-01-06 09:04:00.007,2025-01-06 22:04:00.007000,2.6666666666666305,,,[],,
C2022_E3_22S01,2025-01-06 09:04:00.007,2025-01-06 22:04:00.007000,2025-01-06 09:06:00.007,2025-01-06 22:06:00.007000,1.999999999999993,2h08m00.84s,-61d21m42.5s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.3}",120,1
TransitionBlock,2025-01-06 09:06:00.007,2025-01-06 22:06:00.007000,2025-01-06 09:06:40.007,2025-01-06 22:06:40.007000,0.6666666666666377,,,[],,
C2014_UN271_22S01,2025-01-06 09:08:40.007,2025-01-06 22:08:40.007000,2025-01-06 09:11:00.007,2025-01-06 22:11:00.007000,2.3333333333333517,3h36m16.5s,-70d11m01.6s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.11}",30,4
TransitionBlock,2025-01-06 09:11:00.007,2025-01-06 22:11:00.007000,2025-01-06 09:12:00.007,2025-01-06 22:12:00.007000,0.9999999999999964,,,[],,
C2022_A3_22S01,2025-01-06 09:12:00.007,2025-01-06 22:12:00.007000,2025-01-06 09:14:00.007,2025-01-06 22:14:00.007000,1.999999999999993,22h58m19.08s,-62d01m40.4s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.54}",120,1
TransitionBlock,2025-01-06 09:14:00.007,2025-01-06 22:14:00.007000,2025-01-06 09:15:00.007,2025-01-06 22:15:00.007000,0.9999999999999964,,,[],,
C2024_T5_22S01,2025-01-06 09:15:00.007,2025-01-06 22:15:00.007000,2025-01-06 09:37:40.007,2025-01-06 22:37:40.007000,22.66666666666664,0h57m24.59s,-49d06m18.4s,"{'filter': 'R', 'magnitude': 18, 'rate (""/min)': 0.3}",120,11
TransitionBlock,2025-01-06 09:37:40.007,2025-01-06 22:37:40.007000,2025-01-06 09:38:20.007,2025-01-06 22:38:20.007000,0.6666666666666377,,,[],,
C2019_E3_22S01,2025-01-06 09:38:20.007,2025-01-06 22:38:20.007000,2025-01-06 09:57:40.007,2025-01-06 22:57:40.007000,19.333333333333293,0h45m30.88s,-62d41m18s,"{'filter': 'R', 'magnitude': 18, 'rate (""/min)': 0.3}",60,18
TransitionBlock,2025-01-06 09:57:40.007,2025-01-06 22:57:40.007000,2025-01-06 10:00:40.007,2025-01-06 23:00:40.007000,2.9999999999999893,,,[],,
C2021_A9_22S01,2025-01-06 10:43:40.010,2025-01-06 23:43:40.010000,2025-01-06 10:45:40.010,2025-01-06 23:45:40.010000,1.999999999999993,5h10m22.91s,+2d32m06.8s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.46}",120,1
TransitionBlock,2025-01-06 10:45:40.010,2025-01-06 23:45:40.010000,2025-01-06 10:46:20.010,2025-01-06 23:46:20.010000,0.6666666666667176,,,[],,
2022_QE78_22S01,2025-01-06 11:43:40.013,2025-01-07 00:43:40.013000,2025-01-06 11:56:00.013,2025-01-07 00:56:00.013000,12.333333333333316,6h28m25.02s,+5d23m59.7s,"{'filter': 'R', 'magnitude': 16, 'rate (""/min)': 0.32}",20,30
C2022_QE78_22S01,2025-01-06 11:56:20.013,2025-01-07 00:56:20.013000,2025-01-06 12:08:40.013,2025-01-07 01:08:40.013000,12.333333333333316,6h28m25.9s,+5d24m29.3s,"{'filter': 'R', 'magnitude': 15, 'rate (""/min)': 0.32}",20,30
TransitionBlock,2025-01-06 12:08:40.013,2025-01-07 01:08:40.013000,2025-01-06 12:10:00.013,2025-01-07 01:10:00.013000,1.3333333333332753,,,[],,
C2022_R6_22S01,2025-01-06 12:20:20.014,2025-01-07 01:20:20.014000,2025-01-06 12:34:40.014,2025-01-07 01:34:40.014000,14.333333333333389,6h53m49.42s,-30d03m27.2s,"{'filter': 'R', 'magnitude': 16, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-01-06 12:34:40.014,2025-01-07 01:34:40.014000,2025-01-06 12:35:00.014,2025-01-07 01:35:00.014000,0.33333333333327886,,,[],,
C2024_S1_22S01,2025-01-06 12:43:40.015,2025-01-07 01:43:40.015000,2025-01-06 12:58:00.015,2025-01-07 01:58:00.015000,14.33333333333323,7h17m16.95s,-38d25m17.7s,"{'filter': 'R', 'magnitude': 16, 'rate (""/min)': 2.54}",30,25
TransitionBlock,2025-01-06 12:58:00.015,2025-01-07 01:58:00.015000,2025-01-06 12:58:40.015,2025-01-07 01:58:40.015000,0.6666666666667176,,,[],,
C2024_A1_22S01,2025-01-06 12:58:40.015,2025-01-07 01:58:40.015000,2025-01-06 13:13:00.015,2025-01-07 02:13:00.015000,14.333333333333389,7h28m56.15s,-22d28m57.8s,"{'filter': 'R', 'magnitude': 16, 'rate (""/min)': 0.86}",30,25
TransitionBlock,2025-01-06 13:13:00.015,2025-01-07 02:13:00.015000,2025-01-06 13:14:00.015,2025-01-07 02:14:00.015000,0.9999999999999964,,,[],,
C2022_U3_22S01,2025-01-06 13:24:40.016,2025-01-07 02:24:40.016000,2025-01-06 13:39:00.016,2025-01-07 02:39:00.016000,14.33333333333323,7h57m59.36s,+0d30m51.6s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.35}",30,25
TransitionBlock,2025-01-06 13:39:00.016,2025-01-07 02:39:00.016000,2025-01-06 13:40:40.016,2025-01-07 02:40:40.016000,1.666666666666714,,,[],,
C2022_L2_22S01,2025-01-06 13:40:40.016,2025-01-07 02:40:40.016000,2025-01-06 13:55:00.016,2025-01-07 02:55:00.016000,14.33333333333323,8h03m17.89s,-43d28m16.9s,"{'filter': 'R', 'magnitude': 16, 'rate (""/min)': 1.07}",30,25
TransitionBlock,2025-01-06 13:55:00.016,2025-01-07 02:55:00.016000,2025-01-06 13:57:40.016,2025-01-07 02:57:40.016000,2.6666666666667105,,,[],,
12P_22S01,2025-01-06 15:18:00.020,2025-01-07 04:18:00.020000,2025-01-06 15:32:20.020,2025-01-07 04:32:20.020000,14.333333333333389,16h38m09.99s,-48d22m49.5s,"{'filter': 'R', 'magnitude': 16, 'rate (""/min)': 0.48}",30,25
TransitionBlock,2025-01-06 15:32:20.020,2025-01-07 04:32:20.020000,2025-01-06 15:36:00.020,2025-01-07 04:36:00.020000,3.666666666666707,,,[],,
29P_22S01,2025-01-06 15:36:20.021,2025-01-07 04:36:20.021000,2025-01-06 15:50:40.021,2025-01-07 04:50:40.021000,14.333333333333389,10h09m56.8s,+8d51m51.1s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.15}",30,25
TransitionBlock,2025-01-06 15:50:40.021,2025-01-07 04:50:40.021000,2025-01-06 15:53:20.021,2025-01-07 04:53:20.021000,2.6666666666667105,,,[],,
C2019_L3_22S01,2025-01-06 15:54:00.022,2025-01-07 04:54:00.022000,2025-01-06 16:13:20.022,2025-01-07 05:13:20.022000,19.33333333333337,12h39m27.78s,-56d32m33.7s,"{'filter': 'R', 'magnitude': 18, 'rate (""/min)': 0.23}",60,18
TransitionBlock,2025-01-06 16:13:20.022,2025-01-07 05:13:20.022000,2025-01-06 16:14:20.022,2025-01-07 05:14:20.022000,0.9999999999999964,,,[],,
C2022_S4_22S01,2025-01-06 16:14:40.023,2025-01-07 05:14:40.023000,2025-01-06 16:29:00.023,2025-01-07 05:29:00.023000,14.333333333333389,15h35m22.07s,-57d23m15.3s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
