target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
81P_22S01,2023-11-09 08:07:20.005,2023-11-09 08:10:40.005,3.33,18h33m57.3s,-22d04m35.3s,{'filter': 'R'},120,1
TransitionBlock,2023-11-09 08:10:40.005,2023-11-09 08:12:40.005,2.0,,,[],,
C2022_F1_22S01,2023-11-09 08:12:40.005,2023-11-09 08:16:00.005,3.33,22h10m02.74s,-48d32m05.6s,{'filter': 'R'},120,1
TransitionBlock,2023-11-09 08:16:00.005,2023-11-09 08:17:00.005,1.0,,,[],,
73P-JD001_22S01,2023-11-09 08:17:00.005,2023-11-09 08:24:20.005,7.33,20h15m45.74s,-36d40m51.6s,{'filter': 'R'},30,4
TransitionBlock,2023-11-09 08:24:20.005,2023-11-09 08:25:00.005,0.67,,,[],,
C2021_C5_22S01,2023-11-09 08:25:00.005,2023-11-09 09:01:40.005,36.67,19h29m31.2s,-45d53m08.7s,{'filter': 'R'},120,11
TransitionBlock,2023-11-09 09:01:40.005,2023-11-09 09:07:20.005,5.67,,,['filter:R to V'],,
2022aaaw_22S02,2023-11-09 09:11:20.007,2023-11-09 09:15:40.007,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1
TransitionBlock,2023-11-09 09:15:40.007,2023-11-09 09:16:40.007,1.0,,,[],,
2022aajn_22S02,2023-11-09 09:17:00.007,2023-11-09 09:21:20.007,4.33,0h28m33.03733333s,+21d04m21.33s,{'filter': 'V'},180,1
TransitionBlock,2023-11-09 09:21:20.007,2023-11-09 09:24:00.007,2.67,,,[],,
2021aefx_22S02,2023-11-09 09:24:20.007,2023-11-09 09:28:40.007,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-11-09 09:28:40.007,2023-11-09 09:33:40.007,5.0,,,['filter:V to R'],,
C2019_F1_22S01,2023-11-09 09:34:00.008,2023-11-09 10:10:40.008,36.67,2h03m46.91s,-0d20m27.7s,{'filter': 'R'},120,11
TransitionBlock,2023-11-09 10:10:40.008,2023-11-09 10:14:40.008,4.0,,,['filter:R to V'],,
2022hrs_22S02,2023-11-09 10:15:00.009,2023-11-09 10:19:20.009,4.33,0h50m54.289s,+11d34m35.87s,{'filter': 'V'},180,1
TransitionBlock,2023-11-09 10:19:20.009,2023-11-09 10:22:40.009,3.33,,,['filter:V to R'],,
2060_22S01,2023-11-09 10:22:40.009,2023-11-09 10:26:00.009,3.33,0h57m04.65s,+7d41m58.6s,{'filter': 'R'},120,1
TransitionBlock,2023-11-09 10:26:00.009,2023-11-09 10:29:40.009,3.67,,,['filter:R to V'],,
2022ihz_22S02,2023-11-09 10:29:40.009,2023-11-09 10:34:00.009,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1
TransitionBlock,2023-11-09 10:34:00.009,2023-11-09 10:34:20.009,0.33,,,[],,
2022zxj_22S02,2023-11-09 10:34:20.009,2023-11-09 10:38:40.009,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1
TransitionBlock,2023-11-09 10:38:40.009,2023-11-09 10:44:20.009,5.67,,,['filter:V to R'],,
C2014_UN271_22S01,2023-11-09 10:45:00.010,2023-11-09 10:52:00.010,7.0,3h15m32.84s,-65d54m02.1s,{'filter': 'R'},60,3
TransitionBlock,2023-11-09 10:52:00.010,2023-11-09 10:52:40.010,0.67,,,[],,
C2019_E3_22S01,2023-11-09 10:53:00.011,2023-11-09 11:35:00.011,42.0,4h25m25.69s,-77d19m32.8s,{'filter': 'R'},60,18
TransitionBlock,2023-11-09 11:35:00.011,2023-11-09 11:37:00.011,2.0,,,[],,
C2022_S4_22S01,2023-11-09 11:37:20.012,2023-11-09 12:23:20.012,46.0,2h40m32.59s,-20d59m37s,{'filter': 'R'},30,25
TransitionBlock,2023-11-09 12:23:20.012,2023-11-09 12:24:40.012,1.33,,,[],,
C2022_R6_22S01,2023-11-09 12:25:00.014,2023-11-09 13:07:00.014,42.0,5h11m52.55s,-40d24m28.3s,{'filter': 'R'},60,18
TransitionBlock,2023-11-09 13:07:00.014,2023-11-09 13:08:00.014,1.0,,,[],,
2022_QE78_22S01,2023-11-09 13:08:20.016,2023-11-09 13:54:20.016,46.0,4h53m30.69s,-12d38m36.7s,{'filter': 'R'},30,25
TransitionBlock,2023-11-09 13:54:20.016,2023-11-09 13:56:00.016,1.67,,,[],,
285P_22S01,2023-11-09 13:56:20.017,2023-11-09 14:38:20.017,42.0,8h11m16.6s,-7d51m57.8s,{'filter': 'R'},60,18
TransitionBlock,2023-11-09 14:38:20.017,2023-11-09 14:40:20.017,2.0,,,[],,
C2022_E3_22S01,2023-11-09 14:40:40.019,2023-11-09 15:26:40.019,46.0,5h39m11.59s,-60d10m43.1s,{'filter': 'R'},30,25
TransitionBlock,2023-11-09 15:26:40.019,2023-11-09 15:29:00.019,2.33,,,[],,
C2021_E3_22S01,2023-11-09 15:35:20.021,2023-11-09 15:38:40.021,3.33,7h59m58.35s,+2d18m41.9s,{'filter': 'R'},120,1
TransitionBlock,2023-11-09 15:38:40.021,2023-11-09 15:39:20.021,0.67,,,[],,
C2021_A9_22S01,2023-11-09 15:39:40.021,2023-11-09 15:43:00.021,3.33,7h33m52.15s,+10d07m07.4s,{'filter': 'R'},120,1
TransitionBlock,2023-11-09 15:43:00.021,2023-11-09 15:45:20.021,2.33,,,[],,
A2019_U5_22S01,2023-11-09 15:45:40.021,2023-11-09 15:49:00.021,3.33,10h45m18.25s,-29d37m35.7s,{'filter': 'R'},120,1
TransitionBlock,2023-11-09 15:49:00.021,2023-11-09 15:50:00.021,1.0,,,[],,
C2022_A3_22S01,2023-11-09 15:50:20.022,2023-11-09 16:36:20.022,46.0,9h41m53.13s,-48d49m15.5s,{'filter': 'R'},30,25
