target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_E3_22S01,2023-02-19 08:12:00.005,2023-02-19 09:02:00.005,50.0,4h39m10.86s,+9d37m22.1s,{'filter': 'R'},20,30
TransitionBlock,2023-02-19 09:02:00.005,2023-02-19 09:03:20.005,1.33,,,[],,
C2021_Y1_22S01,2023-02-19 09:03:20.005,2023-02-19 09:53:20.005,50.0,3h19m11.01s,-15d10m42.6s,{'filter': 'R'},20,30
TransitionBlock,2023-02-19 09:53:20.005,2023-02-19 09:55:00.005,1.67,,,[],,
C2014_UN271_22S01,2023-02-19 09:55:00.005,2023-02-19 10:02:00.005,7.0,2h30m09.49s,-58d51m56.1s,{'filter': 'R'},60,3
TransitionBlock,2023-02-19 10:02:00.005,2023-02-19 10:05:40.005,3.67,,,['filter:R to V'],,
2021aefx_22S02,2023-02-19 10:05:40.005,2023-02-19 10:10:00.005,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-02-19 10:10:00.005,2023-02-19 10:17:00.005,7.0,,,['filter:V to R'],,
C2021_A9_22S01,2023-02-19 10:18:00.009,2023-02-19 10:21:20.009,3.33,7h58m35.82s,+14d58m19.4s,{'filter': 'R'},120,1
TransitionBlock,2023-02-19 10:21:20.009,2023-02-19 10:23:20.009,2.0,,,[],,
C2021_G2_22S01,2023-02-19 10:23:40.010,2023-02-19 11:13:40.010,50.0,8h53m12.82s,-39d00m20.7s,{'filter': 'R'},20,30
TransitionBlock,2023-02-19 11:13:40.010,2023-02-19 11:15:00.010,1.33,,,[],,
C2022_A3_22S01,2023-02-19 11:15:20.012,2023-02-19 12:01:20.012,46.0,9h21m45.28s,-5d09m55.2s,{'filter': 'R'},30,25
TransitionBlock,2023-02-19 12:01:20.012,2023-02-19 12:02:00.012,0.67,,,[],,
C2022_E2_22S01,2023-02-19 12:02:20.013,2023-02-19 12:52:20.013,50.0,9h44m33.45s,-16d33m13s,{'filter': 'R'},20,30
TransitionBlock,2023-02-19 12:52:20.013,2023-02-19 12:54:40.013,2.33,,,[],,
C2021_S3_22S01,2023-02-19 12:54:40.013,2023-02-19 13:44:40.013,50.0,5h14m11.26s,-35d20m53.6s,{'filter': 'R'},20,30
TransitionBlock,2023-02-19 13:44:40.013,2023-02-19 13:46:00.013,1.33,,,[],,
C2019_E3_22S01,2023-02-19 13:46:00.013,2023-02-19 14:28:00.013,42.0,5h16m29.55s,-74d25m29.7s,{'filter': 'R'},60,18
TransitionBlock,2023-02-19 14:28:00.013,2023-02-19 14:29:40.013,1.67,,,[],,
C2019_L3_22S01,2023-02-19 14:29:40.013,2023-02-19 15:19:40.013,50.0,9h24m01.5s,-35d13m39.8s,{'filter': 'R'},20,30
TransitionBlock,2023-02-19 15:19:40.013,2023-02-19 15:22:40.013,3.0,,,[],,
99P_22S01,2023-02-19 15:51:00.022,2023-02-19 16:33:00.022,42.0,16h21m03.28s,-23d31m40.7s,{'filter': 'R'},60,18
TransitionBlock,2023-02-19 16:33:00.022,2023-02-19 16:35:20.022,2.33,,,[],,
C2021_P4_22S01,2023-02-19 16:35:40.023,2023-02-19 17:21:40.023,46.0,21h12m18.69s,-62d58m39.1s,{'filter': 'R'},30,25
TransitionBlock,2023-02-19 17:21:40.023,2023-02-19 17:24:00.023,2.33,,,[],,
81P_22S01,2023-02-19 17:24:20.025,2023-02-19 17:32:40.025,8.33,16h35m13.72s,-18d31m28.4s,{'filter': 'R'},20,5
