target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022jzx_22S05,2022-12-11 08:49:40.006,2022-12-11 08:56:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-12-11 08:56:00.006,2022-12-11 08:56:20.006,0.33,,,[],,
22P_22S01,2022-12-11 08:56:20.006,2022-12-11 09:38:20.006,42.0,0h49m03.72s,-1d03m49.8s,{'filter': 'R'},60,18
TransitionBlock,2022-12-11 09:38:20.006,2022-12-11 09:38:40.006,0.33,,,[],,
382P_22S01,2022-12-11 09:38:40.006,2022-12-11 09:42:00.006,3.33,0h34m23.41s,-0d40m18.1s,{'filter': 'R'},120,1
TransitionBlock,2022-12-11 09:42:00.006,2022-12-11 09:43:00.006,1.0,,,[],,
395P_22S01,2022-12-11 09:43:00.006,2022-12-11 09:46:20.006,3.33,23h07m29.99s,-3d06m37.4s,{'filter': 'R'},120,1
TransitionBlock,2022-12-11 09:46:20.006,2022-12-11 09:48:40.006,2.33,,,[],,
C2014_UN271_22S01,2022-12-11 09:49:00.008,2022-12-11 09:56:00.008,7.0,2h34m01.51s,-61d18m05.7s,{'filter': 'R'},60,3
TransitionBlock,2022-12-11 09:56:00.008,2022-12-11 09:58:00.008,2.0,,,[],,
C2021_T4_22S01,2022-12-11 09:58:00.008,2022-12-11 10:48:00.008,50.0,1h01m19.58s,-12d59m25.1s,{'filter': 'R'},20,30
TransitionBlock,2022-12-11 10:48:00.008,2022-12-11 10:49:20.008,1.33,,,[],,
73P-BU_22S01,2022-12-11 10:49:20.008,2022-12-11 10:52:40.008,3.33,22h28m18.05s,-20d24m30.1s,{'filter': 'R'},120,1
TransitionBlock,2022-12-11 10:52:40.008,2022-12-11 10:55:40.008,3.0,,,[],,
C2021_Y1_22S01,2022-12-11 10:56:40.011,2022-12-11 11:46:40.011,50.0,4h02m45.43s,+6d33m13.6s,{'filter': 'R'},20,30
TransitionBlock,2022-12-11 11:46:40.011,2022-12-11 11:50:20.011,3.67,,,[],,
C2022_F1_22S01,2022-12-11 11:50:20.011,2022-12-11 12:27:00.011,36.67,20h18m25.18s,-68d13m34.8s,{'filter': 'R'},120,11
TransitionBlock,2022-12-11 12:27:00.011,2022-12-11 12:31:20.011,4.33,,,['filter:R to V'],,
2022ydv_22S02,2022-12-11 12:31:20.011,2022-12-11 12:35:40.011,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-11 12:35:40.011,2022-12-11 12:37:00.011,1.33,,,[],,
2022ydu_22S02,2022-12-11 12:37:00.011,2022-12-11 12:41:20.011,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2022-12-11 12:41:20.011,2022-12-11 12:41:40.011,0.33,,,[],,
2022tiv_22S02,2022-12-11 12:41:40.011,2022-12-11 12:46:00.011,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2022-12-11 12:46:00.011,2022-12-11 12:53:00.011,7.0,,,['filter:V to R'],,
C2022_E2_22S01,2022-12-11 12:54:00.015,2022-12-11 13:40:00.015,46.0,10h31m42.18s,-20d00m25.7s,{'filter': 'R'},30,25
TransitionBlock,2022-12-11 13:40:00.015,2022-12-11 13:41:00.015,1.0,,,[],,
C2021_G2_22S01,2022-12-11 13:41:20.017,2022-12-11 14:27:20.017,46.0,9h14m51.03s,-36d40m38.3s,{'filter': 'R'},30,25
TransitionBlock,2022-12-11 14:27:20.017,2022-12-11 14:27:40.017,0.33,,,[],,
C2021_E3_22S01,2022-12-11 14:28:00.019,2022-12-11 15:18:00.019,50.0,9h22m52.35s,-43d59m09.3s,{'filter': 'R'},20,30
TransitionBlock,2022-12-11 15:18:00.019,2022-12-11 15:19:40.019,1.67,,,[],,
C2021_C5_22S01,2022-12-11 15:20:00.021,2022-12-11 16:06:00.021,46.0,13h41m46.32s,-54d12m39.6s,{'filter': 'R'},30,25
TransitionBlock,2022-12-11 16:06:00.021,2022-12-11 16:09:20.021,3.33,,,[],,
C2021_A9_22S01,2022-12-11 16:09:40.022,2022-12-11 16:13:00.022,3.33,8h53m57s,+13d38m49s,{'filter': 'R'},120,1
