target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_E3_22S01,2023-02-27 07:58:20.004,2023-02-27 08:48:20.004,50.0,4h38m10.62s,+2d19m59.2s,{'filter': 'R'},20,30
TransitionBlock,2023-02-27 08:48:20.004,2023-02-27 08:49:20.004,1.0,,,[],,
C2021_Y1_22S01,2023-02-27 08:49:20.004,2023-02-27 09:39:20.004,50.0,3h23m42s,-16d14m37.5s,{'filter': 'R'},20,30
TransitionBlock,2023-02-27 09:39:20.004,2023-02-27 09:42:00.004,2.67,,,[],,
C2021_G2_22S01,2023-02-27 09:44:40.008,2023-02-27 10:34:40.008,50.0,8h50m11.24s,-38d32m21.9s,{'filter': 'R'},20,30
TransitionBlock,2023-02-27 10:34:40.008,2023-02-27 10:36:00.008,1.33,,,[],,
C2022_A3_22S01,2023-02-27 10:36:20.010,2023-02-27 11:22:20.010,46.0,9h10m34.83s,-5d47m34.4s,{'filter': 'R'},30,25
TransitionBlock,2023-02-27 11:22:20.010,2023-02-27 11:23:00.010,0.67,,,[],,
C2022_E2_22S01,2023-02-27 11:23:20.012,2023-02-27 12:13:20.012,50.0,9h37m00.35s,-15d26m06.5s,{'filter': 'R'},20,30
TransitionBlock,2023-02-27 12:13:20.012,2023-02-27 12:15:40.012,2.33,,,[],,
C2021_S3_22S01,2023-02-27 12:15:40.012,2023-02-27 12:24:00.012,8.33,5h13m13.04s,-34d19m12.6s,{'filter': 'R'},20,5
TransitionBlock,2023-02-27 12:24:00.012,2023-02-27 12:25:20.012,1.33,,,[],,
C2014_UN271_22S01,2023-02-27 12:25:20.012,2023-02-27 12:32:20.012,7.0,2h31m51.03s,-58d33m28.8s,{'filter': 'R'},60,3
TransitionBlock,2023-02-27 12:32:20.012,2023-02-27 12:33:20.012,1.0,,,[],,
C2019_E3_22S01,2023-02-27 12:33:20.012,2023-02-27 13:15:20.012,42.0,5h08m38.31s,-73d41m52.9s,{'filter': 'R'},60,18
TransitionBlock,2023-02-27 13:15:20.012,2023-02-27 13:17:00.012,1.67,,,[],,
C2019_L3_22S01,2023-02-27 13:17:00.012,2023-02-27 14:07:00.012,50.0,9h18m27.7s,-35d13m03.7s,{'filter': 'R'},20,30
TransitionBlock,2023-02-27 14:07:00.012,2023-02-27 14:08:00.012,1.0,,,[],,
C2022_T1_22S01,2023-02-27 14:08:00.012,2023-02-27 14:44:40.012,36.67,8h30m49.35s,-9d28m39.2s,{'filter': 'R'},120,11
TransitionBlock,2023-02-27 14:44:40.012,2023-02-27 14:47:00.012,2.33,,,[],,
A2019_U5_22S01,2023-02-27 14:48:40.019,2023-02-27 15:30:40.019,42.0,12h58m46.5s,-0d14m24.7s,{'filter': 'R'},60,18
TransitionBlock,2023-02-27 15:30:40.019,2023-02-27 15:33:40.019,3.0,,,[],,
C2021_C5_22S01,2023-02-27 15:54:00.022,2023-02-27 16:40:00.022,46.0,17h43m35.44s,-72d25m14.3s,{'filter': 'R'},30,25
TransitionBlock,2023-02-27 16:40:00.022,2023-02-27 16:41:00.022,1.0,,,[],,
C2021_P4_22S01,2023-02-27 16:41:20.024,2023-02-27 17:27:20.024,46.0,21h33m42.79s,-62d26m47.3s,{'filter': 'R'},30,25
TransitionBlock,2023-02-27 17:27:20.024,2023-02-27 17:29:40.024,2.33,,,[],,
81P_22S01,2023-02-27 17:30:00.025,2023-02-27 17:38:20.025,8.33,16h51m37.83s,-18d50m14.4s,{'filter': 'R'},20,5
TransitionBlock,2023-02-27 17:38:20.025,2023-02-27 17:40:40.025,2.33,,,[],,
C2022_F1_22S01,2023-02-27 17:41:00.026,2023-02-27 17:44:20.026,3.33,22h18m50.4s,-57d42m26.9s,{'filter': 'R'},120,1
