target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
73P-JD001_22S01,2022-11-29 08:36:20.006,2022-11-29 08:43:40.006,7.33,21h05m41.53s,-27d38m51s,{'filter': 'R'},30,4
TransitionBlock,2022-11-29 08:43:40.006,2022-11-29 08:44:20.006,0.67,,,[],,
73P-BU_22S01,2022-11-29 08:44:20.006,2022-11-29 08:51:20.006,7.0,21h55m36.32s,-24d20m24.1s,{'filter': 'R'},60,3
TransitionBlock,2022-11-29 08:51:20.006,2022-11-29 08:51:40.006,0.33,,,[],,
73P-BV_22S01,2022-11-29 08:51:40.006,2022-11-29 08:55:00.006,3.33,21h47m09.3s,-24d59m37.7s,{'filter': 'R'},120,1
TransitionBlock,2022-11-29 08:55:00.006,2022-11-29 08:56:00.006,1.0,,,[],,
395P_22S01,2022-11-29 08:56:00.006,2022-11-29 08:59:20.006,3.33,23h02m27.51s,-3d28m04.6s,{'filter': 'R'},120,1
TransitionBlock,2022-11-29 08:59:20.006,2022-11-29 09:00:20.006,1.0,,,[],,
2060_22S01,2022-11-29 09:00:20.006,2022-11-29 09:03:40.006,3.33,0h40m46.83s,+6d24m06.5s,{'filter': 'R'},120,1
TransitionBlock,2022-11-29 09:03:40.006,2022-11-29 09:04:20.006,0.67,,,[],,
2022jzx_22S05,2022-11-29 09:05:40.007,2022-11-29 09:12:00.007,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-29 09:12:00.007,2022-11-29 09:15:40.007,3.67,,,['filter:R to V'],,
2022xhd _22S02,2022-11-29 09:15:40.007,2022-11-29 09:20:00.007,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:20:00.007,2022-11-29 09:20:20.007,0.33,,,[],,
2022ucj_22S02,2022-11-29 09:20:20.007,2022-11-29 09:24:40.007,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:24:40.007,2022-11-29 09:25:00.007,0.33,,,[],,
2022udc_22S02,2022-11-29 09:25:00.007,2022-11-29 09:29:20.007,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:29:20.007,2022-11-29 09:29:40.007,0.33,,,[],,
2022ssk_22S02,2022-11-29 09:29:40.007,2022-11-29 09:34:00.007,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:34:00.007,2022-11-29 09:34:20.007,0.33,,,[],,
2022ihz_22S02,2022-11-29 09:34:20.007,2022-11-29 09:38:40.007,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:38:40.007,2022-11-29 09:39:20.007,0.67,,,[],,
2022vye_22S02,2022-11-29 09:39:40.008,2022-11-29 09:44:00.008,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:44:00.008,2022-11-29 09:46:20.008,2.33,,,[],,
2022ydv_22S02,2022-11-29 09:46:20.008,2022-11-29 09:50:40.008,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:50:40.008,2022-11-29 09:52:00.008,1.33,,,[],,
2022tiv_22S02,2022-11-29 09:52:00.008,2022-11-29 09:56:20.008,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 09:56:20.008,2022-11-29 09:58:00.008,1.67,,,[],,
2022wsq_22S02,2022-11-29 09:58:00.008,2022-11-29 10:02:20.008,4.33,0h05m19.97s,+15d36m09.83s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:02:20.008,2022-11-29 10:03:20.008,1.0,,,[],,
2022wbc_22S02,2022-11-29 10:03:20.008,2022-11-29 10:07:40.008,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:07:40.008,2022-11-29 10:08:40.008,1.0,,,[],,
2022ywf_22S02,2022-11-29 10:08:40.008,2022-11-29 10:13:00.008,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:13:00.008,2022-11-29 10:15:00.008,2.0,,,[],,
2021aefx_22S02,2022-11-29 10:15:00.008,2022-11-29 10:19:20.008,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:19:20.008,2022-11-29 10:21:20.008,2.0,,,[],,
2022aaaw_22S02,2022-11-29 10:21:20.008,2022-11-29 10:25:40.008,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:25:40.008,2022-11-29 10:26:00.008,0.33,,,[],,
2022zxj_22S02,2022-11-29 10:26:00.008,2022-11-29 10:30:20.008,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:30:20.008,2022-11-29 10:31:00.008,0.67,,,[],,
2022zut_22S02,2022-11-29 10:31:00.008,2022-11-29 10:35:20.008,4.33,0h46m43.92133333s,+11d28m10.9s,{'filter': 'V'},180,1
TransitionBlock,2022-11-29 10:35:20.008,2022-11-29 10:36:00.008,0.67,,,[],,
