target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-01-23 08:48:40.006,2023-01-23 09:30:40.006,42.0,1h16m55.56s,-15d55m20.6s,{'filter': 'R'},60,18
TransitionBlock,2023-01-23 09:30:40.006,2023-01-23 09:32:20.006,1.67,,,[],,
C2014_UN271_22S01,2023-01-23 09:32:20.006,2023-01-23 09:39:20.006,7.0,2h27m32.47s,-59d59m21.2s,{'filter': 'R'},60,3
TransitionBlock,2023-01-23 09:39:20.006,2023-01-23 09:42:40.006,3.33,,,['filter:R to V'],,
2022ydv_22S02,2023-01-23 09:42:40.006,2023-01-23 09:47:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-23 09:47:00.006,2023-01-23 09:48:20.006,1.33,,,[],,
2022ydu_22S02,2023-01-23 09:48:20.006,2023-01-23 09:52:40.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-23 09:52:40.006,2023-01-23 09:53:00.006,0.33,,,[],,
2022tiv_22S02,2023-01-23 09:53:00.006,2023-01-23 09:57:20.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-23 09:57:20.006,2023-01-23 09:58:40.006,1.33,,,[],,
2021aefx_22S02,2023-01-23 09:58:40.006,2023-01-23 10:03:00.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-23 10:03:00.006,2023-01-23 10:07:20.006,4.33,,,['filter:V to R'],,
C2019_E3_22S01,2023-01-23 10:07:40.009,2023-01-23 10:49:40.009,42.0,6h01m04.11s,-76d17m14.6s,{'filter': 'R'},60,18
TransitionBlock,2023-01-23 10:49:40.009,2023-01-23 10:51:00.009,1.33,,,[],,
C2021_S3_22S01,2023-01-23 10:51:00.009,2023-01-23 11:41:00.009,50.0,5h26m23.99s,-38d01m12.9s,{'filter': 'R'},20,30
TransitionBlock,2023-01-23 11:41:00.009,2023-01-23 11:42:00.009,1.0,,,[],,
C2022_R6_22S01,2023-01-23 11:42:00.009,2023-01-23 11:45:20.009,3.33,3h11m47.58s,-40d18m16.2s,{'filter': 'R'},120,1
TransitionBlock,2023-01-23 11:45:20.009,2023-01-23 11:47:20.009,2.0,,,[],,
C2021_E3_22S01,2023-01-23 11:48:20.013,2023-01-23 12:38:20.013,50.0,7h44m21.89s,-37d10m54.3s,{'filter': 'R'},20,30
TransitionBlock,2023-01-23 12:38:20.013,2023-01-23 12:39:00.013,0.67,,,[],,
2022acwj_22S05,2023-01-23 12:41:00.015,2023-01-23 12:47:20.015,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-23 12:47:20.015,2023-01-23 12:49:00.015,1.67,,,[],,
C2021_A9_22S01,2023-01-23 12:49:20.015,2023-01-23 12:52:40.015,3.33,8h21m45.07s,+14d22m22.2s,{'filter': 'R'},120,1
TransitionBlock,2023-01-23 12:52:40.015,2023-01-23 12:54:40.015,2.0,,,[],,
C2021_G2_22S01,2023-01-23 12:57:00.015,2023-01-23 13:47:00.015,50.0,9h04m52.22s,-39d24m29.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-23 13:47:00.015,2023-01-23 13:47:20.015,0.33,,,[],,
C2019_L3_22S01,2023-01-23 13:47:40.017,2023-01-23 14:37:40.017,50.0,9h44m05.57s,-33d37m12.8s,{'filter': 'R'},20,30
TransitionBlock,2023-01-23 14:37:40.017,2023-01-23 14:39:40.017,2.0,,,[],,
2022adbx_22S05,2023-01-23 14:46:00.019,2023-01-23 14:52:20.019,6.33,11h22m33.6s,+20d41m59.93016s,{'filter': 'R'},300,1
TransitionBlock,2023-01-23 14:52:20.019,2023-01-23 14:53:40.019,1.33,,,[],,
2022aduk_22S05,2023-01-23 14:54:00.020,2023-01-23 15:00:20.020,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-23 15:00:20.020,2023-01-23 15:03:40.020,3.33,,,[],,
C2021_P4_22S01,2023-01-23 15:04:00.020,2023-01-23 15:11:20.020,7.33,19h40m51.83s,-64d42m36.3s,{'filter': 'R'},30,4
TransitionBlock,2023-01-23 15:11:20.020,2023-01-23 15:12:20.020,1.0,,,[],,
C2021_C5_22S01,2023-01-23 15:12:40.020,2023-01-23 15:58:40.020,46.0,15h33m48.06s,-65d51m25.4s,{'filter': 'R'},30,25
TransitionBlock,2023-01-23 15:58:40.020,2023-01-23 16:01:20.020,2.67,,,[],,
A2019_U5_22S01,2023-01-23 16:01:40.022,2023-01-23 16:43:40.022,42.0,13h42m39.04s,+1d55m53.2s,{'filter': 'R'},60,18
TransitionBlock,2023-01-23 16:43:40.022,2023-01-23 16:45:00.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-23 16:45:20.024,2023-01-23 16:51:40.024,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
