target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022wiv_22S02,2023-01-06 08:59:20.007,2023-01-06 09:03:40.007,4.33,0h17m40.51933333s,+0d58m42.72s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 09:03:40.007,2023-01-06 09:04:20.007,0.67,,,[],,
2022xkq_22S02,2023-01-06 09:04:20.007,2023-01-06 09:08:40.007,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 09:08:40.007,2023-01-06 09:09:20.007,0.67,,,[],,
2022xbu_22S02,2023-01-06 09:09:20.007,2023-01-06 09:13:40.007,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 09:13:40.007,2023-01-06 09:14:00.007,0.33,,,[],,
2023Q_22S05,2023-01-06 09:14:00.007,2023-01-06 09:20:20.007,6.33,1h57m04.897008s,-0d28m01.16004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 09:20:20.007,2023-01-06 09:22:20.007,2.0,,,[],,
2023E_22S05,2023-01-06 09:22:20.007,2023-01-06 09:28:40.007,6.33,1h15m55.756008s,-50d11m14.89992s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 09:28:40.007,2023-01-06 09:31:40.007,3.0,,,['filter:V to R'],,
2023E_22S05,2023-01-06 09:31:40.007,2023-01-06 09:38:00.007,6.33,1h15m55.756008s,-50d11m14.89992s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 09:38:00.007,2023-01-06 09:42:20.007,4.33,,,['filter:R to V'],,
2022aeed_22S05,2023-01-06 09:42:20.007,2023-01-06 09:48:40.007,6.33,4h07m33.976008s,-31d28m18.95988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 09:48:40.007,2023-01-06 09:51:40.007,3.0,,,['filter:V to R'],,
2022aeed_22S05,2023-01-06 09:51:40.007,2023-01-06 09:58:00.007,6.33,4h07m33.976008s,-31d28m18.95988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 09:58:00.007,2023-01-06 09:59:40.007,1.67,,,[],,
2023Q_22S05,2023-01-06 09:59:40.007,2023-01-06 10:06:00.007,6.33,1h57m04.897008s,-0d28m01.16004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 10:06:00.007,2023-01-06 10:10:00.007,4.0,,,['filter:R to V'],,
2022ucj_22S02,2023-01-06 10:10:00.007,2023-01-06 10:14:20.007,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 10:14:20.007,2023-01-06 10:14:40.007,0.33,,,[],,
2022udc_22S02,2023-01-06 10:14:40.007,2023-01-06 10:19:00.007,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 10:19:00.007,2023-01-06 10:21:00.007,2.0,,,[],,
2022ydv_22S02,2023-01-06 10:21:00.007,2023-01-06 10:25:20.007,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 10:25:20.007,2023-01-06 10:26:40.007,1.33,,,[],,
2022ydu_22S02,2023-01-06 10:26:40.007,2023-01-06 10:31:00.007,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 10:31:00.007,2023-01-06 10:31:20.007,0.33,,,[],,
2022tiv_22S02,2023-01-06 10:31:20.007,2023-01-06 10:35:40.007,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 10:35:40.007,2023-01-06 10:37:00.007,1.33,,,[],,
2021aefx_22S02,2023-01-06 10:37:00.007,2023-01-06 10:41:20.007,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-06 10:41:20.007,2023-01-06 10:43:20.007,2.0,,,[],,
2022abgg_22S05,2023-01-06 10:43:20.007,2023-01-06 10:49:40.007,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 10:49:40.007,2023-01-06 10:52:40.007,3.0,,,['filter:V to R'],,
2022abgg_22S05,2023-01-06 10:52:40.007,2023-01-06 10:59:00.007,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 10:59:00.007,2023-01-06 11:02:40.007,3.67,,,['filter:R to V'],,
2022abic_22S05,2023-01-06 11:02:40.007,2023-01-06 11:09:00.007,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 11:09:00.007,2023-01-06 11:12:00.007,3.0,,,['filter:V to R'],,
2022abic_22S05,2023-01-06 11:12:00.007,2023-01-06 11:18:20.007,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 11:18:20.007,2023-01-06 11:22:20.007,4.0,,,['filter:R to V'],,
2022abid_22S05,2023-01-06 11:22:20.007,2023-01-06 11:28:40.007,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 11:28:40.007,2023-01-06 11:31:40.007,3.0,,,['filter:V to R'],,
2022abid_22S05,2023-01-06 11:31:40.007,2023-01-06 11:38:00.007,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 11:38:00.007,2023-01-06 11:39:40.007,1.67,,,[],,
2022acyd_22S05,2023-01-06 11:39:40.007,2023-01-06 11:46:00.007,6.33,4h01m11.361s,+5d32m54.75012s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 11:46:00.007,2023-01-06 11:49:40.007,3.67,,,['filter:R to V'],,
2022aecb_22S05,2023-01-06 11:49:40.007,2023-01-06 11:56:00.007,6.33,4h59m02.254008s,-0d26m31.04988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 11:56:00.007,2023-01-06 11:59:00.007,3.0,,,['filter:V to R'],,
2022aecb_22S05,2023-01-06 11:59:00.007,2023-01-06 12:05:20.007,6.33,4h59m02.254008s,-0d26m31.04988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 12:05:20.007,2023-01-06 12:10:00.007,4.67,,,['filter:R to V'],,
2022aczs_22S05,2023-01-06 12:10:00.007,2023-01-06 12:16:20.007,6.33,2h05m19.834008s,-23d41m53.39004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 12:16:20.007,2023-01-06 12:18:00.007,1.67,,,[],,
2022acyd_22S05,2023-01-06 12:18:00.007,2023-01-06 12:24:20.007,6.33,4h01m11.361s,+5d32m54.75012s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 12:24:20.007,2023-01-06 12:26:00.007,1.67,,,[],,
2022adyj_22S05,2023-01-06 12:31:40.014,2023-01-06 12:38:00.014,6.33,6h58m36.820008s,+12d40m08.45004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 12:38:00.014,2023-01-06 12:41:00.014,3.0,,,['filter:V to R'],,
2022adyj_22S05,2023-01-06 12:41:00.014,2023-01-06 12:47:20.014,6.33,6h58m36.820008s,+12d40m08.45004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 12:47:20.014,2023-01-06 12:50:40.014,3.33,,,['filter:R to V'],,
2022aajn_22S05,2023-01-06 12:50:40.014,2023-01-06 12:57:00.014,6.33,7h08m15.559008s,+21d04m21.42984s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 12:57:00.014,2023-01-06 13:00:00.014,3.0,,,['filter:V to R'],,
2022aajn_22S05,2023-01-06 13:00:00.014,2023-01-06 13:06:20.014,6.33,7h08m15.559008s,+21d04m21.42984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 13:06:20.014,2023-01-06 13:08:40.014,2.33,,,[],,
2022aduk_22S05,2023-01-06 13:24:40.016,2023-01-06 13:31:00.016,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 13:31:00.016,2023-01-06 13:34:00.016,3.0,,,['filter:R to V'],,
2022aduk_22S05,2023-01-06 13:34:20.017,2023-01-06 13:40:40.017,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 13:40:40.017,2023-01-06 13:41:40.017,1.0,,,[],,
2022acwj_22S05,2023-01-06 13:42:00.017,2023-01-06 13:48:20.017,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 13:48:20.017,2023-01-06 13:49:20.017,1.0,,,[],,
2022aefd_22S05,2023-01-06 13:49:40.017,2023-01-06 13:56:00.017,6.33,8h16m56.380008s,-7d15m24.63012s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 13:56:00.017,2023-01-06 13:59:00.017,3.0,,,['filter:V to R'],,
2022aefd_22S05,2023-01-06 13:59:00.017,2023-01-06 14:05:20.017,6.33,8h16m56.380008s,-7d15m24.63012s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 14:05:20.017,2023-01-06 14:09:00.017,3.67,,,['filter:R to V'],,
2022aebw_22S05,2023-01-06 14:11:40.018,2023-01-06 14:18:00.018,6.33,8h38m46.707s,+5d16m47.38008s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 14:18:00.018,2023-01-06 14:21:40.018,3.67,,,['filter:V to R'],,
2022abdh_22S05,2023-01-06 14:21:40.018,2023-01-06 14:28:00.018,6.33,8h39m08.044992s,-8d51m47.66004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 14:28:00.018,2023-01-06 14:31:00.018,3.0,,,['filter:R to V'],,
2022abdh_22S05,2023-01-06 14:31:00.018,2023-01-06 14:37:20.018,6.33,8h39m08.044992s,-8d51m47.66004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 14:37:20.018,2023-01-06 14:41:00.018,3.67,,,['filter:V to R'],,
2022aebw_22S05,2023-01-06 14:41:00.018,2023-01-06 14:47:20.018,6.33,8h38m46.707s,+5d16m47.38008s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 14:47:20.018,2023-01-06 14:48:40.018,1.33,,,[],,
2022acwj_22S05,2023-01-06 14:48:40.018,2023-01-06 14:55:00.018,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 14:55:00.018,2023-01-06 14:56:40.018,1.67,,,[],,
2022adpu_22S05,2023-01-06 14:57:40.020,2023-01-06 15:04:00.020,6.33,11h36m47.883s,-8d35m16.46988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 15:04:00.020,2023-01-06 15:07:00.020,3.0,,,['filter:R to V'],,
2022adpu_22S05,2023-01-06 15:07:20.020,2023-01-06 15:13:40.020,6.33,11h36m47.883s,-8d35m16.46988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 15:13:40.020,2023-01-06 15:15:00.020,1.33,,,[],,
2022aecr_22S05,2023-01-06 15:15:20.020,2023-01-06 15:21:40.020,6.33,9h42m41.361s,+9d54m29.98008s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 15:21:40.020,2023-01-06 15:24:40.020,3.0,,,['filter:V to R'],,
2022aecr_22S05,2023-01-06 15:24:40.020,2023-01-06 15:31:00.020,6.33,9h42m41.361s,+9d54m29.98008s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 15:31:00.020,2023-01-06 15:31:40.020,0.67,,,[],,
2022advr_22S05,2023-01-06 15:34:00.021,2023-01-06 15:40:20.021,6.33,10h22m48.991992s,+3d45m18.86004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 15:40:20.021,2023-01-06 15:43:20.021,3.0,,,['filter:R to V'],,
2022advr_22S05,2023-01-06 15:43:40.021,2023-01-06 15:50:00.021,6.33,10h22m48.991992s,+3d45m18.86004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 15:50:00.021,2023-01-06 15:52:00.021,2.0,,,[],,
Shapley_Skymapper_22S05,2023-01-06 15:52:20.022,2023-01-06 15:58:40.022,6.33,13h32m00s,-31d30m00s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 15:58:40.022,2023-01-06 16:02:20.022,3.67,,,['filter:V to R'],,
2023aw_22S05,2023-01-06 16:02:40.022,2023-01-06 16:09:00.022,6.33,13h02m44.67s,-22d04m33.25008s,{'filter': 'R'},300,1
TransitionBlock,2023-01-06 16:09:00.022,2023-01-06 16:12:00.022,3.0,,,['filter:R to V'],,
2023aw_22S05,2023-01-06 16:12:20.022,2023-01-06 16:18:40.022,6.33,13h02m44.67s,-22d04m33.25008s,{'filter': 'V'},300,1
TransitionBlock,2023-01-06 16:18:40.022,2023-01-06 16:22:20.022,3.67,,,['filter:V to R'],,
Shapley_Skymapper_22S05,2023-01-06 16:22:40.023,2023-01-06 16:29:00.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
