target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022xbu_22S02,2023-01-03 09:00:00.007,2023-01-03 09:04:20.007,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 09:04:20.007,2023-01-03 09:05:00.007,0.67,,,[],,
2022wiv_22S02,2023-01-03 09:05:00.007,2023-01-03 09:09:20.007,4.33,0h17m40.51933333s,+0d58m42.72s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 09:09:20.007,2023-01-03 09:10:00.007,0.67,,,[],,
2022xkq_22S02,2023-01-03 09:10:00.007,2023-01-03 09:14:20.007,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 09:14:20.007,2023-01-03 09:15:40.007,1.33,,,[],,
2023E_22S05,2023-01-03 09:15:40.007,2023-01-03 09:22:00.007,6.33,1h15m55.756008s,-50d11m14.89992s,{'filter': 'V'},300,1
TransitionBlock,2023-01-03 09:22:00.007,2023-01-03 09:25:00.007,3.0,,,['filter:V to R'],,
2023E_22S05,2023-01-03 09:25:00.007,2023-01-03 09:31:20.007,6.33,1h15m55.756008s,-50d11m14.89992s,{'filter': 'R'},300,1
TransitionBlock,2023-01-03 09:31:20.007,2023-01-03 09:36:20.007,5.0,,,['filter:R to V'],,
2022yxp_22S02,2023-01-03 09:36:20.007,2023-01-03 09:40:40.007,4.33,0h19m44.37466667s,+1d49m06.9s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 09:40:40.007,2023-01-03 09:41:20.007,0.67,,,[],,
2022ucj_22S02,2023-01-03 09:41:20.007,2023-01-03 09:45:40.007,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 09:45:40.007,2023-01-03 09:46:00.007,0.33,,,[],,
2022udc_22S02,2023-01-03 09:46:00.007,2023-01-03 09:50:20.007,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 09:50:20.007,2023-01-03 09:52:20.007,2.0,,,[],,
2022aeed_22S05,2023-01-03 09:52:40.009,2023-01-03 09:59:00.009,6.33,4h07m33.976008s,-31d28m18.95988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-03 09:59:00.009,2023-01-03 10:02:00.009,3.0,,,['filter:V to R'],,
2022aeed_22S05,2023-01-03 10:02:00.009,2023-01-03 10:08:20.009,6.33,4h07m33.976008s,-31d28m18.95988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-03 10:08:20.009,2023-01-03 10:13:00.009,4.67,,,['filter:R to V'],,
2022ydv_22S02,2023-01-03 10:13:00.009,2023-01-03 10:17:20.009,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 10:17:20.009,2023-01-03 10:18:40.009,1.33,,,[],,
2022ydu_22S02,2023-01-03 10:18:40.009,2023-01-03 10:23:00.009,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 10:23:00.009,2023-01-03 10:23:20.009,0.33,,,[],,
2022tiv_22S02,2023-01-03 10:23:20.009,2023-01-03 10:27:40.009,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 10:27:40.009,2023-01-03 10:29:00.009,1.33,,,[],,
2021aefx_22S02,2023-01-03 10:29:00.009,2023-01-03 10:33:20.009,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 10:33:20.009,2023-01-03 10:35:20.009,2.0,,,[],,
2022vye_22S02,2023-01-03 10:35:20.009,2023-01-03 10:39:40.009,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1
TransitionBlock,2023-01-03 10:39:40.009,2023-01-03 10:43:20.009,3.67,,,['filter:V to R'],,
2022abgg_22S05,2023-01-03 10:43:20.009,2023-01-03 10:49:40.009,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-03 10:49:40.009,2023-01-03 10:53:20.009,3.67,,,['filter:R to V'],,
2022abic_22S05,2023-01-03 10:53:20.009,2023-01-03 10:59:40.009,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'V'},300,1
TransitionBlock,2023-01-03 10:59:40.009,2023-01-03 11:02:40.009,3.0,,,['filter:V to R'],,
2022abic_22S05,2023-01-03 11:02:40.009,2023-01-03 11:09:00.009,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'R'},300,1
