target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-01-24 08:47:40.006,2023-01-24 09:29:40.006,42.0,1h17m09.61s,-15d47m16.6s,{'filter': 'R'},60,18
TransitionBlock,2023-01-24 09:29:40.006,2023-01-24 09:31:20.006,1.67,,,[],,
C2014_UN271_22S01,2023-01-24 09:31:20.006,2023-01-24 09:38:20.006,7.0,2h27m32.5s,-59d57m03.3s,{'filter': 'R'},60,3
TransitionBlock,2023-01-24 09:38:20.006,2023-01-24 09:41:40.006,3.33,,,['filter:R to V'],,
2022ydv_22S02,2023-01-24 09:41:40.006,2023-01-24 09:46:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-24 09:46:00.006,2023-01-24 09:47:20.006,1.33,,,[],,
2022ydu_22S02,2023-01-24 09:47:20.006,2023-01-24 09:51:40.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-24 09:51:40.006,2023-01-24 09:56:20.006,4.67,,,['filter:V to R'],,
C2022_F1_22S01,2023-01-24 09:56:20.006,2023-01-24 09:59:40.006,3.33,21h31m13.39s,-61d52m36.8s,{'filter': 'R'},120,1
TransitionBlock,2023-01-24 09:59:40.006,2023-01-24 10:01:00.006,1.33,,,[],,
C2019_E3_22S01,2023-01-24 10:01:40.009,2023-01-24 10:43:40.009,42.0,5h59m06.39s,-76d14m53.8s,{'filter': 'R'},60,18
TransitionBlock,2023-01-24 10:43:40.009,2023-01-24 10:45:00.009,1.33,,,[],,
C2021_S3_22S01,2023-01-24 10:45:00.009,2023-01-24 11:35:00.009,50.0,5h25m46.49s,-37d57m35.7s,{'filter': 'R'},20,30
TransitionBlock,2023-01-24 11:35:00.009,2023-01-24 11:36:00.009,1.0,,,[],,
C2022_R6_22S01,2023-01-24 11:36:00.009,2023-01-24 11:39:20.009,3.33,3h11m49.81s,-40d13m26.7s,{'filter': 'R'},120,1
TransitionBlock,2023-01-24 11:39:20.009,2023-01-24 11:41:20.009,2.0,,,[],,
C2021_E3_22S01,2023-01-24 11:42:20.013,2023-01-24 12:32:20.013,50.0,7h42m18.54s,-36d51m20.2s,{'filter': 'R'},20,30
TransitionBlock,2023-01-24 12:32:20.013,2023-01-24 12:33:00.013,0.67,,,[],,
2022acwj_22S05,2023-01-24 12:36:20.015,2023-01-24 12:42:40.015,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-24 12:42:40.015,2023-01-24 12:44:20.015,1.67,,,[],,
C2021_A9_22S01,2023-01-24 12:44:40.015,2023-01-24 12:48:00.015,3.33,8h20m55.45s,+14d23m40.1s,{'filter': 'R'},120,1
TransitionBlock,2023-01-24 12:48:00.015,2023-01-24 12:50:00.015,2.0,,,[],,
C2021_G2_22S01,2023-01-24 12:52:40.015,2023-01-24 13:42:40.015,50.0,9h04m29.12s,-39d25m35.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-24 13:42:40.015,2023-01-24 13:43:00.015,0.33,,,[],,
C2019_L3_22S01,2023-01-24 13:43:20.017,2023-01-24 14:33:20.017,50.0,9h43m27.18s,-33d43m11.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-24 14:33:20.017,2023-01-24 14:38:20.017,5.0,,,['filter:R to V'],,
2022adbx_22S05,2023-01-24 14:44:40.019,2023-01-24 14:51:00.019,6.33,11h22m33.6s,+20d41m59.93016s,{'filter': 'V'},300,1
TransitionBlock,2023-01-24 14:51:00.019,2023-01-24 14:55:20.019,4.33,,,['filter:V to R'],,
2022aduk_22S05,2023-01-24 14:55:40.020,2023-01-24 15:02:00.020,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-24 15:02:00.020,2023-01-24 15:05:20.020,3.33,,,[],,
C2021_P4_22S01,2023-01-24 15:05:40.020,2023-01-24 15:13:00.020,7.33,19h44m31.49s,-64d40m02.6s,{'filter': 'R'},30,4
TransitionBlock,2023-01-24 15:13:00.020,2023-01-24 15:14:00.020,1.0,,,[],,
C2021_C5_22S01,2023-01-24 15:14:20.020,2023-01-24 16:00:20.020,46.0,15h36m51.52s,-66d05m00.1s,{'filter': 'R'},30,25
TransitionBlock,2023-01-24 16:00:20.020,2023-01-24 16:03:00.020,2.67,,,[],,
A2019_U5_22S01,2023-01-24 16:03:20.022,2023-01-24 16:45:20.022,42.0,13h41m59.19s,+1d51m39.5s,{'filter': 'R'},60,18
TransitionBlock,2023-01-24 16:45:20.022,2023-01-24 16:46:40.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-24 16:47:00.024,2023-01-24 16:53:20.024,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
