target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
C2022_F1_2022S-01,2022-11-13 08:13:40.005,2022-11-13 08:40:40.005,27.0,19h24m14.09s,-72d26m01.1s,{'filter': 'R'}
TransitionBlock,2022-11-13 08:40:40.005,2022-11-13 08:43:20.005,2.67,,,[]
395P_2022S-01,2022-11-13 08:43:20.005,2022-11-13 09:12:00.005,28.67,22h58m01.45s,-3d40m22.2s,{'filter': 'R'}
TransitionBlock,2022-11-13 09:12:00.005,2022-11-13 09:18:00.005,6.0,,,['filter:R to V']
2022wwt2022S-05,2022-11-13 09:18:00.005,2022-11-13 09:23:40.005,5.67,17h48m28.281s,-60d34m29.29008s,{'filter': 'V'}
TransitionBlock,2022-11-13 09:23:40.005,2022-11-13 09:30:00.005,6.33,,,['filter:V to R']
382P_2022S-01,2022-11-13 09:30:40.008,2022-11-13 09:58:00.008,27.33,0h34m55.22s,-0d29m41.2s,{'filter': 'R'}
TransitionBlock,2022-11-13 09:58:00.008,2022-11-13 09:59:20.008,1.33,,,[]
2022wsu2022S-05,2022-11-13 10:01:40.009,2022-11-13 10:07:20.009,5.67,2h16m11.652s,+17d58m15.44016s,{'filter': 'R'}
TransitionBlock,2022-11-13 10:07:20.009,2022-11-13 10:08:20.009,1.0,,,[]
2022jzx2022S-05,2022-11-13 10:08:40.009,2022-11-13 10:14:20.009,5.67,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'}
TransitionBlock,2022-11-13 10:14:20.009,2022-11-13 10:15:40.009,1.33,,,[]
A2021_X2_2022S-01,2022-11-13 10:15:40.009,2022-11-13 10:42:00.009,26.33,0h48m05.09s,-34d52m50.9s,{'filter': 'R'}
TransitionBlock,2022-11-13 10:42:00.009,2022-11-13 10:43:00.009,1.0,,,[]
C2021_T4_2022S-01,2022-11-13 10:45:40.010,2022-11-13 11:11:20.010,25.67,1h49m05.72s,-9d30m36.9s,{'filter': 'R'}
TransitionBlock,2022-11-13 11:11:20.010,2022-11-13 11:14:00.010,2.67,,,[]
73P-BU_2022S-01,2022-11-13 11:14:00.010,2022-11-13 11:41:00.010,27.0,20h58m13.07s,-30d01m05.7s,{'filter': 'R'}
TransitionBlock,2022-11-13 11:41:00.010,2022-11-13 11:44:00.010,3.0,,,[]
P2021_R1_2022S-01,2022-11-13 11:44:00.010,2022-11-13 12:11:40.010,27.67,2h21m21.4s,+7d09m01s,{'filter': 'R'}
TransitionBlock,2022-11-13 12:11:40.010,2022-11-13 12:13:00.010,1.33,,,[]
2022xhd2022S-05,2022-11-13 12:13:20.014,2022-11-13 12:19:00.014,5.67,3h39m32.199s,-17d39m51.78996s,{'filter': 'R'}
TransitionBlock,2022-11-13 12:19:00.014,2022-11-13 12:22:00.014,3.0,,,['filter:R to V']
2022xhd2022S-05,2022-11-13 12:22:20.014,2022-11-13 12:28:00.014,5.67,3h39m32.199s,-17d39m51.78996s,{'filter': 'V'}
TransitionBlock,2022-11-13 12:28:00.014,2022-11-13 12:31:20.014,3.33,,,['filter:V to R']
2022_QE78_2022S-01,2022-11-13 12:31:40.014,2022-11-13 12:58:20.014,26.67,3h35m58.2s,-21d31m19.9s,{'filter': 'R'}
TransitionBlock,2022-11-13 12:58:20.014,2022-11-13 12:59:20.014,1.0,,,[]
