target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_F1_2022S-01,2022-11-24 08:29:40.005,2022-11-24 08:39:40.005,10.0,19h46m54.98s,-70d44m31.1s,{'filter': 'R'},120,3
TransitionBlock,2022-11-24 08:39:40.005,2022-11-24 08:42:20.005,2.67,,,[],,
445P_2022S-01,2022-11-24 08:42:20.005,2022-11-24 08:48:40.005,6.33,23h19m34.77s,-5d39m57.8s,{'filter': 'R'},300,1
TransitionBlock,2022-11-24 08:48:40.005,2022-11-24 08:50:00.005,1.33,,,[],,
A2021_X2_2022S-01,2022-11-24 08:51:20.006,2022-11-24 08:57:40.006,6.33,0h28m10.22s,-35d54m11.3s,{'filter': 'R'},300,1
TransitionBlock,2022-11-24 08:57:40.006,2022-11-24 08:59:00.006,1.33,,,[],,
395P_2022S-01,2022-11-24 08:59:00.006,2022-11-24 09:09:00.006,10.0,23h00m40.86s,-3d34m21.7s,{'filter': 'R'},120,3
TransitionBlock,2022-11-24 09:09:00.006,2022-11-24 09:10:00.006,1.0,,,[],,
382P_2022S-01,2022-11-24 09:10:00.006,2022-11-24 09:20:00.006,10.0,0h33m31.37s,-0d42m53.6s,{'filter': 'R'},120,3
TransitionBlock,2022-11-24 09:20:00.006,2022-11-24 09:20:20.006,0.33,,,[],,
2022jzx_2022S-05,2022-11-24 09:25:20.008,2022-11-24 09:31:40.008,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-24 09:31:40.008,2022-11-24 09:33:40.008,2.0,,,[],,
73P-BU_2022S-01,2022-11-24 09:33:40.008,2022-11-24 10:57:40.008,84.0,21h39m05.14s,-26d08m45.2s,{'filter': 'R'},60,36
TransitionBlock,2022-11-24 10:57:40.008,2022-11-24 10:59:40.008,2.0,,,[],,
C2021_T4_2022S-01,2022-11-24 10:59:40.008,2022-11-24 11:16:20.008,16.67,1h28m09.82s,-11d16m41.2s,{'filter': 'R'},20,10
TransitionBlock,2022-11-24 11:16:20.008,2022-11-24 11:17:20.008,1.0,,,[],,
