target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
81P_22S01,2023-11-13 08:13:20.005,2023-11-13 08:16:40.005,3.33,18h39m37.59s,-22d01m59.1s,{'filter': 'R'},120,1
TransitionBlock,2023-11-13 08:16:40.005,2023-11-13 08:18:20.005,1.67,,,[],,
C2022_F1_22S01,2023-11-13 08:18:20.005,2023-11-13 08:21:40.005,3.33,22h10m04.3s,-47d55m23.4s,{'filter': 'R'},120,1
TransitionBlock,2023-11-13 08:21:40.005,2023-11-13 08:22:40.005,1.0,,,[],,
73P-JD001_22S01,2023-11-13 08:22:40.005,2023-11-13 08:30:00.005,7.33,20h35m48.21s,-35d09m39.9s,{'filter': 'R'},30,4
TransitionBlock,2023-11-13 08:30:00.005,2023-11-13 08:30:40.005,0.67,,,[],,
C2021_C5_22S01,2023-11-13 08:30:40.005,2023-11-13 09:07:20.005,36.67,19h34m14.2s,-45d05m03.2s,{'filter': 'R'},120,11
TransitionBlock,2023-11-13 09:07:20.005,2023-11-13 09:10:40.005,3.33,,,[],,
C2019_F1_22S01,2023-11-13 09:18:20.007,2023-11-13 09:55:00.007,36.67,2h01m56.63s,-0d17m57s,{'filter': 'R'},120,11
TransitionBlock,2023-11-13 09:55:00.007,2023-11-13 09:59:00.007,4.0,,,['filter:R to V'],,
2022hrs_22S02,2023-11-13 09:59:20.009,2023-11-13 10:03:40.009,4.33,0h50m54.289s,+11d34m35.87s,{'filter': 'V'},180,1
TransitionBlock,2023-11-13 10:03:40.009,2023-11-13 10:07:00.009,3.33,,,['filter:V to R'],,
2060_22S01,2023-11-13 10:07:00.009,2023-11-13 10:10:20.009,3.33,0h56m31.77s,+7d38m03s,{'filter': 'R'},120,1
TransitionBlock,2023-11-13 10:10:20.009,2023-11-13 10:13:00.009,2.67,,,[],,
C2014_UN271_22S01,2023-11-13 10:19:20.010,2023-11-13 10:26:20.010,7.0,3h13m41.76s,-65d58m07.2s,{'filter': 'R'},60,3
TransitionBlock,2023-11-13 10:26:20.010,2023-11-13 10:27:00.010,0.67,,,[],,
C2019_E3_22S01,2023-11-13 10:27:20.010,2023-11-13 11:09:20.010,42.0,4h15m37.13s,-77d24m17.5s,{'filter': 'R'},60,18
TransitionBlock,2023-11-13 11:09:20.010,2023-11-13 11:11:20.010,2.0,,,[],,
C2022_S4_22S01,2023-11-13 11:11:40.011,2023-11-13 11:57:40.011,46.0,2h35m14.76s,-22d10m09.3s,{'filter': 'R'},30,25
TransitionBlock,2023-11-13 11:57:40.011,2023-11-13 11:59:00.011,1.33,,,[],,
C2022_R6_22S01,2023-11-13 11:59:20.013,2023-11-13 12:41:20.013,42.0,5h10m40.21s,-40d36m16s,{'filter': 'R'},60,18
TransitionBlock,2023-11-13 12:41:20.013,2023-11-13 12:42:20.013,1.0,,,[],,
2022_QE78_22S01,2023-11-13 12:42:40.015,2023-11-13 13:28:40.015,46.0,4h52m14.82s,-12d43m09.5s,{'filter': 'R'},30,25
TransitionBlock,2023-11-13 13:28:40.015,2023-11-13 13:30:20.015,1.67,,,[],,
285P_22S01,2023-11-13 13:30:40.017,2023-11-13 14:12:40.017,42.0,8h11m44.75s,-8d21m10.7s,{'filter': 'R'},60,18
TransitionBlock,2023-11-13 14:12:40.017,2023-11-13 14:15:00.017,2.33,,,[],,
C2022_E3_22S01,2023-11-13 14:15:20.018,2023-11-13 15:01:20.018,46.0,5h29m36.18s,-60d56m58.1s,{'filter': 'R'},30,25
TransitionBlock,2023-11-13 15:01:20.018,2023-11-13 15:05:40.018,4.33,,,['filter:R to V'],,
2021aefx_22S02,2023-11-13 15:05:40.018,2023-11-13 15:10:00.018,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-11-13 15:10:00.018,2023-11-13 15:16:40.018,6.67,,,['filter:V to R'],,
103P_22S01,2023-11-13 15:21:00.021,2023-11-13 15:29:20.021,8.33,8h50m16.57s,-1d16m52.8s,{'filter': 'R'},20,5
TransitionBlock,2023-11-13 15:29:20.021,2023-11-13 15:30:00.021,0.67,,,[],,
C2021_E3_22S01,2023-11-13 15:30:20.021,2023-11-13 15:33:40.021,3.33,7h58m27.83s,+2d23m31.4s,{'filter': 'R'},120,1
TransitionBlock,2023-11-13 15:33:40.021,2023-11-13 15:34:20.021,0.67,,,[],,
C2021_A9_22S01,2023-11-13 15:34:40.021,2023-11-13 15:38:00.021,3.33,7h31m43.92s,+10d00m08s,{'filter': 'R'},120,1
TransitionBlock,2023-11-13 15:38:00.021,2023-11-13 15:40:20.021,2.33,,,[],,
A2019_U5_22S01,2023-11-13 15:40:40.021,2023-11-13 15:44:00.021,3.33,10h44m28.22s,-30d36m17.4s,{'filter': 'R'},120,1
TransitionBlock,2023-11-13 15:44:00.021,2023-11-13 15:45:00.021,1.0,,,[],,
C2022_A3_22S01,2023-11-13 15:45:20.021,2023-11-13 16:31:20.021,46.0,9h41m27.4s,-50d29m33s,{'filter': 'R'},30,25
