target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022hrs_22S02,2022-12-17 08:54:40.006,2022-12-17 08:59:00.006,4.33,0h50m54.289s,+11d34m35.87s,{'filter': 'V'},180,1
TransitionBlock,2022-12-17 08:59:00.006,2022-12-17 09:03:40.006,4.67,,,['filter:V to R'],,
73P_22S01,2022-12-17 09:03:40.006,2022-12-17 09:12:00.006,8.33,22h34m54.42s,-19d21m57.3s,{'filter': 'R'},20,5
TransitionBlock,2022-12-17 09:12:00.006,2022-12-17 09:13:40.006,1.67,,,[],,
2060_22S01,2022-12-17 09:13:40.006,2022-12-17 09:17:00.006,3.33,0h39m57.97s,+6d15m57.5s,{'filter': 'R'},120,1
TransitionBlock,2022-12-17 09:17:00.006,2022-12-17 09:18:00.006,1.0,,,[],,
C2019_F1_22S01,2022-12-17 09:18:00.006,2022-12-17 10:04:00.006,46.0,1h14m57.8s,-21d03m26.4s,{'filter': 'R'},30,25
TransitionBlock,2022-12-17 10:04:00.006,2022-12-17 10:05:00.006,1.0,,,[],,
22P_22S01,2022-12-17 10:05:00.006,2022-12-17 10:47:00.006,42.0,0h51m16.37s,-0d37m02.1s,{'filter': 'R'},60,18
TransitionBlock,2022-12-17 10:47:00.006,2022-12-17 10:49:20.006,2.33,,,[],,
C2014_UN271_22S01,2022-12-17 10:49:20.006,2022-12-17 10:56:20.006,7.0,2h32m28.43s,-61d11m20.9s,{'filter': 'R'},60,3
TransitionBlock,2022-12-17 10:56:20.006,2022-12-17 11:01:20.006,5.0,,,['filter:R to V'],,
2022xkq_22S02,2022-12-17 11:01:20.006,2022-12-17 11:05:40.006,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1
TransitionBlock,2022-12-17 11:05:40.006,2022-12-17 11:06:00.006,0.33,,,[],,
2022ucj_22S02,2022-12-17 11:06:00.006,2022-12-17 11:10:20.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
