target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
81P_22S01,2023-11-15 08:16:20.005,2023-11-15 08:19:40.005,3.33,18h42m38.3s,-22d00m14.3s,{'filter': 'R'},120,1
TransitionBlock,2023-11-15 08:19:40.005,2023-11-15 08:21:20.005,1.67,,,[],,
C2022_F1_22S01,2023-11-15 08:21:20.005,2023-11-15 08:24:40.005,3.33,22h10m10.71s,-47d35m53.9s,{'filter': 'R'},120,1
TransitionBlock,2023-11-15 08:24:40.005,2023-11-15 08:25:40.005,1.0,,,[],,
73P-JD001_22S01,2023-11-15 08:25:40.005,2023-11-15 08:33:00.005,7.33,20h46m06.32s,-34d16m22.1s,{'filter': 'R'},30,4
TransitionBlock,2023-11-15 08:33:00.005,2023-11-15 08:38:00.005,5.0,,,['filter:R to V'],,
2022zxj_22S02,2023-11-15 08:42:40.006,2023-11-15 08:47:00.006,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 08:47:00.006,2023-11-15 08:47:20.006,0.33,,,[],,
2022aaaw_22S02,2023-11-15 08:47:40.006,2023-11-15 08:52:00.006,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 08:52:00.006,2023-11-15 08:53:00.006,1.0,,,[],,
2022aajn_22S02,2023-11-15 08:53:20.006,2023-11-15 08:57:40.006,4.33,0h28m33.03733333s,+21d04m21.33s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 08:57:40.006,2023-11-15 09:00:20.006,2.67,,,[],,
2021aefx_22S02,2023-11-15 09:00:40.007,2023-11-15 09:05:00.007,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 09:05:00.007,2023-11-15 09:10:00.007,5.0,,,['filter:V to R'],,
C2019_F1_22S01,2023-11-15 09:10:20.007,2023-11-15 09:47:00.007,36.67,2h01m00.09s,-0d16m20.1s,{'filter': 'R'},120,11
TransitionBlock,2023-11-15 09:47:00.007,2023-11-15 09:51:00.007,4.0,,,['filter:R to V'],,
2022hrs_22S02,2023-11-15 09:51:20.008,2023-11-15 09:55:40.008,4.33,0h50m54.289s,+11d34m35.87s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 09:55:40.008,2023-11-15 09:59:00.008,3.33,,,['filter:V to R'],,
2060_22S01,2023-11-15 09:59:00.008,2023-11-15 10:02:20.008,3.33,0h56m15.28s,+7d36m03.5s,{'filter': 'R'},120,1
TransitionBlock,2023-11-15 10:02:20.008,2023-11-15 10:06:00.008,3.67,,,['filter:R to V'],,
2022ihz_22S02,2023-11-15 10:06:00.008,2023-11-15 10:10:20.008,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 10:10:20.008,2023-11-15 10:10:40.008,0.33,,,[],,
2022ywf_22S02,2023-11-15 10:10:40.008,2023-11-15 10:15:00.008,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 10:15:00.008,2023-11-15 10:15:40.008,0.67,,,[],,
2022zut_22S02,2023-11-15 10:15:40.008,2023-11-15 10:20:00.008,4.33,0h46m43.92133333s,+11d28m10.9s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 10:20:00.008,2023-11-15 10:26:20.008,6.33,,,['filter:V to R'],,
C2019_E3_22S01,2023-11-15 10:27:20.010,2023-11-15 11:09:20.010,42.0,4h10m21.06s,-77d25m35.7s,{'filter': 'R'},60,18
TransitionBlock,2023-11-15 11:09:20.010,2023-11-15 11:11:20.010,2.0,,,[],,
C2022_S4_22S01,2023-11-15 11:11:40.011,2023-11-15 11:57:40.011,46.0,2h32m26.47s,-22d45m35.3s,{'filter': 'R'},30,25
TransitionBlock,2023-11-15 11:57:40.011,2023-11-15 12:02:00.011,4.33,,,['filter:R to V'],,
2022ydv_22S02,2023-11-15 12:02:00.011,2023-11-15 12:06:20.011,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-11-15 12:06:20.011,2023-11-15 12:10:00.011,3.67,,,['filter:V to R'],,
C2014_UN271_22S01,2023-11-15 12:10:40.014,2023-11-15 12:17:40.014,7.0,3h12m42.8s,-65d59m49.7s,{'filter': 'R'},60,3
TransitionBlock,2023-11-15 12:17:40.014,2023-11-15 12:19:00.014,1.33,,,[],,
C2022_R6_22S01,2023-11-15 12:31:00.014,2023-11-15 13:13:00.014,42.0,5h09m59.2s,-40d41m46.7s,{'filter': 'R'},60,18
TransitionBlock,2023-11-15 13:13:00.014,2023-11-15 13:14:00.014,1.0,,,[],,
2022_QE78_22S01,2023-11-15 13:14:20.016,2023-11-15 14:00:20.016,46.0,4h51m32.5s,-12d45m02.7s,{'filter': 'R'},30,25
TransitionBlock,2023-11-15 14:00:20.016,2023-11-15 14:02:00.016,1.67,,,[],,
C2022_E3_22S01,2023-11-15 14:02:20.018,2023-11-15 14:48:20.018,46.0,5h24m18.37s,-61d18m29.2s,{'filter': 'R'},30,25
TransitionBlock,2023-11-15 14:48:20.018,2023-11-15 14:50:20.018,2.0,,,[],,
A2019_U5_22S01,2023-11-15 14:53:40.020,2023-11-15 14:57:00.020,3.33,10h43m54.81s,-31d07m34.1s,{'filter': 'R'},120,1
TransitionBlock,2023-11-15 14:57:00.020,2023-11-15 14:58:40.020,1.67,,,[],,
285P_22S01,2023-11-15 14:59:00.020,2023-11-15 15:41:00.020,42.0,8h11m50.98s,-8d36m02.4s,{'filter': 'R'},60,18
TransitionBlock,2023-11-15 15:41:00.020,2023-11-15 15:42:40.020,1.67,,,[],,
C2022_A3_22S01,2023-11-15 15:43:00.021,2023-11-15 16:29:00.021,46.0,9h41m02.22s,-51d22m55.6s,{'filter': 'R'},30,25
