target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
22P_22S01,2023-01-09 08:58:20.007,2023-01-09 09:35:00.007,36.67,1h06m01.36s,+1d41m35.9s,{'filter': 'R'},120,11
TransitionBlock,2023-01-09 09:35:00.007,2023-01-09 09:35:40.007,0.67,,,[],,
C2019_F1_22S01,2023-01-09 09:35:40.007,2023-01-09 10:17:40.007,42.0,1h14m34.87s,-17d45m27.5s,{'filter': 'R'},60,18
TransitionBlock,2023-01-09 10:17:40.007,2023-01-09 10:19:20.007,1.67,,,[],,
C2014_UN271_22S01,2023-01-09 10:19:20.007,2023-01-09 10:26:20.007,7.0,2h28m12.03s,-60d29m05.7s,{'filter': 'R'},60,3
TransitionBlock,2023-01-09 10:26:20.007,2023-01-09 10:27:40.007,1.33,,,[],,
C2022_F1_22S01,2023-01-09 10:27:40.007,2023-01-09 10:31:00.007,3.33,21h09m29.17s,-63d49m17.5s,{'filter': 'R'},120,1
TransitionBlock,2023-01-09 10:31:00.007,2023-01-09 10:33:20.007,2.33,,,[],,
C2021_S3_22S01,2023-01-09 10:35:00.010,2023-01-09 11:25:00.010,50.0,5h35m53.38s,-38d32m35.9s,{'filter': 'R'},20,30
TransitionBlock,2023-01-09 11:25:00.010,2023-01-09 11:26:20.010,1.33,,,[],,
C2019_E3_22S01,2023-01-09 11:28:00.012,2023-01-09 12:10:00.012,42.0,6h29m32.68s,-76d34m36s,{'filter': 'R'},60,18
TransitionBlock,2023-01-09 12:10:00.012,2023-01-09 12:11:40.012,1.67,,,[],,
C2021_G2_22S01,2023-01-09 12:12:00.014,2023-01-09 13:02:00.014,50.0,9h09m34.56s,-38d56m37s,{'filter': 'R'},20,30
TransitionBlock,2023-01-09 13:02:00.014,2023-01-09 13:02:40.014,0.67,,,[],,
C2021_E3_22S01,2023-01-09 13:03:00.016,2023-01-09 13:53:00.016,50.0,8h14m38.41s,-40d55m04.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-09 13:53:00.016,2023-01-09 13:55:00.016,2.0,,,[],,
C2021_A9_22S01,2023-01-09 13:55:20.017,2023-01-09 13:58:40.017,3.33,8h32m46.16s,+14d05m23.6s,{'filter': 'R'},120,1
TransitionBlock,2023-01-09 13:58:40.017,2023-01-09 14:02:20.017,3.67,,,[],,
C2021_C5_22S01,2023-01-09 14:02:20.017,2023-01-09 14:48:20.017,46.0,14h54m50.54s,-62d34m47.1s,{'filter': 'R'},30,25
TransitionBlock,2023-01-09 14:48:20.017,2023-01-09 14:50:20.017,2.0,,,[],,
C2019_L3_22S01,2023-01-09 14:50:40.019,2023-01-09 15:40:40.019,50.0,9h51m48.99s,-31d58m45.1s,{'filter': 'R'},20,30
TransitionBlock,2023-01-09 15:40:40.019,2023-01-09 15:41:00.019,0.33,,,[],,
2022acwj_22S05,2023-01-09 15:41:00.019,2023-01-09 15:47:20.019,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-09 15:47:20.019,2023-01-09 15:49:40.019,2.33,,,[],,
2022adbx_22S05,2023-01-09 15:54:40.022,2023-01-09 16:01:00.022,6.33,11h22m33.6s,+20d41m59.93016s,{'filter': 'R'},300,1
TransitionBlock,2023-01-09 16:01:00.022,2023-01-09 16:04:00.022,3.0,,,['filter:R to V'],,
2022adbx_22S05,2023-01-09 16:04:20.022,2023-01-09 16:10:40.022,6.33,11h22m33.6s,+20d41m59.93016s,{'filter': 'V'},300,1
TransitionBlock,2023-01-09 16:10:40.022,2023-01-09 16:16:00.022,5.33,,,['filter:V to R'],,
81P_22S01,2023-01-09 16:16:20.023,2023-01-09 16:24:40.023,8.33,14h54m42s,-14d08m21.8s,{'filter': 'R'},20,5
TransitionBlock,2023-01-09 16:24:40.023,2023-01-09 16:25:40.023,1.0,,,[],,
Shapley_Skymapper_22S05,2023-01-09 16:26:00.023,2023-01-09 16:32:20.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
