target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
73P-JD001_22S01,2022-12-01 08:38:40.006,2022-12-01 08:46:00.006,7.33,21h14m31.45s,-26d51m05.9s,{'filter': 'R'},30,4,1
TransitionBlock,2022-12-01 08:46:00.006,2022-12-01 08:46:40.006,0.67,,,[],,,1
73P-BU_22S01,2022-12-01 08:46:40.006,2022-12-01 08:50:00.006,3.33,22h01m49.68s,-23d37m36s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-01 08:50:00.006,2022-12-01 08:50:20.006,0.33,,,[],,,1
73P-BV_22S01,2022-12-01 08:50:20.006,2022-12-01 08:53:40.006,3.33,21h53m23.43s,-24d18m45s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-01 08:53:40.006,2022-12-01 08:55:20.006,1.67,,,[],,,1
2022jzx_22S05,2022-12-01 08:57:40.007,2022-12-01 09:04:00.007,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-01 09:04:00.007,2022-12-01 09:07:40.007,3.67,,,['filter:R to V'],,,1
2022xhd _22S02,2022-12-01 09:07:40.007,2022-12-01 09:12:00.007,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-01 09:12:00.007,2022-12-01 09:12:20.007,0.33,,,[],,,1
2022ucj_22S02,2022-12-01 09:12:20.007,2022-12-01 09:16:40.007,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-01 09:16:40.007,2022-12-01 09:17:00.007,0.33,,,[],,,1
2022udc_22S02,2022-12-01 09:17:00.007,2022-12-01 09:21:20.007,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-01 09:21:20.007,2022-12-01 09:21:40.007,0.33,,,[],,,1
2022ssk_22S02,2022-12-01 09:21:40.007,2022-12-01 09:26:00.007,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-01 09:26:00.007,2022-12-01 09:26:20.007,0.33,,,[],,,1
2022ihz_22S02,2022-12-01 09:26:20.007,2022-12-01 09:30:40.007,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-01 09:30:40.007,2022-12-01 09:31:20.007,0.67,,,[],,,1
2022vye_22S02,2022-12-01 09:31:40.008,2022-12-01 09:36:00.008,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-01 09:36:00.008,2022-12-01 09:40:20.008,4.33,,,['filter:V to R'],,,1
395P_22S01,2022-12-01 09:40:20.008,2022-12-01 09:43:40.008,3.33,23h03m15.13s,-3d24m59.1s,{'filter': 'R'},120,1,2
TransitionBlock,2022-12-01 09:43:40.008,2022-12-01 09:49:00.008,5.33,,,['filter:R to V'],,,2
2022ydv_22S02,2022-12-01 09:49:00.008,2022-12-01 09:53:20.008,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 09:53:20.008,2022-12-01 09:54:40.008,1.33,,,[],,,2
2022tiv_22S02,2022-12-01 09:54:40.008,2022-12-01 09:59:00.008,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 09:59:00.008,2022-12-01 10:00:40.008,1.67,,,[],,,2
2022wsq_22S02,2022-12-01 10:00:40.008,2022-12-01 10:05:00.008,4.33,0h05m19.97s,+15d36m09.83s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:05:00.008,2022-12-01 10:06:00.008,1.0,,,[],,,2
2022wbc_22S02,2022-12-01 10:06:00.008,2022-12-01 10:10:20.008,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:10:20.008,2022-12-01 10:11:20.008,1.0,,,[],,,2
2022ywf_22S02,2022-12-01 10:11:20.008,2022-12-01 10:15:40.008,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:15:40.008,2022-12-01 10:17:40.008,2.0,,,[],,,2
2021aefx_22S02,2022-12-01 10:17:40.008,2022-12-01 10:22:00.008,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:22:00.008,2022-12-01 10:24:00.008,2.0,,,[],,,2
2022aaaw_22S02,2022-12-01 10:24:00.008,2022-12-01 10:28:20.008,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:28:20.008,2022-12-01 10:28:40.008,0.33,,,[],,,2
2022zxj_22S02,2022-12-01 10:28:40.008,2022-12-01 10:33:00.008,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:33:00.008,2022-12-01 10:33:40.008,0.67,,,[],,,2
2022zut_22S02,2022-12-01 10:33:40.008,2022-12-01 10:38:00.008,4.33,0h46m43.92133333s,+11d28m10.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:38:00.008,2022-12-01 10:38:40.008,0.67,,,[],,,2
2022yxp_22S02,2022-12-01 10:38:40.008,2022-12-01 10:43:00.008,4.33,0h19m44.37466667s,+1d49m06.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-01 10:43:00.008,2022-12-01 10:44:00.008,1.0,,,[],,,3
2022xxu_22S02,2022-12-01 10:44:00.008,2022-12-01 10:48:20.008,4.33,1h23m44.00733333s,+17d48m13.52s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-01 10:48:20.008,2022-12-01 10:50:00.008,1.67,,,[],,,3
2022ydu_22S02,2022-12-01 10:50:00.008,2022-12-01 10:54:20.008,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-01 10:54:20.008,2022-12-01 10:58:40.008,4.33,,,['filter:V to R'],,,3
C2022_R6_22S01,2022-12-01 11:02:20.011,2022-12-01 11:05:40.011,3.33,3h21m06.68s,-43d04m56.7s,{'filter': 'R'},120,1,3
TransitionBlock,2022-12-01 11:05:40.011,2022-12-01 11:06:40.011,1.0,,,[],,,3
2022_QE78_22S01,2022-12-01 11:07:00.011,2022-12-01 11:49:00.011,42.0,3h29m56.56s,-21d29m30.3s,{'filter': 'R'},60,18,3
