target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
TransitionBlock,2022-12-01 11:49:00.011,2022-12-01 11:51:40.011,2.67,,,[],,,4
C2022_F1_22S01,2022-12-01 11:51:40.011,2022-12-01 12:28:20.011,36.67,20h00m53.03s,-69d38m57.3s,{'filter': 'R'},120,11,4
TransitionBlock,2022-12-01 12:28:20.011,2022-12-01 12:30:40.011,2.33,,,[],,,4
C2019_F1_22S01,2022-12-01 12:30:40.011,2022-12-01 13:16:40.011,46.0,1h18m46.54s,-22d58m02.4s,{'filter': 'R'},30,25,5
TransitionBlock,2022-12-01 13:16:40.011,2022-12-01 13:18:40.011,2.0,,,[],,,5
C2021_Y1_22S01,2022-12-01 13:18:40.011,2022-12-01 13:27:00.011,8.33,4h18m11.4s,+11d15m53s,{'filter': 'R'},20,5,5
TransitionBlock,2022-12-01 13:27:00.011,2022-12-01 13:29:40.011,2.67,,,[],,,5
C2014_UN271_22S01,2022-12-01 13:29:40.011,2022-12-01 13:36:40.011,7.0,2h36m51.95s,-61d25m31.7s,{'filter': 'R'},60,3,5
TransitionBlock,2022-12-01 13:36:40.011,2022-12-01 13:39:00.011,2.33,,,[],,,6
2022yxp_22S05,2022-12-01 13:39:00.011,2022-12-01 13:45:20.011,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-01 13:45:20.011,2022-12-01 13:47:00.011,1.67,,,[],,,6
2022yjy_22S05,2022-12-01 13:48:20.017,2022-12-01 13:54:40.017,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-01 13:54:40.017,2022-12-01 13:57:40.017,3.0,,,[],,,6
C2019_E3_22S01,2022-12-01 13:58:00.018,2022-12-01 14:40:00.018,42.0,7h47m19.56s,-74d40m36.7s,{'filter': 'R'},60,18,6
TransitionBlock,2022-12-01 14:40:00.018,2022-12-01 14:42:00.018,2.0,,,[],,,7
C2022_E2_22S01,2022-12-01 14:42:20.019,2022-12-01 15:28:20.019,46.0,10h33m31.98s,-19d49m35.3s,{'filter': 'R'},30,25,7
TransitionBlock,2022-12-01 15:28:20.019,2022-12-01 15:29:20.019,1.0,,,[],,,7
157P_22S01,2022-12-01 15:29:40.021,2022-12-01 16:15:40.021,46.0,10h49m58.88s,+1d36m33.8s,{'filter': 'R'},30,25,7
