target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
22P_22S01,2023-01-18 08:53:00.006,2023-01-18 08:56:20.006,3.33,1h12m37.68s,+2d35m19.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-18 08:56:20.006,2023-01-18 08:57:00.006,0.67,,,[],,
C2019_F1_22S01,2023-01-18 08:57:00.006,2023-01-18 09:39:00.006,42.0,1h15m50.67s,-16d37m13.2s,{'filter': 'R'},60,18
TransitionBlock,2023-01-18 09:39:00.006,2023-01-18 09:40:40.006,1.67,,,[],,
C2014_UN271_22S01,2023-01-18 09:40:40.006,2023-01-18 09:47:40.006,7.0,2h27m38.79s,-60d11m02.8s,{'filter': 'R'},60,3
TransitionBlock,2023-01-18 09:47:40.006,2023-01-18 09:48:40.006,1.0,,,[],,
C2022_R6_22S01,2023-01-18 09:48:40.006,2023-01-18 09:52:00.006,3.33,3h11m44.27s,-40d42m34.9s,{'filter': 'R'},120,1
TransitionBlock,2023-01-18 09:52:00.006,2023-01-18 09:53:00.006,1.0,,,[],,
C2021_S3_22S01,2023-01-18 09:53:40.009,2023-01-18 10:43:40.009,50.0,5h29m48.88s,-38d17m10.7s,{'filter': 'R'},20,30
TransitionBlock,2023-01-18 10:43:40.009,2023-01-18 10:48:20.009,4.67,,,['filter:R to V'],,
2022ydv_22S02,2023-01-18 10:48:20.009,2023-01-18 10:52:40.009,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-18 10:52:40.009,2023-01-18 10:54:00.009,1.33,,,[],,
2022tiv_22S02,2023-01-18 10:54:00.009,2023-01-18 10:58:20.009,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-18 10:58:20.009,2023-01-18 10:59:40.009,1.33,,,[],,
2021aefx_22S02,2023-01-18 10:59:40.009,2023-01-18 11:04:00.009,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-18 11:04:00.009,2023-01-18 11:05:20.009,1.33,,,[],,
2022aczs_22S05,2023-01-18 11:05:20.009,2023-01-18 11:11:40.009,6.33,2h05m19.834008s,-23d41m53.39004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-18 11:11:40.009,2023-01-18 11:14:40.009,3.0,,,['filter:V to R'],,
2022aczs_22S05,2023-01-18 11:14:40.009,2023-01-18 11:21:00.009,6.33,2h05m19.834008s,-23d41m53.39004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-18 11:21:00.009,2023-01-18 11:24:00.009,3.0,,,[],,
C2021_G2_22S01,2023-01-18 11:28:00.012,2023-01-18 12:18:00.012,50.0,9h06m47.35s,-39d16m39s,{'filter': 'R'},20,30
TransitionBlock,2023-01-18 12:18:00.012,2023-01-18 12:18:40.012,0.67,,,[],,
C2021_E3_22S01,2023-01-18 12:19:00.014,2023-01-18 13:09:00.014,50.0,7h55m26.7s,-38d45m56.6s,{'filter': 'R'},20,30
TransitionBlock,2023-01-18 13:09:00.014,2023-01-18 13:11:00.014,2.0,,,[],,
C2021_A9_22S01,2023-01-18 13:13:20.016,2023-01-18 13:16:40.016,3.33,8h26m00.52s,+14d15m43.2s,{'filter': 'R'},120,1
TransitionBlock,2023-01-18 13:16:40.016,2023-01-18 13:20:40.016,4.0,,,['filter:R to V'],,
2022abdh_22S05,2023-01-18 13:24:40.016,2023-01-18 13:31:00.016,6.33,8h39m08.044992s,-8d51m47.66004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-18 13:31:00.016,2023-01-18 13:35:00.016,4.0,,,['filter:V to R'],,
2022acwj_22S05,2023-01-18 13:36:00.017,2023-01-18 13:42:20.017,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-18 13:42:20.017,2023-01-18 13:45:20.017,3.0,,,['filter:R to V'],,
2022acwj_22S05,2023-01-18 13:45:40.017,2023-01-18 13:52:00.017,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'V'},300,1
TransitionBlock,2023-01-18 13:52:00.017,2023-01-18 13:56:00.017,4.0,,,['filter:V to R'],,
97P_22S01,2023-01-18 13:56:20.017,2023-01-18 13:59:40.017,3.33,9h09m32.44s,-3d29m13.8s,{'filter': 'R'},120,1
TransitionBlock,2023-01-18 13:59:40.017,2023-01-18 14:00:40.017,1.0,,,[],,
2022aduk_22S05,2023-01-18 14:03:20.018,2023-01-18 14:09:40.018,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-18 14:09:40.018,2023-01-18 14:10:20.018,0.67,,,[],,
C2019_L3_22S01,2023-01-18 14:10:40.018,2023-01-18 15:00:40.018,50.0,9h47m15.8s,-33d03m23.3s,{'filter': 'R'},20,30
TransitionBlock,2023-01-18 15:00:40.018,2023-01-18 15:02:40.018,2.0,,,[],,
C2021_C5_22S01,2023-01-18 15:05:40.020,2023-01-18 15:51:40.020,46.0,15h18m23.78s,-64d39m02.7s,{'filter': 'R'},30,25
TransitionBlock,2023-01-18 15:51:40.020,2023-01-18 15:54:00.020,2.33,,,[],,
A2019_U5_22S01,2023-01-18 15:54:20.022,2023-01-18 16:36:20.022,42.0,13h45m41.71s,+2d18m29.5s,{'filter': 'R'},60,18
TransitionBlock,2023-01-18 16:36:20.022,2023-01-18 16:37:40.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-18 16:38:00.023,2023-01-18 16:44:20.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
