target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022jzx_22S05,2022-12-09 08:47:40.006,2022-12-09 08:54:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-12-09 08:54:00.006,2022-12-09 08:58:00.006,4.0,,,['filter:R to V'],,
2022uto_22S02,2022-12-09 08:58:00.006,2022-12-09 09:02:20.006,4.33,0h10m51.95866667s,+17d12m38.05s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 09:02:20.006,2022-12-09 09:03:00.006,0.67,,,[],,
2022hrs_22S02,2022-12-09 09:03:00.006,2022-12-09 09:07:20.006,4.33,0h50m54.289s,+11d34m35.87s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 09:07:20.006,2022-12-09 09:08:20.006,1.0,,,[],,
2022xkq_22S02,2022-12-09 09:08:20.006,2022-12-09 09:12:40.006,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 09:12:40.006,2022-12-09 09:13:20.006,0.67,,,[],,
2022tiv_22S02,2022-12-09 09:13:20.006,2022-12-09 09:17:40.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 09:17:40.006,2022-12-09 09:21:00.006,3.33,,,['filter:V to R'],,
2022abid_22S05,2022-12-09 09:21:20.007,2022-12-09 09:27:40.007,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'R'},300,1
TransitionBlock,2022-12-09 09:27:40.007,2022-12-09 09:30:40.007,3.0,,,['filter:R to V'],,
2022abid_22S05,2022-12-09 09:31:00.008,2022-12-09 09:37:20.008,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'V'},300,1
TransitionBlock,2022-12-09 09:37:20.008,2022-12-09 09:39:00.008,1.67,,,[],,
2022vqx_22S02,2022-12-09 09:39:00.008,2022-12-09 09:43:20.008,4.33,0h29m54.84733333s,+17d15m01.66s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 09:43:20.008,2022-12-09 09:44:40.008,1.33,,,[],,
2022abgg_22S05,2022-12-09 09:46:40.008,2022-12-09 09:53:00.008,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'V'},300,1
TransitionBlock,2022-12-09 09:53:00.008,2022-12-09 09:56:00.008,3.0,,,['filter:V to R'],,
2022abgg_22S05,2022-12-09 09:56:00.008,2022-12-09 10:02:20.008,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'R'},300,1
TransitionBlock,2022-12-09 10:02:20.008,2022-12-09 10:06:00.008,3.67,,,['filter:R to V'],,
2022xbu_22S02,2022-12-09 10:06:00.008,2022-12-09 10:10:20.008,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 10:10:20.008,2022-12-09 10:11:00.008,0.67,,,[],,
2022ucj_22S02,2022-12-09 10:11:00.008,2022-12-09 10:15:20.008,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 10:15:20.008,2022-12-09 10:15:40.008,0.33,,,[],,
2022udc_22S02,2022-12-09 10:15:40.008,2022-12-09 10:20:00.008,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 10:20:00.008,2022-12-09 10:21:40.008,1.67,,,[],,
2022abic_22S05,2022-12-09 10:23:00.010,2022-12-09 10:29:20.010,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'V'},300,1
TransitionBlock,2022-12-09 10:29:20.010,2022-12-09 10:32:20.010,3.0,,,['filter:V to R'],,
2022abic_22S05,2022-12-09 10:32:20.010,2022-12-09 10:38:40.010,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'R'},300,1
TransitionBlock,2022-12-09 10:38:40.010,2022-12-09 10:43:20.010,4.67,,,['filter:R to V'],,
2022ssk_22S02,2022-12-09 10:43:20.010,2022-12-09 10:47:40.010,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 10:47:40.010,2022-12-09 10:49:40.010,2.0,,,[],,
2022ydv_22S02,2022-12-09 10:49:40.010,2022-12-09 10:54:00.010,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 10:54:00.010,2022-12-09 10:55:20.010,1.33,,,[],,
2022ydu_22S02,2022-12-09 10:55:20.010,2022-12-09 10:59:40.010,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 10:59:40.010,2022-12-09 11:01:00.010,1.33,,,[],,
2022wbc_22S02,2022-12-09 11:01:00.010,2022-12-09 11:05:20.010,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 11:05:20.010,2022-12-09 11:06:20.010,1.0,,,[],,
2022ywf_22S02,2022-12-09 11:06:20.010,2022-12-09 11:10:40.010,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 11:10:40.010,2022-12-09 11:12:40.010,2.0,,,[],,
2021aefx_22S02,2022-12-09 11:12:40.010,2022-12-09 11:17:00.010,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2022-12-09 11:17:00.010,2022-12-09 11:19:00.010,2.0,,,[],,
