target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2021_A9_22S01,2025-01-26 09:21:20.006,2025-01-26 22:21:20.006000,2025-01-26 09:23:20.006,2025-01-26 22:23:20.006000,1.999999999999993,4h57m11.19s,+2d34m25.1s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.35}",120,1
TransitionBlock,2025-01-26 09:23:20.006,2025-01-26 22:23:20.006000,2025-01-26 09:23:40.006,2025-01-26 22:23:40.006000,0.3333333333333588,,,['filter:r to i'],,
C2021_A9_22S01,2025-01-26 09:23:40.006,2025-01-26 22:23:40.006000,2025-01-26 09:25:40.006,2025-01-26 22:25:40.006000,1.999999999999993,4h57m11.19s,+2d34m25.1s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.35}",120,1
TransitionBlock,2025-01-26 09:25:40.006,2025-01-26 22:25:40.006000,2025-01-26 09:28:20.006,2025-01-26 22:28:20.006000,2.6666666666666305,,,['filter:i to g'],,
C2024_T5_22S01,2025-01-26 09:28:20.006,2025-01-26 22:28:20.006000,2025-01-26 09:51:00.006,2025-01-26 22:51:00.006000,22.66666666666664,1h03m58.46s,-46d46m16.6s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.34}",120,11
TransitionBlock,2025-01-26 09:51:00.006,2025-01-26 22:51:00.006000,2025-01-26 09:51:20.006,2025-01-26 22:51:20.006000,0.3333333333333588,,,['filter:g to r'],,
C2024_T5_22S01,2025-01-26 09:51:20.006,2025-01-26 22:51:20.006000,2025-01-26 10:14:00.006,2025-01-26 23:14:00.006000,22.66666666666664,1h03m58.46s,-46d46m16.6s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.34}",120,11
TransitionBlock,2025-01-26 10:14:00.006,2025-01-26 23:14:00.006000,2025-01-26 10:14:20.006,2025-01-26 23:14:20.006000,0.3333333333333588,,,['filter:r to i'],,
C2024_T5_22S01,2025-01-26 10:14:20.006,2025-01-26 23:14:20.006000,2025-01-26 10:37:00.006,2025-01-26 23:37:00.006000,22.66666666666664,1h03m58.46s,-46d46m16.6s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.34}",120,11
TransitionBlock,2025-01-26 10:37:00.006,2025-01-26 23:37:00.006000,2025-01-26 10:39:20.006,2025-01-26 23:39:20.006000,2.3333333333333517,,,['filter:i to g'],,
