target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022jzx_22S05,2022-12-10 08:48:40.006,2022-12-10 08:55:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-12-10 08:55:00.006,2022-12-10 08:55:20.006,0.33,,,[],,
22P_22S01,2022-12-10 08:55:20.006,2022-12-10 09:37:20.006,42.0,0h48m57.1s,-1d05m17.8s,{'filter': 'R'},60,18
TransitionBlock,2022-12-10 09:37:20.006,2022-12-10 09:37:40.006,0.33,,,[],,
382P_22S01,2022-12-10 09:37:40.006,2022-12-10 09:41:00.006,3.33,0h34m20.23s,-0d40m36.3s,{'filter': 'R'},120,1
TransitionBlock,2022-12-10 09:41:00.006,2022-12-10 09:42:00.006,1.0,,,[],,
395P_22S01,2022-12-10 09:42:00.006,2022-12-10 09:45:20.006,3.33,23h07m19.78s,-3d07m24.2s,{'filter': 'R'},120,1
TransitionBlock,2022-12-10 09:45:20.006,2022-12-10 09:46:00.006,0.67,,,[],,
73P-BU_22S01,2022-12-10 09:46:00.006,2022-12-10 09:49:20.006,3.33,22h27m23.85s,-20d31m21.7s,{'filter': 'R'},120,1
TransitionBlock,2022-12-10 09:49:20.006,2022-12-10 09:51:20.006,2.0,,,[],,
C2014_UN271_22S01,2022-12-10 09:53:00.009,2022-12-10 10:00:00.009,7.0,2h34m07.27s,-61d18m26.5s,{'filter': 'R'},60,3
TransitionBlock,2022-12-10 10:00:00.009,2022-12-10 10:02:00.009,2.0,,,[],,
C2021_T4_22S01,2022-12-10 10:02:00.009,2022-12-10 10:52:00.009,50.0,1h01m48.52s,-12d57m57.4s,{'filter': 'R'},20,30
TransitionBlock,2022-12-10 10:52:00.009,2022-12-10 10:53:00.009,1.0,,,[],,
2060_22S01,2022-12-10 10:53:00.009,2022-12-10 10:56:20.009,3.33,0h40m08.9s,+6d18m11.9s,{'filter': 'R'},120,1
TransitionBlock,2022-12-10 10:56:20.009,2022-12-10 10:58:20.009,2.0,,,[],,
C2021_Y1_22S01,2022-12-10 11:01:00.011,2022-12-10 11:51:00.011,50.0,4h03m18.31s,+6d43m24.1s,{'filter': 'R'},20,30
TransitionBlock,2022-12-10 11:51:00.011,2022-12-10 11:54:40.011,3.67,,,[],,
C2022_F1_22S01,2022-12-10 11:54:40.011,2022-12-10 12:31:20.011,36.67,20h17m47.93s,-68d16m39.5s,{'filter': 'R'},120,11
TransitionBlock,2022-12-10 12:31:20.011,2022-12-10 12:35:40.011,4.33,,,['filter:R to V'],,
2022ydv_22S02,2022-12-10 12:35:40.011,2022-12-10 12:40:00.011,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-10 12:40:00.011,2022-12-10 12:41:20.011,1.33,,,[],,
2022ydu_22S02,2022-12-10 12:41:20.011,2022-12-10 12:45:40.011,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2022-12-10 12:45:40.011,2022-12-10 12:53:00.011,7.33,,,['filter:V to R'],,
C2022_E2_22S01,2022-12-10 12:54:00.015,2022-12-10 13:40:00.015,46.0,10h31m47.23s,-20d00m07.2s,{'filter': 'R'},30,25
TransitionBlock,2022-12-10 13:40:00.015,2022-12-10 13:41:00.015,1.0,,,[],,
C2021_G2_22S01,2022-12-10 13:41:20.017,2022-12-10 14:27:20.017,46.0,9h14m51.52s,-36d38m40.3s,{'filter': 'R'},30,25
TransitionBlock,2022-12-10 14:27:20.017,2022-12-10 14:27:40.017,0.33,,,[],,
C2021_E3_22S01,2022-12-10 14:28:00.019,2022-12-10 15:18:00.019,50.0,9h23m31.01s,-43d59m00.7s,{'filter': 'R'},20,30
TransitionBlock,2022-12-10 15:18:00.019,2022-12-10 15:19:40.019,1.67,,,[],,
C2021_C5_22S01,2022-12-10 15:20:00.021,2022-12-10 16:06:00.021,46.0,13h41m02.64s,-54d06m44.5s,{'filter': 'R'},30,25
TransitionBlock,2022-12-10 16:06:00.021,2022-12-10 16:09:20.021,3.33,,,[],,
C2021_A9_22S01,2022-12-10 16:09:40.022,2022-12-10 16:13:00.022,3.33,8h54m08.72s,+13d38m39.6s,{'filter': 'R'},120,1
