target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-01-20 08:51:40.006,2023-01-20 09:33:40.006,42.0,1h16m19.69s,-16d17m24.3s,{'filter': 'R'},60,18
TransitionBlock,2023-01-20 09:33:40.006,2023-01-20 09:35:20.006,1.67,,,[],,
C2014_UN271_22S01,2023-01-20 09:35:20.006,2023-01-20 09:42:20.006,7.0,2h27m34.45s,-60d05m33.9s,{'filter': 'R'},60,3
TransitionBlock,2023-01-20 09:42:20.006,2023-01-20 09:45:40.006,3.33,,,['filter:R to V'],,
2022ydv_22S02,2023-01-20 09:45:40.006,2023-01-20 09:50:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-20 09:50:00.006,2023-01-20 09:51:20.006,1.33,,,[],,
2022ydu_22S02,2023-01-20 09:51:20.006,2023-01-20 09:55:40.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-20 09:55:40.006,2023-01-20 09:56:00.006,0.33,,,[],,
2022tiv_22S02,2023-01-20 09:56:00.006,2023-01-20 10:00:20.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-20 10:00:20.006,2023-01-20 10:01:40.006,1.33,,,[],,
2021aefx_22S02,2023-01-20 10:01:40.006,2023-01-20 10:06:00.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-20 10:06:00.006,2023-01-20 10:08:00.006,2.0,,,[],,
2022xbu_22S02,2023-01-20 10:08:00.006,2023-01-20 10:12:20.006,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1
TransitionBlock,2023-01-20 10:12:20.006,2023-01-20 10:18:00.006,5.67,,,['filter:V to R'],,
C2022_F1_22S01,2023-01-20 10:18:00.006,2023-01-20 10:21:20.006,3.33,21h25m48.18s,-62d21m45.9s,{'filter': 'R'},120,1
TransitionBlock,2023-01-20 10:21:20.006,2023-01-20 10:22:40.006,1.33,,,[],,
C2019_E3_22S01,2023-01-20 10:24:40.010,2023-01-20 11:06:40.010,42.0,6h06m32.39s,-76d22m56.3s,{'filter': 'R'},60,18
TransitionBlock,2023-01-20 11:06:40.010,2023-01-20 11:08:00.010,1.33,,,[],,
C2021_S3_22S01,2023-01-20 11:08:00.010,2023-01-20 11:58:00.010,50.0,5h28m09.88s,-38d10m13.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-20 11:58:00.010,2023-01-20 11:59:00.010,1.0,,,[],,
C2022_R6_22S01,2023-01-20 11:59:00.010,2023-01-20 12:02:20.010,3.33,3h11m44.12s,-40d31m14.1s,{'filter': 'R'},120,1
TransitionBlock,2023-01-20 12:02:20.010,2023-01-20 12:04:20.010,2.0,,,[],,
C2021_E3_22S01,2023-01-20 12:05:40.013,2023-01-20 12:55:40.013,50.0,7h50m07.25s,-38d02m22.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-20 12:55:40.013,2023-01-20 12:57:40.013,2.0,,,[],,
C2021_A9_22S01,2023-01-20 13:03:20.016,2023-01-20 13:06:40.016,3.33,8h24m00.14s,+14d18m50.7s,{'filter': 'R'},120,1
TransitionBlock,2023-01-20 13:06:40.016,2023-01-20 13:08:40.016,2.0,,,[],,
C2021_G2_22S01,2023-01-20 13:10:20.016,2023-01-20 14:00:20.016,50.0,9h05m53.92s,-39d20m48s,{'filter': 'R'},20,30
TransitionBlock,2023-01-20 14:00:20.016,2023-01-20 14:01:00.016,0.67,,,[],,
C2019_L3_22S01,2023-01-20 14:01:20.018,2023-01-20 14:51:20.018,50.0,9h45m47.76s,-33d19m58.2s,{'filter': 'R'},20,30
TransitionBlock,2023-01-20 14:51:20.018,2023-01-20 14:51:40.018,0.33,,,[],,
2022acwj_22S05,2023-01-20 14:51:40.018,2023-01-20 14:58:00.018,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-20 14:58:00.018,2023-01-20 14:59:00.018,1.0,,,[],,
2022aduk_22S05,2023-01-20 14:59:40.020,2023-01-20 15:06:00.020,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-20 15:06:00.020,2023-01-20 15:08:20.020,2.33,,,[],,
C2021_C5_22S01,2023-01-20 15:08:40.020,2023-01-20 15:54:40.020,46.0,15h25m35.38s,-65d13m40.8s,{'filter': 'R'},30,25
TransitionBlock,2023-01-20 15:54:40.020,2023-01-20 15:57:00.020,2.33,,,[],,
A2019_U5_22S01,2023-01-20 15:57:20.022,2023-01-20 16:39:20.022,42.0,13h44m20.19s,+2d07m39.2s,{'filter': 'R'},60,18
TransitionBlock,2023-01-20 16:39:20.022,2023-01-20 16:40:40.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-20 16:41:00.023,2023-01-20 16:47:20.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
