target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_E3_22S01,2023-02-20 08:10:20.005,2023-02-20 09:00:20.005,50.0,4h38m49.76s,+8d28m21s,{'filter': 'R'},20,30
TransitionBlock,2023-02-20 09:00:20.005,2023-02-20 09:01:40.005,1.33,,,[],,
C2021_Y1_22S01,2023-02-20 09:01:40.005,2023-02-20 09:51:40.005,50.0,3h19m38.4s,-15d18m43s,{'filter': 'R'},20,30
TransitionBlock,2023-02-20 09:51:40.005,2023-02-20 09:53:00.005,1.33,,,[],,
C2021_S3_22S01,2023-02-20 09:53:00.005,2023-02-20 10:01:20.005,8.33,5h14m00.48s,-35d13m46s,{'filter': 'R'},20,5
TransitionBlock,2023-02-20 10:01:20.005,2023-02-20 10:02:40.005,1.33,,,[],,
C2014_UN271_22S01,2023-02-20 10:02:40.005,2023-02-20 10:09:40.005,7.0,2h30m20.39s,-58d49m40.8s,{'filter': 'R'},60,3
TransitionBlock,2023-02-20 10:09:40.005,2023-02-20 10:13:00.005,3.33,,,[],,
C2021_A9_22S01,2023-02-20 10:13:00.005,2023-02-20 10:16:20.005,3.33,7h57m51.68s,+14d59m25.3s,{'filter': 'R'},120,1
TransitionBlock,2023-02-20 10:16:20.005,2023-02-20 10:18:20.005,2.0,,,[],,
C2021_G2_22S01,2023-02-20 10:18:40.009,2023-02-20 11:08:40.009,50.0,8h52m50.01s,-38d57m28.1s,{'filter': 'R'},20,30
TransitionBlock,2023-02-20 11:08:40.009,2023-02-20 11:10:00.009,1.33,,,[],,
C2022_A3_22S01,2023-02-20 11:10:20.011,2023-02-20 11:56:20.011,46.0,9h20m24.26s,-5d14m44.4s,{'filter': 'R'},30,25
TransitionBlock,2023-02-20 11:56:20.011,2023-02-20 11:57:00.011,0.67,,,[],,
C2022_E2_22S01,2023-02-20 11:57:20.013,2023-02-20 12:47:20.013,50.0,9h43m39.15s,-16d25m38.2s,{'filter': 'R'},20,30
TransitionBlock,2023-02-20 12:47:20.013,2023-02-20 12:49:40.013,2.33,,,[],,
C2019_E3_22S01,2023-02-20 12:49:40.013,2023-02-20 13:31:40.013,42.0,5h15m26.32s,-74d20m26.8s,{'filter': 'R'},60,18
TransitionBlock,2023-02-20 13:31:40.013,2023-02-20 13:33:20.013,1.67,,,[],,
C2019_L3_22S01,2023-02-20 13:33:20.013,2023-02-20 14:23:20.013,50.0,9h23m20.31s,-35d14m12.6s,{'filter': 'R'},20,30
TransitionBlock,2023-02-20 14:23:20.013,2023-02-20 14:24:20.013,1.0,,,[],,
C2022_T1_22S01,2023-02-20 14:24:20.013,2023-02-20 15:01:00.013,36.67,8h33m36.75s,-9d49m36.2s,{'filter': 'R'},120,11
TransitionBlock,2023-02-20 15:01:00.013,2023-02-20 15:03:20.013,2.33,,,[],,
A2019_U5_22S01,2023-02-20 15:08:20.020,2023-02-20 15:50:20.020,42.0,13h10m42.41s,+0d07m19.4s,{'filter': 'R'},60,18
TransitionBlock,2023-02-20 15:50:20.020,2023-02-20 15:52:20.020,2.0,,,[],,
99P_22S01,2023-02-20 15:52:40.022,2023-02-20 16:34:40.022,42.0,16h21m33.31s,-23d33m36.5s,{'filter': 'R'},60,18
TransitionBlock,2023-02-20 16:34:40.022,2023-02-20 16:37:00.022,2.33,,,[],,
C2021_P4_22S01,2023-02-20 16:37:20.023,2023-02-20 17:23:20.023,46.0,21h14m58.42s,-62d54m43.7s,{'filter': 'R'},30,25
TransitionBlock,2023-02-20 17:23:20.023,2023-02-20 17:25:40.023,2.33,,,[],,
81P_22S01,2023-02-20 17:26:00.025,2023-02-20 17:34:20.025,8.33,16h37m15.78s,-18d34m12.3s,{'filter': 'R'},20,5
