target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
22P_22S01,2023-01-26 08:45:40.006,2023-01-26 08:49:00.006,3.33,1h19m45.6s,+3d30m20.4s,{'filter': 'R'},120,1
TransitionBlock,2023-01-26 08:49:00.006,2023-01-26 08:51:20.006,2.33,,,[],,
C2014_UN271_22S01,2023-01-26 08:51:20.006,2023-01-26 08:58:20.006,7.0,2h27m33.88s,-59d52m10.7s,{'filter': 'R'},60,3
TransitionBlock,2023-01-26 08:58:20.006,2023-01-26 09:00:00.006,1.67,,,[],,
C2021_P4_22S01,2023-01-26 09:00:00.006,2023-01-26 09:07:20.006,7.33,19h52m07.51s,-64d34m13.7s,{'filter': 'R'},30,4
TransitionBlock,2023-01-26 09:07:20.006,2023-01-26 09:08:00.006,0.67,,,[],,
C2022_F1_22S01,2023-01-26 09:08:00.006,2023-01-26 09:11:20.006,3.33,21h34m14.7s,-61d36m22s,{'filter': 'R'},120,1
TransitionBlock,2023-01-26 09:11:20.006,2023-01-26 09:13:40.006,2.33,,,[],,
C2021_S3_22S01,2023-01-26 09:17:00.007,2023-01-26 10:07:00.007,50.0,5h24m29.84s,-37d49m24.9s,{'filter': 'R'},20,30
TransitionBlock,2023-01-26 10:07:00.007,2023-01-26 10:08:20.007,1.33,,,[],,
C2021_Y1_22S01,2023-01-26 10:08:20.007,2023-01-26 10:58:20.007,50.0,3h16m12.41s,-10d43m54.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-26 10:58:20.007,2023-01-26 11:03:20.007,5.0,,,['filter:R to V'],,
2022ydv_22S02,2023-01-26 11:03:20.007,2023-01-26 11:07:40.007,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-26 11:07:40.007,2023-01-26 11:08:00.007,0.33,,,[],,
2021aefx_22S02,2023-01-26 11:08:00.007,2023-01-26 11:12:20.007,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-26 11:12:20.007,2023-01-26 11:13:40.007,1.33,,,[],,
2022aczs_22S05,2023-01-26 11:13:40.007,2023-01-26 11:20:00.007,6.33,2h05m19.834008s,-23d41m53.39004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-26 11:20:00.007,2023-01-26 11:25:40.007,5.67,,,['filter:V to R'],,
C2021_E3_22S01,2023-01-26 11:30:00.012,2023-01-26 12:20:00.012,50.0,7h38m04.52s,-36d08m55.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-26 12:20:00.012,2023-01-26 12:20:40.012,0.67,,,[],,
2022acwj_22S05,2023-01-26 12:26:40.014,2023-01-26 12:33:00.014,6.33,9h14m24.340992s,-33d20m14.79984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-26 12:33:00.014,2023-01-26 12:34:40.014,1.67,,,[],,
C2021_A9_22S01,2023-01-26 12:35:00.014,2023-01-26 12:38:20.014,3.33,8h19m10.73s,+14d26m24.9s,{'filter': 'R'},120,1
