target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022wiv_22S02,2023-01-07 08:59:00.007,2023-01-07 09:03:20.007,4.33,0h17m40.51933333s,+0d58m42.72s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 09:03:20.007,2023-01-07 09:04:00.007,0.67,,,[],,
2022xkq_22S02,2023-01-07 09:04:00.007,2023-01-07 09:08:20.007,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 09:08:20.007,2023-01-07 09:09:00.007,0.67,,,[],,
2022xbu_22S02,2023-01-07 09:09:00.007,2023-01-07 09:13:20.007,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 09:13:20.007,2023-01-07 09:13:40.007,0.33,,,[],,
2023Q_22S05,2023-01-07 09:13:40.007,2023-01-07 09:20:00.007,6.33,1h57m04.897008s,-0d28m01.16004s,{'filter': 'V'},300,1
TransitionBlock,2023-01-07 09:20:00.007,2023-01-07 09:22:00.007,2.0,,,[],,
2023E_22S05,2023-01-07 09:22:00.007,2023-01-07 09:28:20.007,6.33,1h15m55.756008s,-50d11m14.89992s,{'filter': 'V'},300,1
TransitionBlock,2023-01-07 09:28:20.007,2023-01-07 09:31:20.007,3.0,,,['filter:V to R'],,
2023E_22S05,2023-01-07 09:31:20.007,2023-01-07 09:37:40.007,6.33,1h15m55.756008s,-50d11m14.89992s,{'filter': 'R'},300,1
TransitionBlock,2023-01-07 09:37:40.007,2023-01-07 09:42:00.007,4.33,,,['filter:R to V'],,
2022aeed_22S05,2023-01-07 09:42:00.007,2023-01-07 09:48:20.007,6.33,4h07m33.976008s,-31d28m18.95988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-07 09:48:20.007,2023-01-07 09:51:20.007,3.0,,,['filter:V to R'],,
2022aeed_22S05,2023-01-07 09:51:20.007,2023-01-07 09:57:40.007,6.33,4h07m33.976008s,-31d28m18.95988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-07 09:57:40.007,2023-01-07 09:59:20.007,1.67,,,[],,
2023Q_22S05,2023-01-07 09:59:20.007,2023-01-07 10:05:40.007,6.33,1h57m04.897008s,-0d28m01.16004s,{'filter': 'R'},300,1
TransitionBlock,2023-01-07 10:05:40.007,2023-01-07 10:09:40.007,4.0,,,['filter:R to V'],,
2022ucj_22S02,2023-01-07 10:09:40.007,2023-01-07 10:14:00.007,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 10:14:00.007,2023-01-07 10:15:40.007,1.67,,,[],,
2022ydv_22S02,2023-01-07 10:15:40.007,2023-01-07 10:20:00.007,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 10:20:00.007,2023-01-07 10:21:20.007,1.33,,,[],,
2022ydu_22S02,2023-01-07 10:21:20.007,2023-01-07 10:25:40.007,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 10:25:40.007,2023-01-07 10:26:00.007,0.33,,,[],,
2022tiv_22S02,2023-01-07 10:26:00.007,2023-01-07 10:30:20.007,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 10:30:20.007,2023-01-07 10:31:40.007,1.33,,,[],,
2021aefx_22S02,2023-01-07 10:31:40.007,2023-01-07 10:36:00.007,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-07 10:36:00.007,2023-01-07 10:38:00.007,2.0,,,[],,
2022abgg_22S05,2023-01-07 10:38:00.007,2023-01-07 10:44:20.007,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'V'},300,1
TransitionBlock,2023-01-07 10:44:20.007,2023-01-07 10:47:20.007,3.0,,,['filter:V to R'],,
2022abgg_22S05,2023-01-07 10:47:20.007,2023-01-07 10:53:40.007,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-07 10:53:40.007,2023-01-07 10:57:20.007,3.67,,,['filter:R to V'],,
2022abic_22S05,2023-01-07 10:57:20.007,2023-01-07 11:03:40.007,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'V'},300,1
TransitionBlock,2023-01-07 11:03:40.007,2023-01-07 11:06:40.007,3.0,,,['filter:V to R'],,
2022abic_22S05,2023-01-07 11:06:40.007,2023-01-07 11:13:00.007,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'R'},300,1
TransitionBlock,2023-01-07 11:13:00.007,2023-01-07 11:17:00.007,4.0,,,['filter:R to V'],,
