target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
73P-JD001_22S-01,2022-11-26 08:32:20.006,2022-11-26 08:39:40.006,7.33,20h52m08.37s,-28d46m44.6s,{'filter': 'R'},30,4
TransitionBlock,2022-11-26 08:39:40.006,2022-11-26 08:40:20.006,0.67,,,[],,
73P-BU_22S-01,2022-11-26 08:40:20.006,2022-11-26 08:47:20.006,7.0,21h45m51.87s,-25d25m14.6s,{'filter': 'R'},60,3
TransitionBlock,2022-11-26 08:47:20.006,2022-11-26 08:47:40.006,0.33,,,[],,
73P-BV_22S-01,2022-11-26 08:47:40.006,2022-11-26 08:54:40.006,7.0,21h37m24.02s,-26d01m23.5s,{'filter': 'R'},60,3
TransitionBlock,2022-11-26 08:54:40.006,2022-11-26 08:59:00.006,4.33,,,['filter:R to V'],,
2022xhd _22S-02,2022-11-26 08:59:00.006,2022-11-26 09:03:20.006,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 09:03:20.006,2022-11-26 09:03:40.006,0.33,,,[],,
2022ucj_22S-02,2022-11-26 09:03:40.006,2022-11-26 09:08:00.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 09:08:00.006,2022-11-26 09:08:20.006,0.33,,,[],,
2022udc_22S-02,2022-11-26 09:08:20.006,2022-11-26 09:12:40.006,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 09:12:40.006,2022-11-26 09:16:20.006,3.67,,,['filter:V to R'],,
2022jzx_22S-05,2022-11-26 09:17:20.007,2022-11-26 09:23:40.007,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-26 09:23:40.007,2022-11-26 09:27:20.007,3.67,,,['filter:R to V'],,
2022ssk_22S-02,2022-11-26 09:27:20.007,2022-11-26 09:31:40.007,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 09:31:40.007,2022-11-26 09:35:20.007,3.67,,,['filter:V to R'],,
395P_22S-01,2022-11-26 09:35:20.007,2022-11-26 09:38:40.007,3.33,23h01m21.32s,-3d32m06.1s,{'filter': 'R'},120,1
TransitionBlock,2022-11-26 09:38:40.007,2022-11-26 09:44:00.007,5.33,,,['filter:R to V'],,
2022ydv_22S-02,2022-11-26 09:44:00.007,2022-11-26 09:48:20.007,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 09:48:20.007,2022-11-26 09:50:40.007,2.33,,,[],,
2022vye_22S-02,2022-11-26 09:51:20.008,2022-11-26 09:55:40.008,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 09:55:40.008,2022-11-26 09:56:40.008,1.0,,,[],,
2022tiv_22S-02,2022-11-26 09:56:40.008,2022-11-26 10:01:00.008,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 10:01:00.008,2022-11-26 10:02:40.008,1.67,,,[],,
2022wsq_22S-02,2022-11-26 10:02:40.008,2022-11-26 10:07:00.008,4.33,0h05m19.97s,+15d36m09.83s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 10:07:00.008,2022-11-26 10:08:00.008,1.0,,,[],,
2022wbc_22S-02,2022-11-26 10:08:00.008,2022-11-26 10:12:20.008,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 10:12:20.008,2022-11-26 10:13:20.008,1.0,,,[],,
2022ywf_22S-02,2022-11-26 10:13:20.008,2022-11-26 10:17:40.008,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1
TransitionBlock,2022-11-26 10:17:40.008,2022-11-26 10:19:40.008,2.0,,,[],,
