target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
2022jzx_22S05,2022-12-13 08:51:40.006,2022-12-13 08:58:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-13 08:58:00.006,2022-12-13 08:59:40.006,1.67,,,[],,,1
73P-JD001_22S01,2022-12-13 08:59:40.006,2022-12-13 09:07:00.006,7.33,22h04m32.2s,-21d28m06.1s,{'filter': 'R'},30,4,1
TransitionBlock,2022-12-13 09:07:00.006,2022-12-13 09:07:20.006,0.33,,,[],,,1
73P-BU_22S01,2022-12-13 09:07:20.006,2022-12-13 09:10:40.006,3.33,22h35m31.98s,-19d28m58.6s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-13 09:10:40.006,2022-12-13 09:11:00.006,0.33,,,[],,,1
73P-BV_22S01,2022-12-13 09:11:00.006,2022-12-13 09:14:20.006,3.33,22h27m12.18s,-20d19m48.2s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-13 09:14:20.006,2022-12-13 09:18:20.006,4.0,,,['filter:R to V'],,,1
2022xhd _22S02,2022-12-13 09:18:20.006,2022-12-13 09:22:40.006,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-13 09:22:40.006,2022-12-13 09:23:40.006,1.0,,,[],,,1
2022vye_22S02,2022-12-13 09:23:40.006,2022-12-13 09:28:00.006,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-13 09:28:00.006,2022-12-13 09:29:00.006,1.0,,,[],,,1
2022ucj_22S02,2022-12-13 09:29:00.006,2022-12-13 09:33:20.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-13 09:33:20.006,2022-12-13 09:33:40.006,0.33,,,[],,,1
2022udc_22S02,2022-12-13 09:33:40.006,2022-12-13 09:38:00.006,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-13 09:38:00.006,2022-12-13 09:38:20.006,0.33,,,[],,,1
2022ssk_22S02,2022-12-13 09:38:20.006,2022-12-13 09:42:40.006,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-13 09:42:40.006,2022-12-13 09:46:20.006,3.67,,,['filter:V to R'],,,1
395P_22S01,2022-12-13 09:46:20.006,2022-12-13 09:49:40.006,3.33,23h08m55.89s,-2d59m57.2s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-13 09:49:40.006,2022-12-13 09:55:00.006,5.33,,,['filter:R to V'],,,1
2022ydv_22S02,2022-12-13 09:55:00.006,2022-12-13 09:59:20.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,2
