target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2024_S1_22S01,2025-02-26 07:59:00.004,2025-02-26 20:59:00.004000,2025-02-26 08:01:00.004,2025-02-26 21:01:00.004000,1.999999999999993,5h44m26.03s,-17d07m03.4s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.75}",120,1
TransitionBlock,2025-02-26 08:01:00.004,2025-02-26 21:01:00.004000,2025-02-26 08:01:20.004,2025-02-26 21:01:20.004000,0.3333333333333588,,,['filter:g to r'],,
C2024_S1_22S01,2025-02-26 08:01:20.004,2025-02-26 21:01:20.004000,2025-02-26 08:03:20.004,2025-02-26 21:03:20.004000,1.999999999999993,5h44m26.03s,-17d07m03.4s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.75}",120,1
TransitionBlock,2025-02-26 08:03:20.004,2025-02-26 21:03:20.004000,2025-02-26 08:03:40.004,2025-02-26 21:03:40.004000,0.33333333333327886,,,['filter:r to i'],,
C2024_S1_22S01,2025-02-26 08:03:40.004,2025-02-26 21:03:40.004000,2025-02-26 08:05:40.004,2025-02-26 21:05:40.004000,1.999999999999993,5h44m26.03s,-17d07m03.4s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.75}",120,1
TransitionBlock,2025-02-26 08:05:40.004,2025-02-26 21:05:40.004000,2025-02-26 08:07:00.004,2025-02-26 21:07:00.004000,1.3333333333332753,,,['filter:i to g'],,
P2024_R2_22S01,2025-02-26 08:07:00.004,2025-02-26 21:07:00.004000,2025-02-26 08:09:00.004,2025-02-26 21:09:00.004000,1.999999999999993,3h51m31.19s,+5d35m46.4s,"{'filter': 'g', 'magnitude': 21, 'rate (""/min)': 0.86}",120,1
TransitionBlock,2025-02-26 08:09:00.004,2025-02-26 21:09:00.004000,2025-02-26 08:09:20.004,2025-02-26 21:09:20.004000,0.33333333333327886,,,['filter:g to r'],,
P2024_R2_22S01,2025-02-26 08:09:20.004,2025-02-26 21:09:20.004000,2025-02-26 08:11:20.004,2025-02-26 21:11:20.004000,1.999999999999993,3h51m31.19s,+5d35m46.4s,"{'filter': 'r', 'magnitude': 21, 'rate (""/min)': 0.86}",120,1
TransitionBlock,2025-02-26 08:11:20.004,2025-02-26 21:11:20.004000,2025-02-26 08:11:40.004,2025-02-26 21:11:40.004000,0.33333333333327886,,,['filter:r to i'],,
P2024_R2_22S01,2025-02-26 08:11:40.004,2025-02-26 21:11:40.004000,2025-02-26 08:13:40.004,2025-02-26 21:13:40.004000,1.999999999999993,3h51m31.19s,+5d35m46.4s,"{'filter': 'i', 'magnitude': 21, 'rate (""/min)': 0.86}",120,1
TransitionBlock,2025-02-26 08:13:40.004,2025-02-26 21:13:40.004000,2025-02-26 08:16:00.004,2025-02-26 21:16:00.004000,2.3333333333333517,,,['filter:i to g'],,
C2022_E3_22S01,2025-02-26 08:16:00.004,2025-02-26 21:16:00.004000,2025-02-26 08:18:00.004,2025-02-26 21:18:00.004000,1.999999999999993,2h07m04.45s,-55d56m14.3s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.25}",120,1
TransitionBlock,2025-02-26 08:18:00.004,2025-02-26 21:18:00.004000,2025-02-26 08:18:20.004,2025-02-26 21:18:20.004000,0.3333333333333588,,,['filter:g to r'],,
C2022_E3_22S01,2025-02-26 08:18:20.004,2025-02-26 21:18:20.004000,2025-02-26 08:20:20.004,2025-02-26 21:20:20.004000,1.999999999999993,2h07m04.45s,-55d56m14.3s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.25}",120,1
TransitionBlock,2025-02-26 08:20:20.004,2025-02-26 21:20:20.004000,2025-02-26 08:20:40.004,2025-02-26 21:20:40.004000,0.33333333333327886,,,['filter:r to i'],,
C2022_E3_22S01,2025-02-26 08:20:40.004,2025-02-26 21:20:40.004000,2025-02-26 08:22:40.004,2025-02-26 21:22:40.004000,1.999999999999993,2h07m04.45s,-55d56m14.3s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.25}",120,1
TransitionBlock,2025-02-26 08:22:40.004,2025-02-26 21:22:40.004000,2025-02-26 08:23:40.004,2025-02-26 21:23:40.004000,0.9999999999999964,,,['filter:i to g'],,
C2022_A3_22S01,2025-02-26 08:23:40.004,2025-02-26 21:23:40.004000,2025-02-26 08:25:40.004,2025-02-26 21:25:40.004000,1.999999999999993,23h29m54.77s,-53d33m59.1s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.4}",120,1
TransitionBlock,2025-02-26 08:25:40.004,2025-02-26 21:25:40.004000,2025-02-26 08:26:00.004,2025-02-26 21:26:00.004000,0.33333333333327886,,,['filter:g to r'],,
C2022_A3_22S01,2025-02-26 08:26:00.004,2025-02-26 21:26:00.004000,2025-02-26 08:28:00.004,2025-02-26 21:28:00.004000,1.999999999999993,23h29m54.77s,-53d33m59.1s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.4}",120,1
TransitionBlock,2025-02-26 08:28:00.004,2025-02-26 21:28:00.004000,2025-02-26 08:28:20.004,2025-02-26 21:28:20.004000,0.33333333333327886,,,['filter:r to i'],,
C2022_A3_22S01,2025-02-26 08:28:20.004,2025-02-26 21:28:20.004000,2025-02-26 08:30:20.004,2025-02-26 21:30:20.004000,1.999999999999993,23h29m54.77s,-53d33m59.1s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.4}",120,1
TransitionBlock,2025-02-26 08:30:20.004,2025-02-26 21:30:20.004000,2025-02-26 08:33:20.004,2025-02-26 21:33:20.004000,2.9999999999999893,,,['filter:i to g'],,
C2021_A9_22S01,2025-02-26 08:33:20.004,2025-02-26 21:33:20.004000,2025-02-26 08:35:20.004,2025-02-26 21:35:20.004000,1.999999999999993,4h44m28.43s,+3d04m36.6s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.17}",120,1
TransitionBlock,2025-02-26 08:35:20.004,2025-02-26 21:35:20.004000,2025-02-26 08:35:40.004,2025-02-26 21:35:40.004000,0.33333333333327886,,,['filter:g to r'],,
C2021_A9_22S01,2025-02-26 08:35:40.004,2025-02-26 21:35:40.004000,2025-02-26 08:37:40.004,2025-02-26 21:37:40.004000,1.999999999999993,4h44m28.43s,+3d04m36.6s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.17}",120,1
TransitionBlock,2025-02-26 08:37:40.004,2025-02-26 21:37:40.004000,2025-02-26 08:38:00.004,2025-02-26 21:38:00.004000,0.33333333333327886,,,['filter:r to i'],,
C2021_A9_22S01,2025-02-26 08:38:00.004,2025-02-26 21:38:00.004000,2025-02-26 08:40:00.004,2025-02-26 21:40:00.004000,1.999999999999993,4h44m28.43s,+3d04m36.6s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.17}",120,1
TransitionBlock,2025-02-26 08:40:00.004,2025-02-26 21:40:00.004000,2025-02-26 08:42:20.004,2025-02-26 21:42:20.004000,2.3333333333333517,,,['filter:i to g'],,
C2024_T5_22S01,2025-02-26 08:42:20.004,2025-02-26 21:42:20.004000,2025-02-26 09:01:40.004,2025-02-26 22:01:40.004000,19.333333333333293,1h20m32.98s,-43d18m36.3s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-02-26 09:01:40.004,2025-02-26 22:01:40.004000,2025-02-26 09:02:00.004,2025-02-26 22:02:00.004000,0.3333333333333588,,,['filter:g to r'],,
C2024_T5_22S01,2025-02-26 09:02:00.004,2025-02-26 22:02:00.004000,2025-02-26 09:21:20.004,2025-02-26 22:21:20.004000,19.333333333333293,1h20m32.98s,-43d18m36.3s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-02-26 09:21:20.004,2025-02-26 22:21:20.004000,2025-02-26 09:21:40.004,2025-02-26 22:21:40.004000,0.3333333333333588,,,['filter:r to i'],,
C2024_T5_22S01,2025-02-26 09:21:40.004,2025-02-26 22:21:40.004000,2025-02-26 09:41:00.004,2025-02-26 22:41:00.004000,19.333333333333293,1h20m32.98s,-43d18m36.3s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-02-26 09:41:00.004,2025-02-26 22:41:00.004000,2025-02-26 09:44:20.004,2025-02-26 22:44:20.004000,3.333333333333348,,,['filter:i to g'],,
