target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
22P_22S01,2023-01-31 08:40:00.006,2023-01-31 08:43:20.006,3.33,1h24m33.2s,+4d05m55.6s,{'filter': 'R'},120,1
TransitionBlock,2023-01-31 08:43:20.006,2023-01-31 08:45:40.006,2.33,,,[],,
C2014_UN271_22S01,2023-01-31 08:45:40.006,2023-01-31 08:52:40.006,7.0,2h27m45.03s,-59d39m54.3s,{'filter': 'R'},60,3
TransitionBlock,2023-01-31 08:52:40.006,2023-01-31 08:54:00.006,1.33,,,[],,
C2021_S3_22S01,2023-01-31 08:54:20.006,2023-01-31 09:44:20.006,50.0,5h21m34.49s,-37d26m01.9s,{'filter': 'R'},20,30
TransitionBlock,2023-01-31 09:44:20.006,2023-01-31 09:45:40.006,1.33,,,[],,
C2021_Y1_22S01,2023-01-31 09:45:40.006,2023-01-31 10:35:40.006,50.0,3h15m19.47s,-11d50m06.7s,{'filter': 'R'},20,30
TransitionBlock,2023-01-31 10:35:40.006,2023-01-31 10:40:40.006,5.0,,,['filter:R to V'],,
2022ydv_22S02,2023-01-31 10:40:40.006,2023-01-31 10:45:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-31 10:45:00.006,2023-01-31 10:45:20.006,0.33,,,[],,
2021aefx_22S02,2023-01-31 10:45:20.006,2023-01-31 10:49:40.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-31 10:49:40.006,2023-01-31 10:55:20.006,5.67,,,['filter:V to R'],,
C2021_E3_22S01,2023-01-31 11:00:40.011,2023-01-31 11:50:40.011,50.0,7h28m10.99s,-34d17m28.8s,{'filter': 'R'},20,30
TransitionBlock,2023-01-31 11:50:40.011,2023-01-31 11:52:20.011,1.67,,,[],,
2022aduk_22S05,2023-01-31 11:55:00.013,2023-01-31 12:01:20.013,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-31 12:01:20.013,2023-01-31 12:02:00.013,0.67,,,[],,
2022adpu_22S05,2023-01-31 12:02:20.013,2023-01-31 12:08:40.013,6.33,11h36m47.883s,-8d35m16.46988s,{'filter': 'R'},300,1
TransitionBlock,2023-01-31 12:08:40.013,2023-01-31 12:10:40.013,2.0,,,[],,
C2021_A9_22S01,2023-01-31 12:11:00.014,2023-01-31 12:14:20.014,3.33,8h14m50.5s,+14d33m14.7s,{'filter': 'R'},120,1
TransitionBlock,2023-01-31 12:14:20.014,2023-01-31 12:19:20.014,5.0,,,['filter:R to V'],,
2022adpu_22S05,2023-01-31 12:22:20.014,2023-01-31 12:28:40.014,6.33,11h36m47.883s,-8d35m16.46988s,{'filter': 'V'},300,1
TransitionBlock,2023-01-31 12:28:40.014,2023-01-31 12:33:20.014,4.67,,,['filter:V to R'],,
C2021_G2_22S01,2023-01-31 12:33:40.014,2023-01-31 13:23:40.014,50.0,9h01m33.13s,-39d29m26.7s,{'filter': 'R'},20,30
TransitionBlock,2023-01-31 13:23:40.014,2023-01-31 13:25:00.014,1.33,,,[],,
C2022_A3_22S01,2023-01-31 13:25:00.014,2023-01-31 14:11:00.014,46.0,9h48m59.17s,-3d11m28.6s,{'filter': 'R'},30,25
TransitionBlock,2023-01-31 14:11:00.014,2023-01-31 14:11:40.014,0.67,,,[],,
C2022_E2_22S01,2023-01-31 14:11:40.014,2023-01-31 15:01:40.014,50.0,10h02m36.94s,-18d39m44.9s,{'filter': 'R'},20,30
TransitionBlock,2023-01-31 15:01:40.014,2023-01-31 15:04:40.014,3.0,,,[],,
81P_22S01,2023-01-31 15:11:00.020,2023-01-31 15:19:20.020,8.33,15h49m28.88s,-17d01m43s,{'filter': 'R'},20,5
TransitionBlock,2023-01-31 15:19:20.020,2023-01-31 15:19:40.020,0.33,,,[],,
99P_22S01,2023-01-31 15:20:00.021,2023-01-31 16:02:00.021,42.0,16h08m31.98s,-22d45m55.5s,{'filter': 'R'},60,18
TransitionBlock,2023-01-31 16:02:00.021,2023-01-31 16:03:40.021,1.67,,,[],,
C2021_C5_22S01,2023-01-31 16:04:00.022,2023-01-31 16:50:00.022,46.0,16h00m09.26s,-67d40m23.2s,{'filter': 'R'},30,25
TransitionBlock,2023-01-31 16:50:00.022,2023-01-31 16:51:40.022,1.67,,,[],,
C2021_A1_22S01,2023-01-31 16:52:00.024,2023-01-31 16:55:20.024,3.33,17h18m54.15s,-19d29m28.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-31 16:55:20.024,2023-01-31 16:57:20.024,2.0,,,[],,
Shapley_Skymapper_22S05,2023-01-31 16:57:40.024,2023-01-31 17:04:00.024,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
