target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
73P-JD001_22S01,2024-12-13 08:52:00.006,2024-12-13 21:52:00.006000,2024-12-13 08:54:00.006,2024-12-13 21:54:00.006000,1.999999999999993,23h23m44.37s,-14d50m15.3s,"{'filter': 'R', 'magnitude': 14, 'rate (""/min)': 3.18}",20,5
TransitionBlock,2024-12-13 08:54:00.006,2024-12-13 21:54:00.006000,2024-12-13 08:54:40.006,2024-12-13 21:54:40.006000,0.6666666666666377,,,[],,
2023_JN16_22S01,2024-12-13 08:54:40.006,2024-12-13 21:54:40.006000,2024-12-13 08:56:40.006,2024-12-13 21:56:40.006000,1.999999999999993,22h30m11.08s,-10d12m53.1s,"{'filter': 'R', 'magnitude': 20, 'rate (""/min)': 0.96}",120,1
TransitionBlock,2024-12-13 08:56:40.006,2024-12-13 21:56:40.006000,2024-12-13 08:58:40.006,2024-12-13 21:58:40.006000,1.999999999999993,,,[],,
C2022_A3_22S01,2024-12-13 08:58:40.006,2024-12-13 21:58:40.006000,2024-12-13 09:00:40.006,2024-12-13 22:00:40.006000,1.999999999999993,22h51m18.86s,-67d28m54.6s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.6}",120,1
TransitionBlock,2024-12-13 09:00:40.006,2024-12-13 22:00:40.006000,2024-12-13 09:03:20.006,2024-12-13 22:03:20.006000,2.6666666666667105,,,[],,
2060_22S01,2024-12-13 09:03:20.006,2024-12-13 22:03:20.006000,2024-12-13 09:05:20.006,2024-12-13 22:05:20.006000,1.999999999999993,1h07m49.32s,+8d15m28.6s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.04}",120,1
TransitionBlock,2024-12-13 09:05:20.006,2024-12-13 22:05:20.006000,2024-12-13 09:06:40.006,2024-12-13 22:06:40.006000,1.3333333333333552,,,[],,
C2022_N2_22S01,2024-12-13 09:06:40.006,2024-12-13 22:06:40.006000,2024-12-13 09:19:00.006,2024-12-13 22:19:00.006000,12.333333333333316,22h50m13.65s,-3d57m30s,"{'filter': 'R', 'magnitude': 15, 'rate (""/min)': 0.41}",20,30
TransitionBlock,2024-12-13 09:19:00.006,2024-12-13 22:19:00.006000,2024-12-13 09:21:40.006,2024-12-13 22:21:40.006000,2.6666666666667105,,,[],,
C2022_E3_22S01,2024-12-13 09:25:20.008,2024-12-13 22:25:20.008000,2024-12-13 09:27:20.008,2024-12-13 22:27:20.008000,1.999999999999993,2h25m16s,-63d44m09.2s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.34}",120,1
TransitionBlock,2024-12-13 09:27:20.008,2024-12-13 22:27:20.008000,2024-12-13 09:28:40.008,2024-12-13 22:28:40.008000,1.3333333333333552,,,['filter:R to g'],,
2024adue,2024-12-13 09:29:00.008,2024-12-13 22:29:00.008000,2024-12-13 09:34:00.008,2024-12-13 22:34:00.008000,4.999999999999982,2h22m21.53s,-27d10m17.3s,"{'filter': 'g', 'magnitude': 20}",300,1
TransitionBlock,2024-12-13 09:34:00.008,2024-12-13 22:34:00.008000,2024-12-13 09:34:20.008,2024-12-13 22:34:20.008000,0.3333333333333588,,,['filter:g to r'],,
2024adue,2024-12-13 09:34:20.008,2024-12-13 22:34:20.008000,2024-12-13 09:39:20.008,2024-12-13 22:39:20.008000,4.999999999999982,2h22m21.53s,-27d10m17.3s,"{'filter': 'r', 'magnitude': 20}",300,1
TransitionBlock,2024-12-13 09:39:20.008,2024-12-13 22:39:20.008000,2024-12-13 09:40:40.008,2024-12-13 22:40:40.008000,1.3333333333333552,,,['filter:r to R'],,
C2024_T5_22S01,2024-12-13 09:40:40.008,2024-12-13 22:40:40.008000,2024-12-13 10:03:20.008,2024-12-13 23:03:20.008000,22.66666666666664,0h55m26.62s,-51d40m10.9s,"{'filter': 'R', 'magnitude': 18, 'rate (""/min)': 0.24}",120,11
TransitionBlock,2024-12-13 10:03:20.008,2024-12-13 23:03:20.008000,2024-12-13 10:04:00.008,2024-12-13 23:04:00.008000,0.6666666666666377,,,[],,
C2019_E3_22S01,2024-12-13 10:04:00.008,2024-12-13 23:04:00.008000,2024-12-13 10:23:20.008,2024-12-13 23:23:20.008000,19.33333333333337,0h52m57.26s,-65d31m34.5s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.31}",60,18
TransitionBlock,2024-12-13 10:23:20.008,2024-12-13 23:23:20.008000,2024-12-13 10:24:00.008,2024-12-13 23:24:00.008000,0.6666666666666377,,,[],,
C2014_UN271_22S01,2024-12-13 10:53:40.011,2024-12-13 23:53:40.011000,2024-12-13 10:56:00.011,2024-12-13 23:56:00.011000,2.3333333333333517,3h46m49.91s,-70d45m47.5s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.11}",30,4
TransitionBlock,2024-12-13 10:56:00.011,2024-12-13 23:56:00.011000,2024-12-13 10:58:40.011,2024-12-13 23:58:40.011000,2.6666666666667105,,,[],,
C2021_A9_22S01,2024-12-13 12:37:00.015,2024-12-14 01:37:00.015000,2024-12-13 12:39:00.015,2024-12-14 01:39:00.015000,1.999999999999993,5h29m26.61s,+2d55m25.2s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.51}",120,1
TransitionBlock,2024-12-13 12:39:00.015,2024-12-14 01:39:00.015000,2024-12-13 12:41:20.015,2024-12-14 01:41:20.015000,2.3333333333332718,,,[],,
