target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022jzx_22S05,2022-12-16 08:54:00.006,2022-12-16 09:00:20.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-12-16 09:00:20.006,2022-12-16 09:00:40.006,0.33,,,[],,
22P_22S01,2022-12-16 09:00:40.006,2022-12-16 09:42:40.006,42.0,0h50m50.6s,-0d41m56.8s,{'filter': 'R'},60,18
TransitionBlock,2022-12-16 09:42:40.006,2022-12-16 09:45:00.006,2.33,,,[],,
C2014_UN271_22S01,2022-12-16 09:45:00.006,2022-12-16 09:52:00.006,7.0,2h32m43.95s,-61d12m38.5s,{'filter': 'R'},60,3
TransitionBlock,2022-12-16 09:52:00.006,2022-12-16 09:54:00.006,2.0,,,[],,
C2021_T4_22S01,2022-12-16 09:54:00.006,2022-12-16 10:44:00.006,50.0,0h54m51.1s,-13d17m24.8s,{'filter': 'R'},20,30
TransitionBlock,2022-12-16 10:44:00.006,2022-12-16 10:45:40.006,1.67,,,[],,
C2021_Y1_22S01,2022-12-16 10:45:40.006,2022-12-16 11:35:40.006,50.0,3h55m11.27s,+4d11m23.2s,{'filter': 'R'},20,30
TransitionBlock,2022-12-16 11:35:40.006,2022-12-16 11:39:20.006,3.67,,,[],,
C2022_F1_22S01,2022-12-16 11:39:20.006,2022-12-16 12:16:00.006,36.67,20h27m04.87s,-67d30m13.9s,{'filter': 'R'},120,11
TransitionBlock,2022-12-16 12:16:00.006,2022-12-16 12:20:20.006,4.33,,,['filter:R to V'],,
2022ydv_22S02,2022-12-16 12:20:20.006,2022-12-16 12:24:40.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-16 12:24:40.006,2022-12-16 12:31:00.006,6.33,,,['filter:V to R'],,
C2022_E2_22S01,2022-12-16 12:32:20.014,2022-12-16 13:18:20.014,46.0,10h30m21.95s,-20d04m00s,{'filter': 'R'},30,25
TransitionBlock,2022-12-16 13:18:20.014,2022-12-16 13:19:20.014,1.0,,,[],,
C2021_G2_22S01,2022-12-16 13:19:40.016,2022-12-16 14:05:40.016,46.0,9h14m36.41s,-37d07m38.1s,{'filter': 'R'},30,25
TransitionBlock,2022-12-16 14:05:40.016,2022-12-16 14:06:00.016,0.33,,,[],,
C2021_E3_22S01,2022-12-16 14:06:20.018,2022-12-16 14:56:20.018,50.0,9h13m20.5s,-43d56m57.2s,{'filter': 'R'},20,30
TransitionBlock,2022-12-16 14:56:20.018,2022-12-16 14:58:00.018,1.67,,,[],,
C2021_C5_22S01,2022-12-16 14:58:20.020,2022-12-16 15:44:20.020,46.0,13h52m15.78s,-55d35m57.6s,{'filter': 'R'},30,25
TransitionBlock,2022-12-16 15:44:20.020,2022-12-16 15:47:40.020,3.33,,,[],,
C2021_A9_22S01,2022-12-16 15:48:00.022,2022-12-16 15:51:20.022,3.33,8h51m04.21s,+13d41m25.7s,{'filter': 'R'},120,1
TransitionBlock,2022-12-16 15:51:20.022,2022-12-16 15:54:40.022,3.33,,,[],,
C2022_R6_22S01,2022-12-16 15:54:40.022,2022-12-16 15:58:00.022,3.33,3h16m45.5s,-42d43m00.8s,{'filter': 'R'},120,1
TransitionBlock,2022-12-16 15:58:00.022,2022-12-16 16:03:40.022,5.67,,,['filter:R to V'],,
2022yjy_22S05,2022-12-16 16:03:40.022,2022-12-16 16:10:00.022,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'V'},300,1
