target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022jzx_22S05,2022-12-14 08:52:20.006,2022-12-14 08:58:40.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-12-14 08:58:40.006,2022-12-14 08:59:00.006,0.33,,,[],,
22P_22S01,2022-12-14 08:59:00.006,2022-12-14 09:41:00.006,42.0,0h50m02.44s,-0d51m27.6s,{'filter': 'R'},60,18
TransitionBlock,2022-12-14 09:41:00.006,2022-12-14 09:43:20.006,2.33,,,[],,
C2014_UN271_22S01,2022-12-14 09:43:20.006,2022-12-14 09:50:20.006,7.0,2h33m15.87s,-61d15m04.6s,{'filter': 'R'},60,3
TransitionBlock,2022-12-14 09:50:20.006,2022-12-14 09:52:40.006,2.33,,,[],,
382P_22S01,2022-12-14 09:52:40.006,2022-12-14 09:56:00.006,3.33,0h34m52.54s,-0d37m26.8s,{'filter': 'R'},120,1
TransitionBlock,2022-12-14 09:56:00.006,2022-12-14 09:56:40.006,0.67,,,[],,
C2021_T4_22S01,2022-12-14 09:56:40.006,2022-12-14 10:46:40.006,50.0,0h57m30.68s,-13d10m24.1s,{'filter': 'R'},20,30
TransitionBlock,2022-12-14 10:46:40.006,2022-12-14 10:48:20.006,1.67,,,[],,
C2021_Y1_22S01,2022-12-14 10:48:20.006,2022-12-14 11:38:20.006,50.0,3h58m20.69s,+5d10m51.4s,{'filter': 'R'},20,30
TransitionBlock,2022-12-14 11:38:20.006,2022-12-14 11:42:00.006,3.67,,,[],,
C2022_F1_22S01,2022-12-14 11:42:00.006,2022-12-14 12:18:40.006,36.67,20h23m26.65s,-67d48m31.4s,{'filter': 'R'},120,11
TransitionBlock,2022-12-14 12:18:40.006,2022-12-14 12:23:00.006,4.33,,,['filter:R to V'],,
2022ydv_22S02,2022-12-14 12:23:00.006,2022-12-14 12:27:20.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-14 12:27:20.006,2022-12-14 12:28:40.006,1.33,,,[],,
2022ydu_22S02,2022-12-14 12:28:40.006,2022-12-14 12:33:00.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2022-12-14 12:33:00.006,2022-12-14 12:40:20.006,7.33,,,['filter:V to R'],,
C2022_E2_22S01,2022-12-14 12:41:20.015,2022-12-14 13:27:20.015,46.0,10h30m57.92s,-20d02m40.4s,{'filter': 'R'},30,25
TransitionBlock,2022-12-14 13:27:20.015,2022-12-14 13:28:20.015,1.0,,,[],,
C2021_G2_22S01,2022-12-14 13:28:40.016,2022-12-14 14:14:40.016,46.0,9h14m44.35s,-36d56m24.7s,{'filter': 'R'},30,25
TransitionBlock,2022-12-14 14:14:40.016,2022-12-14 14:15:00.016,0.33,,,[],,
C2021_E3_22S01,2022-12-14 14:15:20.018,2022-12-14 15:05:20.018,50.0,9h17m28.02s,-43d58m53.1s,{'filter': 'R'},20,30
TransitionBlock,2022-12-14 15:05:20.018,2022-12-14 15:07:00.018,1.67,,,[],,
C2021_C5_22S01,2022-12-14 15:07:20.020,2022-12-14 15:53:20.020,46.0,13h47m46.8s,-55d00m49.2s,{'filter': 'R'},30,25
TransitionBlock,2022-12-14 15:53:20.020,2022-12-14 15:56:40.020,3.33,,,[],,
C2021_A9_22S01,2022-12-14 15:57:00.022,2022-12-14 16:00:20.022,3.33,8h52m18.86s,+13d40m14.2s,{'filter': 'R'},120,1
TransitionBlock,2022-12-14 16:00:20.022,2022-12-14 16:03:40.022,3.33,,,[],,
C2022_R6_22S01,2022-12-14 16:03:40.022,2022-12-14 16:07:00.022,3.33,3h17m19.28s,-42d47m22.5s,{'filter': 'R'},120,1
