target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
73P-BU_22S01,2022-12-03 08:41:20.006,2022-12-03 08:44:40.006,3.33,22h07m24.56s,-22d58m19.8s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-03 08:44:40.006,2022-12-03 08:46:20.006,1.67,,,[],,,1
2022jzx_22S05,2022-12-03 08:49:40.006,2022-12-03 08:56:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-03 08:56:00.006,2022-12-03 08:58:00.006,2.0,,,[],,,1
73P-JD001_22S01,2022-12-03 08:58:00.006,2022-12-03 09:05:20.006,7.33,21h22m33.49s,-26d05m14.5s,{'filter': 'R'},30,4,1
TransitionBlock,2022-12-03 09:05:20.006,2022-12-03 09:05:40.006,0.33,,,[],,,1
73P-BV_22S01,2022-12-03 09:05:40.006,2022-12-03 09:09:00.006,3.33,21h58m59.16s,-23d41m10.3s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-03 09:09:00.006,2022-12-03 09:13:20.006,4.33,,,['filter:R to V'],,,1
2022xhd _22S02,2022-12-03 09:13:20.006,2022-12-03 09:17:40.006,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-03 09:17:40.006,2022-12-03 09:18:00.006,0.33,,,[],,,1
2022ucj_22S02,2022-12-03 09:18:00.006,2022-12-03 09:22:20.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-03 09:22:20.006,2022-12-03 09:23:20.006,1.0,,,[],,,1
2022vye_22S02,2022-12-03 09:23:40.007,2022-12-03 09:28:00.007,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-03 09:28:00.007,2022-12-03 09:29:00.007,1.0,,,[],,,1
2022udc_22S02,2022-12-03 09:29:00.007,2022-12-03 09:33:20.007,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-03 09:33:20.007,2022-12-03 09:33:40.007,0.33,,,[],,,1
2022ssk_22S02,2022-12-03 09:33:40.007,2022-12-03 09:38:00.007,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-03 09:38:00.007,2022-12-03 09:41:40.007,3.67,,,['filter:V to R'],,,1
395P_22S01,2022-12-03 09:41:40.007,2022-12-03 09:45:00.007,3.33,23h04m01.59s,-3d21m50.5s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-03 09:45:00.007,2022-12-03 09:50:20.007,5.33,,,['filter:R to V'],,,2
2022ydv_22S02,2022-12-03 09:50:20.007,2022-12-03 09:54:40.007,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 09:54:40.007,2022-12-03 09:56:00.007,1.33,,,[],,,2
2022tiv_22S02,2022-12-03 09:56:00.007,2022-12-03 10:00:20.007,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:00:20.007,2022-12-03 10:01:20.007,1.0,,,[],,,2
2022wbc_22S02,2022-12-03 10:01:20.007,2022-12-03 10:05:40.007,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:05:40.007,2022-12-03 10:06:40.007,1.0,,,[],,,2
2022ywf_22S02,2022-12-03 10:06:40.007,2022-12-03 10:11:00.007,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:11:00.007,2022-12-03 10:13:00.007,2.0,,,[],,,2
2021aefx_22S02,2022-12-03 10:13:00.007,2022-12-03 10:17:20.007,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:17:20.007,2022-12-03 10:19:20.007,2.0,,,[],,,2
2022ihz_22S02,2022-12-03 10:19:20.007,2022-12-03 10:23:40.007,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:23:40.007,2022-12-03 10:24:00.007,0.33,,,[],,,2
2022aaaw_22S02,2022-12-03 10:24:00.007,2022-12-03 10:28:20.007,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:28:20.007,2022-12-03 10:28:40.007,0.33,,,[],,,2
2022zxj_22S02,2022-12-03 10:28:40.007,2022-12-03 10:33:00.007,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:33:00.007,2022-12-03 10:33:40.007,0.67,,,[],,,2
2022zut_22S02,2022-12-03 10:33:40.007,2022-12-03 10:38:00.007,4.33,0h46m43.92133333s,+11d28m10.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:38:00.007,2022-12-03 10:38:40.007,0.67,,,[],,,2
2022yxp_22S02,2022-12-03 10:38:40.007,2022-12-03 10:43:00.007,4.33,0h19m44.37466667s,+1d49m06.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:43:00.007,2022-12-03 10:44:00.007,1.0,,,[],,,2
2022xxu_22S02,2022-12-03 10:44:00.007,2022-12-03 10:48:20.007,4.33,1h23m44.00733333s,+17d48m13.52s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-03 10:48:20.007,2022-12-03 10:53:40.007,5.33,,,['filter:V to R'],,,3
C2022_R6_22S01,2022-12-03 10:54:00.011,2022-12-03 10:57:20.011,3.33,3h20m29.08s,-43d03m12.7s,{'filter': 'R'},120,1,3
TransitionBlock,2022-12-03 10:57:20.011,2022-12-03 10:58:20.011,1.0,,,[],,,3
2022_QE78_22S01,2022-12-03 10:58:40.011,2022-12-03 11:40:40.011,42.0,3h29m20.78s,-21d27m41.8s,{'filter': 'R'},60,18,3
TransitionBlock,2022-12-03 11:40:40.011,2022-12-03 11:45:00.011,4.33,,,['filter:R to V'],,,3
2022ydu_22S02,2022-12-03 11:45:00.011,2022-12-03 11:49:20.011,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-03 11:49:20.011,2022-12-03 11:54:40.011,5.33,,,['filter:V to R'],,,4
