target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2024_S1_22S01,2025-03-04 07:48:40.004,2025-03-04 20:48:40.004000,2025-03-04 07:50:40.004,2025-03-04 20:50:40.004000,1.999999999999993,5h44m02.97s,-15d21m36.7s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.66}",120,1
TransitionBlock,2025-03-04 07:50:40.004,2025-03-04 20:50:40.004000,2025-03-04 07:51:00.004,2025-03-04 20:51:00.004000,0.3333333333333588,,,['filter:g to r'],,
C2024_S1_22S01,2025-03-04 07:51:00.004,2025-03-04 20:51:00.004000,2025-03-04 07:53:00.004,2025-03-04 20:53:00.004000,1.999999999999993,5h44m02.97s,-15d21m36.7s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.66}",120,1
TransitionBlock,2025-03-04 07:53:00.004,2025-03-04 20:53:00.004000,2025-03-04 07:53:20.004,2025-03-04 20:53:20.004000,0.33333333333327886,,,['filter:r to i'],,
C2024_S1_22S01,2025-03-04 07:53:20.004,2025-03-04 20:53:20.004000,2025-03-04 07:55:20.004,2025-03-04 20:55:20.004000,1.999999999999993,5h44m02.97s,-15d21m36.7s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.66}",120,1
TransitionBlock,2025-03-04 07:55:20.004,2025-03-04 20:55:20.004000,2025-03-04 07:57:40.004,2025-03-04 20:57:40.004000,2.3333333333333517,,,['filter:i to g'],,
C2024_T5_22S01,2025-03-04 07:57:40.004,2025-03-04 20:57:40.004000,2025-03-04 08:17:00.004,2025-03-04 21:17:00.004000,19.333333333333293,1h24m42.57s,-42d38m56.4s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.41}",60,18
TransitionBlock,2025-03-04 08:17:00.004,2025-03-04 21:17:00.004000,2025-03-04 08:17:20.004,2025-03-04 21:17:20.004000,0.33333333333327886,,,['filter:g to r'],,
C2024_T5_22S01,2025-03-04 08:17:20.004,2025-03-04 21:17:20.004000,2025-03-04 08:36:40.004,2025-03-04 21:36:40.004000,19.33333333333337,1h24m42.57s,-42d38m56.4s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.41}",60,18
TransitionBlock,2025-03-04 08:36:40.004,2025-03-04 21:36:40.004000,2025-03-04 08:37:00.004,2025-03-04 21:37:00.004000,0.33333333333327886,,,['filter:r to i'],,
