target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2024_T5_22S01,2025-03-04 08:37:00.004,2025-03-04 21:37:00.004000,2025-03-04 08:56:20.004,2025-03-04 21:56:20.004000,19.33333333333337,1h24m42.57s,-42d38m56.4s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.41}",60,18
TransitionBlock,2025-03-04 08:56:20.004,2025-03-04 21:56:20.004000,2025-03-04 08:58:20.004,2025-03-04 21:58:20.004000,1.999999999999993,,,['filter:i to g'],,
C2022_L2_22S01,2025-03-04 08:58:20.004,2025-03-04 21:58:20.004000,2025-03-04 09:12:40.004,2025-03-04 22:12:40.004000,14.333333333333309,6h23m21.47s,-32d51m39.7s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.78}",30,25
TransitionBlock,2025-03-04 09:12:40.004,2025-03-04 22:12:40.004000,2025-03-04 09:14:00.004,2025-03-04 22:14:00.004000,1.3333333333333552,,,[],,
C2022_U3_22S01,2025-03-04 09:15:20.007,2025-03-04 22:15:20.007000,2025-03-04 09:34:40.007,2025-03-04 22:34:40.007000,19.333333333333293,7h35m18.48s,-1d08m42.4s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.09}",60,18
TransitionBlock,2025-03-04 09:34:40.007,2025-03-04 22:34:40.007000,2025-03-04 09:35:00.007,2025-03-04 22:35:00.007000,0.3333333333333588,,,['filter:g to r'],,
C2022_U3_22S01,2025-03-04 09:35:00.007,2025-03-04 22:35:00.007000,2025-03-04 09:54:20.007,2025-03-04 22:54:20.007000,19.333333333333293,7h35m18.48s,-1d08m42.4s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.09}",60,18
TransitionBlock,2025-03-04 09:54:20.007,2025-03-04 22:54:20.007000,2025-03-04 09:54:40.007,2025-03-04 22:54:40.007000,0.3333333333333588,,,['filter:r to i'],,
C2022_U3_22S01,2025-03-04 09:54:40.007,2025-03-04 22:54:40.007000,2025-03-04 10:14:00.007,2025-03-04 23:14:00.007000,19.333333333333293,7h35m18.48s,-1d08m42.4s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.09}",60,18
TransitionBlock,2025-03-04 10:14:00.007,2025-03-04 23:14:00.007000,2025-03-04 10:15:20.007,2025-03-04 23:15:20.007000,1.3333333333333552,,,['filter:i to r'],,
C2022_L2_22S01,2025-03-04 10:15:20.007,2025-03-04 23:15:20.007000,2025-03-04 10:29:40.007,2025-03-04 23:29:40.007000,14.333333333333309,6h23m21.47s,-32d51m39.7s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.78}",30,25
TransitionBlock,2025-03-04 10:29:40.007,2025-03-04 23:29:40.007000,2025-03-04 10:30:00.007,2025-03-04 23:30:00.007000,0.3333333333333588,,,['filter:r to i'],,
C2022_L2_22S01,2025-03-04 10:30:00.007,2025-03-04 23:30:00.007000,2025-03-04 10:44:20.007,2025-03-04 23:44:20.007000,14.333333333333309,6h23m21.47s,-32d51m39.7s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.78}",30,25
TransitionBlock,2025-03-04 10:44:20.007,2025-03-04 23:44:20.007000,2025-03-04 10:45:20.007,2025-03-04 23:45:20.007000,0.9999999999999964,,,['filter:i to g'],,
C2024_A1_22S01,2025-03-04 10:45:20.007,2025-03-04 23:45:20.007000,2025-03-04 10:59:40.007,2025-03-04 23:59:40.007000,14.333333333333309,6h35m00.92s,-5d30m17.9s,"{'filter': 'g', 'magnitude': 16, 'rate (""/min)': 0.86}",30,25
TransitionBlock,2025-03-04 10:59:40.007,2025-03-04 23:59:40.007000,2025-03-04 11:01:40.007,2025-03-05 00:01:40.007000,1.999999999999993,,,['filter:g to i'],,
29P_22S01,2025-03-04 11:14:20.012,2025-03-05 00:14:20.012000,2025-03-04 11:28:40.012,2025-03-05 00:28:40.012000,14.333333333333309,9h46m57.15s,+10d08m20.5s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-03-04 11:28:40.012,2025-03-05 00:28:40.012000,2025-03-04 11:29:00.012,2025-03-05 00:29:00.012000,0.3333333333333588,,,['filter:i to g'],,
29P_22S01,2025-03-04 11:29:20.012,2025-03-05 00:29:20.012000,2025-03-04 11:43:40.012,2025-03-05 00:43:40.012000,14.333333333333309,9h46m57.15s,+10d08m20.5s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-03-04 11:43:40.012,2025-03-05 00:43:40.012000,2025-03-04 11:44:00.012,2025-03-05 00:44:00.012000,0.3333333333333588,,,['filter:g to r'],,
29P_22S01,2025-03-04 11:44:00.012,2025-03-05 00:44:00.012000,2025-03-04 11:58:20.012,2025-03-05 00:58:20.012000,14.333333333333309,9h46m57.15s,+10d08m20.5s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-03-04 11:58:20.012,2025-03-05 00:58:20.012000,2025-03-04 12:00:20.012,2025-03-05 01:00:20.012000,1.999999999999993,,,[],,
C2024_A1_22S01,2025-03-04 12:00:20.012,2025-03-05 01:00:20.012000,2025-03-04 12:14:40.012,2025-03-05 01:14:40.012000,14.333333333333389,6h35m00.92s,-5d30m17.9s,"{'filter': 'r', 'magnitude': 16, 'rate (""/min)': 0.86}",30,25
TransitionBlock,2025-03-04 12:14:40.012,2025-03-05 01:14:40.012000,2025-03-04 12:15:00.012,2025-03-05 01:15:00.012000,0.33333333333327886,,,['filter:r to i'],,
C2024_A1_22S01,2025-03-04 12:15:00.012,2025-03-05 01:15:00.012000,2025-03-04 12:29:20.012,2025-03-05 01:29:20.012000,14.333333333333389,6h35m00.92s,-5d30m17.9s,"{'filter': 'i', 'magnitude': 16, 'rate (""/min)': 0.86}",30,25
TransitionBlock,2025-03-04 12:29:20.012,2025-03-05 01:29:20.012000,2025-03-04 12:30:00.012,2025-03-05 01:30:00.012000,0.6666666666667176,,,['filter:i to g'],,
C2022_R6_22S01,2025-03-04 12:30:00.012,2025-03-05 01:30:00.012000,2025-03-04 12:44:20.012,2025-03-05 01:44:20.012000,14.333333333333389,6h39m47.59s,-23d36m07.6s,"{'filter': 'g', 'magnitude': 16, 'rate (""/min)': 0.37}",30,25
TransitionBlock,2025-03-04 12:44:20.012,2025-03-05 01:44:20.012000,2025-03-04 12:46:40.012,2025-03-05 01:46:40.012000,2.3333333333334316,,,['filter:g to i'],,
C2019_L3_22S01,2025-03-04 12:54:40.015,2025-03-05 01:54:40.015000,2025-03-04 13:14:00.015,2025-03-05 02:14:00.015000,19.33333333333337,12h26m31.44s,-60d09m21.1s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.17}",60,18
TransitionBlock,2025-03-04 13:14:00.015,2025-03-05 02:14:00.015000,2025-03-04 13:16:40.015,2025-03-05 02:16:40.015000,2.6666666666667105,,,[],,
2024_OC2_22S01,2025-03-04 13:17:00.016,2025-03-05 02:17:00.016000,2025-03-04 13:19:00.016,2025-03-05 02:19:00.016000,1.999999999999993,11h31m35.11s,+10d46m30.7s,"{'filter': 'i', 'magnitude': 20, 'rate (""/min)': 1.16}",120,1
TransitionBlock,2025-03-04 13:19:00.016,2025-03-05 02:19:00.016000,2025-03-04 13:19:20.016,2025-03-05 02:19:20.016000,0.33333333333327886,,,['filter:i to g'],,
2024_OC2_22S01,2025-03-04 13:19:40.016,2025-03-05 02:19:40.016000,2025-03-04 13:21:40.016,2025-03-05 02:21:40.016000,1.999999999999993,11h31m35.11s,+10d46m30.7s,"{'filter': 'g', 'magnitude': 20, 'rate (""/min)': 1.16}",120,1
TransitionBlock,2025-03-04 13:21:40.016,2025-03-05 02:21:40.016000,2025-03-04 13:22:00.016,2025-03-05 02:22:00.016000,0.33333333333327886,,,['filter:g to r'],,
2024_OC2_22S01,2025-03-04 13:22:00.016,2025-03-05 02:22:00.016000,2025-03-04 13:24:00.016,2025-03-05 02:24:00.016000,1.999999999999993,11h31m35.11s,+10d46m30.7s,"{'filter': 'r', 'magnitude': 20, 'rate (""/min)': 1.16}",120,1
TransitionBlock,2025-03-04 13:24:00.016,2025-03-05 02:24:00.016000,2025-03-04 13:26:40.016,2025-03-05 02:26:40.016000,2.6666666666667105,,,[],,
C2019_L3_22S01,2025-03-04 13:39:40.017,2025-03-05 02:39:40.017000,2025-03-04 13:59:00.017,2025-03-05 02:59:00.017000,19.33333333333337,12h26m31.44s,-60d09m21.1s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.17}",60,18
TransitionBlock,2025-03-04 13:59:00.017,2025-03-05 02:59:00.017000,2025-03-04 13:59:20.017,2025-03-05 02:59:20.017000,0.33333333333327886,,,['filter:r to g'],,
C2019_L3_22S01,2025-03-04 13:59:40.018,2025-03-05 02:59:40.018000,2025-03-04 14:19:00.018,2025-03-05 03:19:00.018000,19.33333333333337,12h26m31.44s,-60d09m21.1s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.17}",60,18
TransitionBlock,2025-03-04 14:19:00.018,2025-03-05 03:19:00.018000,2025-03-04 14:20:00.018,2025-03-05 03:20:00.018000,0.9999999999999964,,,['filter:g to i'],,
C2022_S4_22S01,2025-03-04 14:20:20.018,2025-03-05 03:20:20.018000,2025-03-04 14:34:40.018,2025-03-05 03:34:40.018000,14.33333333333323,15h38m11.37s,-56d21m01.3s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.34}",30,25
TransitionBlock,2025-03-04 14:34:40.018,2025-03-05 03:34:40.018000,2025-03-04 14:35:00.018,2025-03-05 03:35:00.018000,0.33333333333327886,,,['filter:i to r'],,
C2022_S4_22S01,2025-03-04 14:35:20.019,2025-03-05 03:35:20.019000,2025-03-04 14:49:40.019,2025-03-05 03:49:40.019000,14.33333333333323,15h38m11.37s,-56d21m01.3s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.34}",30,25
TransitionBlock,2025-03-04 14:49:40.019,2025-03-05 03:49:40.019000,2025-03-04 14:50:00.019,2025-03-05 03:50:00.019000,0.33333333333327886,,,['filter:r to g'],,
C2022_S4_22S01,2025-03-04 14:50:20.019,2025-03-05 03:50:20.019000,2025-03-04 15:04:40.019,2025-03-05 04:04:40.019000,14.333333333333389,15h38m11.37s,-56d21m01.3s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.34}",30,25
TransitionBlock,2025-03-04 15:04:40.019,2025-03-05 04:04:40.019000,2025-03-04 15:05:20.019,2025-03-05 04:05:20.019000,0.6666666666667176,,,['filter:g to i'],,
12P_22S01,2025-03-04 15:05:40.020,2025-03-05 04:05:40.020000,2025-03-04 15:25:00.020,2025-03-05 04:25:00.020000,19.33333333333337,17h17m00.32s,-50d20m17.4s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.12}",60,18
TransitionBlock,2025-03-04 15:25:00.020,2025-03-05 04:25:00.020000,2025-03-04 15:25:20.020,2025-03-05 04:25:20.020000,0.33333333333327886,,,['filter:i to r'],,
12P_22S01,2025-03-04 15:25:40.021,2025-03-05 04:25:40.021000,2025-03-04 15:45:00.021,2025-03-05 04:45:00.021000,19.33333333333337,17h17m00.32s,-50d20m17.4s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.12}",60,18
TransitionBlock,2025-03-04 15:45:00.021,2025-03-05 04:45:00.021000,2025-03-04 15:45:20.021,2025-03-05 04:45:20.021000,0.33333333333327886,,,['filter:r to g'],,
12P_22S01,2025-03-04 15:45:40.021,2025-03-05 04:45:40.021000,2025-03-04 16:05:00.021,2025-03-05 05:05:00.021000,19.33333333333337,17h17m00.32s,-50d20m17.4s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.12}",60,18
TransitionBlock,2025-03-04 16:05:00.021,2025-03-05 05:05:00.021000,2025-03-04 16:06:00.021,2025-03-05 05:06:00.021000,0.9999999999999964,,,['filter:g to i'],,
C2024_G6_22S01,2025-03-04 16:06:20.022,2025-03-05 05:06:20.022000,2025-03-04 16:25:40.022,2025-03-05 05:25:40.022000,19.33333333333337,17h23m53.69s,-27d53m02s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-03-04 16:25:40.022,2025-03-05 05:25:40.022000,2025-03-04 16:26:00.022,2025-03-05 05:26:00.022000,0.33333333333327886,,,['filter:i to r'],,
C2024_G6_22S01,2025-03-04 16:26:20.023,2025-03-05 05:26:20.023000,2025-03-04 16:45:40.023,2025-03-05 05:45:40.023000,19.33333333333337,17h23m53.69s,-27d53m02s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-03-04 16:45:40.023,2025-03-05 05:45:40.023000,2025-03-04 16:46:00.023,2025-03-05 05:46:00.023000,0.33333333333327886,,,['filter:r to g'],,
C2024_G6_22S01,2025-03-04 16:46:20.024,2025-03-05 05:46:20.024000,2025-03-04 17:05:40.024,2025-03-05 06:05:40.024000,19.33333333333337,17h23m53.69s,-27d53m02s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-03-04 17:05:40.024,2025-03-05 06:05:40.024000,2025-03-04 17:07:00.024,2025-03-05 06:07:00.024000,1.3333333333332753,,,['filter:g to i'],,
C2024_J3_22S01,2025-03-04 17:07:20.024,2025-03-05 06:07:20.024000,2025-03-04 17:21:40.024,2025-03-05 06:21:40.024000,14.333333333333389,19h36m46.34s,-25d58m54.1s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
TransitionBlock,2025-03-04 17:21:40.024,2025-03-05 06:21:40.024000,2025-03-04 17:22:00.024,2025-03-05 06:22:00.024000,0.33333333333327886,,,['filter:i to r'],,
C2024_J3_22S01,2025-03-04 17:22:20.025,2025-03-05 06:22:20.025000,2025-03-04 17:36:40.025,2025-03-05 06:36:40.025000,14.333333333333389,19h36m46.34s,-25d58m54.1s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
TransitionBlock,2025-03-04 17:36:40.025,2025-03-05 06:36:40.025000,2025-03-04 17:37:00.025,2025-03-05 06:37:00.025000,0.33333333333327886,,,['filter:r to g'],,
C2024_J3_22S01,2025-03-04 17:37:20.026,2025-03-05 06:37:20.026000,2025-03-04 17:51:40.026,2025-03-05 06:51:40.026000,14.333333333333389,19h36m46.34s,-25d58m54.1s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
