target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
395P_22S01,2022-11-30 08:37:20.006,2022-11-30 08:40:40.006,3.33e+00,23h02m38.17s,-3d27m23.8s,{'filter': 'R'},120,1,1
TransitionBlock,2022-11-30 08:40:40.006,2022-11-30 08:42:00.006,1.33,,,[],,,1
73P-JD001_22S01,2022-11-30 08:42:00.006,2022-11-30 08:49:20.006,7.33,21h07m43.71s,-27d28m05.2s,{'filter': 'R'},30,4,1
TransitionBlock,2022-11-30 08:49:20.006,2022-11-30 08:50:00.006,0.67,,,[],,,1
73P-BU_22S01,2022-11-30 08:50:00.006,2022-11-30 08:57:00.006,7.0,21h57m02.9s,-24d10m34.2s,{'filter': 'R'},60,3,1
TransitionBlock,2022-11-30 08:57:00.006,2022-11-30 08:58:40.006,1.67,,,[],,,1
2022jzx_22S05,2022-11-30 09:01:40.007,2022-11-30 09:08:00.007,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-11-30 09:08:00.007,2022-11-30 09:08:20.007,0.33,,,[],,,1
22P_22S01,2022-11-30 09:08:20.007,2022-11-30 09:50:20.007,42.0,0h46m37.76s,-1d44m48.3s,{'filter': 'R'},60,18,1
TransitionBlock,2022-11-30 09:50:20.007,2022-11-30 09:53:20.007,3.0,,,[],,,2
C2022_F1_22S01,2022-11-30 09:53:20.007,2022-11-30 10:30:00.007,36.67,19h57m51.88s,-69d53m18.9s,{'filter': 'R'},120,11,2
TransitionBlock,2022-11-30 10:30:00.007,2022-11-30 10:31:40.007,1.67,,,[],,,2
73P-BV_22S01,2022-11-30 10:31:40.007,2022-11-30 10:35:00.007,3.33,21h48m36.05s,-24d50m14.7s,{'filter': 'R'},120,1,2
TransitionBlock,2022-11-30 10:35:00.007,2022-11-30 10:37:00.007,2.0,,,[],,,2
C2014_UN271_22S01,2022-11-30 10:37:40.010,2022-11-30 10:41:00.010,3.33,2h37m22.62s,-61d26m19.7s,{'filter': 'R'},120,1,2
TransitionBlock,2022-11-30 10:41:00.010,2022-11-30 10:43:00.010,2.0,,,[],,,2
C2021_T4_22S01,2022-11-30 10:43:00.010,2022-11-30 11:33:00.010,50.0,1h18m22.54s,-11d58m50.6s,{'filter': 'R'},20,30,3
TransitionBlock,2022-11-30 11:33:00.010,2022-11-30 11:33:40.010,0.67,,,[],,,3
382P_22S01,2022-11-30 11:33:40.010,2022-11-30 11:37:00.010,3.33,0h33m25.25s,-0d44m52.8s,{'filter': 'R'},120,1,3
TransitionBlock,2022-11-30 11:37:00.010,2022-11-30 11:40:40.010,3.67,,,['filter:R to V'],,,3
2022ucj_22S02,2022-11-30 11:40:40.010,2022-11-30 11:45:00.010,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,3
TransitionBlock,2022-11-30 11:45:00.010,2022-11-30 11:45:20.010,0.33,,,[],,,3
2022udc_22S02,2022-11-30 11:45:20.010,2022-11-30 11:49:40.010,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 11:49:40.010,2022-11-30 11:50:00.010,0.33,,,[],,,4
2022ssk_22S02,2022-11-30 11:50:00.010,2022-11-30 11:54:20.010,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 11:54:20.010,2022-11-30 11:56:20.010,2.0,,,[],,,4
2022ydv_22S02,2022-11-30 11:56:20.010,2022-11-30 12:00:40.010,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 12:00:40.010,2022-11-30 12:02:00.010,1.33,,,[],,,4
2022ydu_22S02,2022-11-30 12:02:00.010,2022-11-30 12:06:20.010,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 12:06:20.010,2022-11-30 12:06:40.010,0.33,,,[],,,4
2022tiv_22S02,2022-11-30 12:06:40.010,2022-11-30 12:11:00.010,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 12:11:00.010,2022-11-30 12:16:00.010,5.0,,,['filter:V to R'],,,4
C2021_Y1_22S01,2022-11-30 12:18:40.014,2022-11-30 12:27:00.014,8.33,4h20m47.48s,+12d02m51.4s,{'filter': 'R'},20,5,4
TransitionBlock,2022-11-30 12:27:00.014,2022-11-30 12:31:40.014,4.67,,,['filter:R to V'],,,4
2022wbc_22S02,2022-11-30 12:31:40.014,2022-11-30 12:36:00.014,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 12:36:00.014,2022-11-30 12:38:20.014,2.33,,,[],,,4
2021aefx_22S02,2022-11-30 12:38:20.014,2022-11-30 12:42:40.014,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 12:42:40.014,2022-11-30 12:44:20.014,1.67,,,[],,,4
2022xkq_22S02,2022-11-30 12:44:20.014,2022-11-30 12:48:40.014,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1,4
TransitionBlock,2022-11-30 12:48:40.014,2022-11-30 12:55:40.014,7.0,,,['filter:V to R'],,,5
C2021_G2_22S01,2022-11-30 12:56:00.015,2022-11-30 13:42:00.015,46.0,9h14m30.66s,-35d34m01.1s,{'filter': 'R'},30,25,5
TransitionBlock,2022-11-30 13:42:00.015,2022-11-30 13:43:20.015,1.33,,,[],,,5
C2021_S3_22S01,2022-11-30 13:43:40.017,2022-11-30 14:33:40.017,50.0,6h07m09.1s,-36d25m22s,{'filter': 'R'},20,30,6
TransitionBlock,2022-11-30 14:33:40.017,2022-11-30 14:35:00.017,1.33,,,[],,,6
C2022_R6_22S01,2022-11-30 14:35:00.017,2022-11-30 14:38:20.017,3.33,3h21m38.62s,-43d06m06.4s,{'filter': 'R'},120,1,6
TransitionBlock,2022-11-30 14:38:20.017,2022-11-30 14:40:00.017,1.67,,,[],,,6
2022yxp_22S05,2022-11-30 14:40:00.017,2022-11-30 14:46:20.017,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1,6
TransitionBlock,2022-11-30 14:46:20.017,2022-11-30 14:48:00.017,1.67,,,[],,,7
2022yjy_22S05,2022-11-30 14:49:00.019,2022-11-30 14:55:20.019,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'R'},300,1,7
TransitionBlock,2022-11-30 14:55:20.019,2022-11-30 14:58:20.019,3.0,,,['filter:R to V'],,,7
2022yjy_22S05,2022-11-30 14:58:40.020,2022-11-30 15:05:00.020,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'V'},300,1,7
