snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2021hem,19.9872,0.035,r-ZTF,FINISHED,spec ia,NO,40,245.3167114,14.5526557,,,-,99,650,ZTF,,583.A.a,,Elliptical?,-,2021-03-24 10:05:20,2021-03-30,,,,,,
2021hdu,19.25,0.058,,ABANDON,spec ia,NO,46,319.0668575,5.2465474,,,-,,649,ZTF,,?,,elliptical,-,2021-03-24 12:31:41,2021-03-30,?,missed first two epochs due to bad weather,,,,
2021hef,18.79,,,ABANDON,?,NO,30,107.0982151,-23.7996225,,,-,,649,ZTF,,?,,?,-,2021-03-25 3:30:14,2021-03-30,?,,,,,
2021hjc,18.81,0.05369,r-ZTF,FINISHED,spec ia,YES,10,141.3886776,-24.7649249,,,-,99,644,ZTF,,?,,?,-,2021-03-30 5:32:38,2021-03-30,?,,,,,
2021hed,19.2,,,ABANDON,?,NO,34,208.6036427,23.6766484,,,-,,650,ZTF,,?,,Elliptical,-,2021-03-24 6:50:23,2021-03-30,?,missed peak?,,,,
2021hcz,15.43,,0.001769,ABANDON,?,NO,27,54.874625,-18.6917,,,-,,649,GaiaAlerts,,?,,Elliptical,-,2021-03-24 23:36:58,2021-03-30,?,,,,,
2021hjb,18.785,0.06651,orange-ATLAS,FINISHED,spec ia,YES,22,133.9395421,16.9246338,,,-,99,644,ATLAS,"the classification is 'robotic', with a 92% accuracy rate",?,,Elliptical,-,2021-03-30 7:52:19,2021-03-30,ZTF,reddened?,,,,
2021hiz,17.7093,0.003319,g-ZTF,FINISHED,spec ia,NO,23,186.4236464,7.228405121,,,0.003319,99,644,ZTF,,?,,Spiral,IC 3322A,2021-03-30 8:36:49,2021-03-30,UCSC,SHARED with YSE,,,,
2021hiv,18.38,0.023,,ABANDON,SN II,NO,41,192.2743496,-12.2076946,,,-,,647,ZTF,,?,,Elliptical?,-,2021-03-27 8:05:17,2021-03-30,?,,,,,
2021hku,16.7,0.011,,ABANDON,SN Ic-BL,NO,34,308.00797,-53.74952,,,0.010908,,643,ASAS-SN,,?,,spiral,ESO 186-IG 059,2021-03-31 8:23:59,2021-04-02,ePESSTO+,,,,,
2021hep,17.9292,0.034,,ABANDON,spec Ia,NO,33,107.8189134,4.98006815,,,-,,646,ZTF,,?,,Elliptical?,WISEA J071116.49+045850.4,2021-03-28 4:12:12,2021-03-30,None,typo caused to drop??,,,,
2021grd,18.7988,,r-ZTF,FINISHED,spec Ia,YES,11,129.4269574,-11.1879023,,,0.053447,99,656,ZTF,,?,,Elliptical,WISEA J083742.46-111117.5,2021-03-18 5:17:47,2021-03-21,?,,,,,
2021ghc,19.669,0.046217,orange-ATLAS,FINISHED,spec ia,YES,34,149.1374525,0.752317185,,,-,99,655,ATLAS,,?,,Elliptical,-,2021-03-19 8:44:10,2021-03-21,SIRAH,,,,,
2021fna,19.135,0.079,orange-ATLAS,FINISHED,spec ia,YES,9,154.0947855,-23.1994468,,,-,99,660,ATLAS,,?,,Elliptical,-,2021-03-14 8:15:22,2021-03-23,ePESSTO+,,,,,
2021gkz,19.4037,,,ABANDON,?,NO,26,179.0925558,30.545875,,,0.076926,,655,ZTF,,?,,Elliptical,WISEA J115622.08+303237.5,2021-03-19 8:37:45,2021-03-21,?,,,,,
2021gcw,18.8364,0.081438,,ABANDON,spec ia,NO,16,197.1282227,16.12499827,,,0.081438,,656,ZTF,,?,,spiral,WISEA J130830.53+160730.1,2021-03-18 6:50:50,2021-03-21,ZTF,barely caught peak and then accidentally dropped,,,,
2021gyh,20.21,0.08,,ABANDON,spec ia,NO,53,195.966087,-3.4517458,,,-,,654,Pan-STARRS1,,423.C.a,,Elliptical,-,2021-03-20 9:59:02,2021-03-27,YSE,missed peak,,,,
2021gkb,19.5326,0.06939,g-ZTF,FINISHED,spec ia,NO,30,164.4807248,-13.7907718,,,0.069395,99,655,ZTF,,?,,Elliptical,WISEA J105755.42-134727.2,2021-03-19 6:33:13,2021-03-24,ZTF,,,,,
2021fxy,16.9,0.0094,Clear-,FINISHED,spec ia,NO,34,198.2565721,-19.51251762,,,-,99,656,NONE?,,423.E.a.2021fxy,,Elliptical,NGC5022,2021-03-17 17:23:37,2021-03-21,SIRAH,,,,,
2021foh,18.2,0.022,orange-ATLAS,FINISHED,spec ia,NO,41,200.1703818,-17.10931636,,,-,99,659,ATLAS,,?,,Elliptical,-,2021-03-15 10:50:53,2021-03-23,ePESSTO+,,,,,
2021fqb,20.4,0.035,L-GOTO,FINISHED,spec ia,NO,49,227.774625,5.107269,,,-,99,660,GOTO,,?,,Elliptical,-,2021-03-14 4:19:22,2021-03-21,GOTO,,,,,
2021gwa,20.1448,0.07036,g-ZTF,FINISHED,spec ia,NO,23,235.6545,6.854539,,,0.070355,99,656,ZTF,,?,,2 Ellipticals?!,WISEA J154237.48+065124.5,2021-03-18 11:59:44,2021-03-23,ZTF,,,,,
2021gez,19.72,0.03206,cyan-ATLAS,FINISHED,spec ia,NO,6,245.5417896,21.22222736,,,-,99,655,ATLAS,,583.F.a,,Elliptical?,-,2021-03-18 13:23:31,2021-03-23,ZTF,,,,,
2021fuf,18.069,0.064,,ABANDON,spec ia,NO,36,144.52917,-18.9275425,,,-,,658,ATLAS,,?,,Elliptical?,-,2021-03-16 10:33:36,2021-03-21,TCD,missed peak?,,,,
2021gno,18.2017,0.006211,,ABANDON,spec 1b,NO,40,183.0428978,13.2491751,,,-,,654,ZTF,,?,,spiral,-,2021-03-20 5:38:54,2021-03-23,UCSC,,,,,
2021ftc,19.419,,,ABANDON,?,NO,52,217.036086,2.126932,,,-,,659,ATLAS,,?,,Elliptical,-,2021-03-15 11:32:38,2021-03-23,?,,,,,
2021fof,18.35,0.04,orange-ATLAS,FINISHED,spec ia,NO,17,212.0533103,-8.832710317,,,-,99,659,ATLAS,,?,,Elliptical,-,2021-03-15 11:58:34,2021-03-21,SCAT,,,,,
2021gqc,18.95,0.047,orange-ATLAS,FINISHED,spec ia,NO,43,226.949792,-10.247161,,,-,99,654,ATLAS,,?,,Elliptical,-,2021-03-19 12:12:58,2021-03-23,ZTF,,,,,
2021gwn,18.031,0.048,orange-ATLAS,FINISHED,spec ia,YES,48,161.79996,-29.38623,,,-,99,652,ATLAS,,?,,Elliptical,-,2021-03-22 10:04:48,2021-03-27,SCAT,,,,,
2021hru,20.1654,,,ABANDON,?,NO,20,146.2138738,-12.68326575,,,-,,643,ZTF,it's too faint to be a Ia in our redshift range,?,,Elliptical,WISEA J094452.02-124059.1,2021-03-31 4:03:16,2021-04-05,?,,,,,
2021hze,19.6545,,,ABANDON,?,NO,30,157.3385335,-16.6027629,,,-,,640,ZTF,,?,,Elliptical,WISEA J102921.07-163609.3,2021-04-03 3:41:19,2021-04-05,?,,,,,
2021ied,19.9666,,,ABANDONED,spec ia,NO,,245.7204035,25.624883,,,0.1114918,,641,ZTF,,?,,Elliptical,SDSS J162253.21+253728.3,2021-04-02 8:39:49,,ePESSTO,,,,,
2021hji,19.9553,0.057,g-ZTF,FINISHED,spec ia,NO,41,252.171356,21.99722575,,,0.057739,99,646,ZTF,,?,,Eliptical maybe ,WISEA J164841.04+215950.8,2021-03-28 11:35:12,2021-04-05,ePESSTO+,,,,,
2021hon,18.748,,,ABANDONED,?,NO,49,89.02804667,-32.79206333,,,-,,642,ATLAS,,?,,Spiral,-,2021-04-01 5:48:29,2021-04-02,?,,,,,
2021hkf,18.82,0.02,,ABANDONED,spec 2,NO,22,176.0969894,8.1781768,,,-,,645,ZTF,,?,,Spiral,-,2021-03-29 6:08:38,2021-04-02,ePESSTO+,,,,,
2021hvo,17.907,0.051,orange-ATLAS,FINISHED,spec ia,NO,22,200.7138947,-40.77670824,,,-,99,640,ATLAS,,?,,?,-,2021-04-03 10:45:07,2021-04-05,ePESSTO+,,,,,
2021htw,18.033,0.08,,ABANDONED,spec ia,NO,43,88.373036,-35.035284,,,-,,640,ATLAS,,?,,Elliptical,-,2021-04-03 5:31:12,2021-04-05,ePESSTO+,idk why,,,,
2021ibo,19.26,0.058,r-ZTF,FINISHED,spec ia,YES,23,136.1089968,8.012786188,,,-,99,641,ZTF,,,,?,-,2021-04-02,2021-04-08,ZTF,,,,,
2021hvq,18.46,,,ABANDONED,?,NO,26,165.887925,-34.33562167,,,-,,640,ATLAS,,,,?,-,2021-04-03,2021-04-08,?,barely caught peak and not confirmed,,,,
2021hup,18.78,0.049,g-ZTF,FINISHED,spec ia,NO,5,178.5248434,-6.6015876,,,-,99,642,ZTF,,,,Elliptical,-,2021-04-01,2021-04-08,ZTF,,,,,
2021ipf,19.581,0.055735,g-ZTF,FINISHED,spec ia,NO,40,174.460788,-7.228356,,,0.055735,99,637,ZTF,,,,Elliptical,6dF J1137507-071341,2021-04-06,2021-04-08,ePESSTO+,,,,,
2021ihz,19.9694,0.06976,r-ZTF,FINISHED,spec ia,NO,52,228.3638399,25.20666325,,,0.069972,99,640,ZTF,,,,Spiral,UGC 09770,2021-04-03,2021-04-08,SIRAH,,,,,
