snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2021yuj,19.277,0.047563,r-ZTF,FINISHED,spec ia,NO,39,298.3817875,-22.7994944,setting,,-,99,477,ZTF,,-,,Spiral ,-,2021-09-13 4:01:55,2021-09-19,ePESSTO+,,,,,
2021yyq,18.121,0.0452,,ABANDON,phot ia,NO,,92.711,-43.8808278,,,,99,"9,999",,,,,,,,,,,,,,
2021ypa,19.99,0.03438,g-ZTF,FINISHED,spec ia,NO,21,68.9090708,-13.2230667,,,-,99,481,ZTF,,-,,Elliptical ,-,2021-09-09 10:35:53,2021-09-16,ePESSTO+,,,,,
2021yry,20.04,0.08,,ABANDON,spec ia,NO,,314.3261208,-15.2536194,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2021ywa,19.51,0.06744,g-ZTF,FINISHED,spec ia,NO,40,57.8525375,-17.3287417,,,-,99,478,ZTF,,-,,Elliptical,-,2021-09-12 11:34:33,2021-09-16,ZTF,,,,,
2021ymn,19.3,0.051,g-ZTF,FINISHED,spec ia,NO,33,77.7731125,-17.9236833,,,-,99,480,ZTF,,-,,Spiral ,-,2021-09-10 11:04:58,2021-09-16,ePESSTO+,,,,,
2021ywf,20.03,0.02825,,ABANDON,Ibc,NO,,78.5457833,1.8811944,abandoned,,,99,"9,999",,,,,,,,,,,,,,
2021ysa,19.258,0.0658,,ABANDON,spec ia,NO,,49.603425,-41.6867528,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2021zax,19.3286,0.04,r-ZTF,FINISHED,spec ia,NO,30,334.2772083,13.3664361,setting,,0.08806,99,474,ZTF,,-,,Elliptical,ARK 556,2021-09-16 10:04:38,2021-09-22,ZTF,,,,,
2021zfs,16.195,0.019623,orange-ATLAS,FINISHED,spec ia,NO,19,323.1242917,5.3463,,,-,99,469,ATLAS,,-,,Elliptical,-,2021-09-21 9:20:10,2021-09-22,None,,,,,
2021zet,18.18,0.032,,ABANDON,phot ia,NO,,26.3468792,-42.7002806,not a ia!!!,,,99,"9,999",,,,,,,,,,,,,,
2021zdx,19.12,0.0715,w-P1,FINISHED,spec ia,NO,30,46.7690667,-15.4262806,,,-,99,471,Pan-STARRS1,,-,,Elliptical??,-,2021-09-18 13:56:38,2021-09-23,ZTF,,,,,
2021zgf,17.518,0.054,orange-ATLAS,FINISHED,spec ia,NO,5,26.3468792,-42.7002806,,,-,99,468,ATLAS,,-,,Elliptical,-,2021-09-22 10:58:05,2021-09-23,ePESSTO+,,,,,
2021zfr,19.57,0.032,r-ZTF,FINISHED,spec ia,NO,15,45.131475,-14.9557111,,,-,99,470,ZTF,,-,,Spiral?,-,2021-09-20 9:36:00,2021-09-28,ZTF,,,,,
2021zzu,19.75,0.037,,ABANDON,phot ia,NO,,325.7726625,-17.5440611,just get color,,,99,"9,999",,,,,,,,,,,,,,
2021zqo,18.51,0.067,r-ZTF,FINISHED,spec ia,NO,42,44.775275,-18.671425,,,-,99,463,ZTF,,-,,Elliptical,-,2021-09-27 8:02:24,2021-10-01,ZTF,,,,,
2021zxf,19.73,,,ABANDON,phot ia,NO,,999,999,,,,99,"9,999",,,,,,,,,,,,,,
2021zwc,19.8839,,,ABANDON,phot ia,NO,,999,999,,,,99,"9,999",,,,,,,,,,,,,,
2021zxd,19.65,,,ABANDON,phot ia,NO,,999,999,,,,99,"9,999",,,,,,,,,,,,,,
2021zsz,18.59,0.035746,orange-ATLAS,FINISHED,spec ia,NO,34,92.6387958,-14.5388917,,,-,99,462,ATLAS,,-,,Elliptical,-,2021-09-27 14:39:50,2021-10-01,ePESSTO+	,,,,,
2021aabw,18.572,0.032,orange-ATLAS,FINISHED,spec ia,NO,8,82.409425,-23.9926389,,,-,99,459,ATLAS,,-,,Spiral,-,2021-09-30 12:57:36,2021-10-04,ePESSTO+	,,,,,
2021aaga,17.387,0.04,orange-ATLAS,FINISHED,spec ia,NO,19,84.953725,-40.9772083,,,-,99,459,ATLAS,,-,,?,-,2021-09-30 13:50:53,2021-10-04,ePESSTO+	,,,,,
2021aafz,18.492,0.07,orange-ATLAS,FINISHED,spec ia,NO,36,31.0776667,-44.7529778,,,-,99,460,ATLAS,,-,,Spiral?,-,2021-09-30 9:54:43,2021-10-04,ePESSTO+	,,,,,
2021aaic,19.1252,0.058,,ABANDON,spec ia,NO,,48.2128208,-13.7018556,didnt catch,,,99,"9,999",,,,,,,,,,,,,,
2021aare,19.24,0.0404,,ABANDON,91bg,NO,,90.9168,-26.6632389,,,,99,"9,999",,,,,,,,,,,,,,
2021aatq,19.028,0.06,orange-ATLAS,FINISHED,spec ia,NO,1,114.1306625,-1.5881806,,,-,99,452,ATLAS,,-,,Spiral,-,2021-10-07 14:05:17,2021-10-10,ePESSTO+	,,,,,
2021aazj,19.89,0.062,r-ZTF,FINISHED,spec ia,NO,19,74.1835958,-16.6487833,,,-,99,458,ZTF,,-,,Elliptical,-,2021-10-02 10:30:43,2021-10-10,ZTF,,,,,
2021abds,21.71,0.07,w-P1,FINISHED,spec ia,NO,3,356.7795,-15.5336944,,,-,99,457,"Pan-STARRS1",,-,,Elliptical?,-,2021-10-03 7:04:48,2021-10-13,ePESSTO+	,,,,,
2021abcl,19.0749,,,ABANDON,phot ia,NO,,339.5715458,-21.1383833,caught at moon,,,99,"9,999",,,,,,,,,,,,,,
2021aaqb,18.531,0.04,,ABANDON,spec ia,NO,,1.6583875,-34.9042194,caught at moon,,,99,"9,999",,,,,,,,,,,,,,
2021aazk,18.94,0.065,,ABANDON,spec ia,NO,,359.4546375,-9.7203667,CAUGHT AT MOON,,,99,"9,999",,,,,,,,,,,,,,
2021abko,16.9,0.015908,g-Sloan,FINISHED,spec ia,NO,20,30.5301625,23.5501722,,,0.015908,99,445,"ASAS-SN",,-,,Elliptical,"IC 0190",2021-10-14 12:28:48,2021-10-16,ePESSTO+	,,,,,
2021abmp,18.279,0.023259,orange-ATLAS,FINISHED,spec ia,NO,9,11.1765208,-38.1838472,,,-,99,445,ATLAS,,-,,Spiral?,-,2021-10-15 7:35:02,2021-10-17,SCAT,,,,,
2021abiu,18.9464,0.054,g-ZTF,FINISHED,spec ia,NO,60,119.1854292,-2.9945333,,,0.053934,99,447,ZTF,,-,,Elliptical,WISEA J075644.15-025937.5,2021-10-13 11:30:16,2021-10-16,ePESSTO+	,,,,,
2021ablx,18.573,0.0325,,ABANDON,phot ia,NO,,73.8193771,-22.3110258,,,,99,"9,999",,,,,,,,,,,,,,
2021abuz,19.31,0.06499,,ABANDON,spec ia,NO,,63.0622917,-26.1426583,perhaps 91T,,,99,"9,999",,,,,,,,,,,,,,
2021abva,19.56,,,ABANDON,nonia,NO,,68.309675,-31.9856139,FBT,,,99,"9,999",,,,,,,,,,,,,,
2021abxh,18.008,0.05504,,ABANDON,spec ia,NO,,141.6558,-21.4029278,bad weather missed,,,99,"9,999",,,,,,,,,,,,,,
2021abze,16.632,0.0148,,ABANDON,phot ia,NO,,10.8844083,14.3429111,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2021abzo,19.4648,0.0675,,ABANDON,spec ia,NO,,72.460825,0.5669444,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2021aceo,18.566,0.048,orange-ATLAS,FINISHED,spec ia,NO,7,136.3544458,-7.8145278,,,-,99,434,ATLAS,,-,,Spiral,-,2021-10-25 14:39:50,2021-10-31,ePESSTO+	,,,,,
2021abam,19.3978,0.049,g-ZTF,FINISHED,spec ia,NO,,17.05106602,-19.78996421,THIS IS IN YSE FIELD,,-,99,450,ZTF,,,,Elliptical,WISEA J010812.21-194723.2,2021-10-10 8:31:37,,None,,,,,
2021achy,20.12,0.08,w-P1,FINISHED,SN II,NO,,329.8673453,2.643973041,THIS IS IN YSE FIELD,,-,99,433,Pan-STARRS1,,,,Elliptical,-,2021-10-27 5:02:24,,UCSC	,,,,,
2021acfj,20.3,0.054,,ABANDON,phot ia,NO,,36.3443391,-7.8408442,just get color,,,99,"9,999",,,,,,,,,,,,,,
2021acnx,18.762,0.029,orange-ATLAS,FINISHED,spec ia,NO,36,70.57395,6.8758417,bright star nearby. reduce exposure time.,,-,99,433,ATLAS,,-,,Elliptical?,-,2021-10-27 11:13:55,2021-10-3,ZTF,,,,,
2021aclv,17.28,0.018279,g-ZTF,FINISHED,spec ia,NO,29,14.4807125,-5.1317389,16th mag,,-,99,430,ZTF,,-,,SPIRAL,-,2021-10-30 5:08:10,2021-10-31,ZTF,,,,,
2021acgk,19.67,0.076,,ABANDON,spec ia,NO,,4.8397708,15.2829833,setting missed,,,99,"9,999",,,,,,,,,,,,,,
2021acnn,18.13,0.043,,ABANDON,spec ia,NO,,100.9431458,21.3862528,pretty far north. missed,,,99,"9,999",,,,,,,,,,,,,,
2021addd,18.8075,0.037396,r-ZTF,FINISHED,spec ia ,NO,54,48.742625,4.9075111,elliptical,,0.037396,99,426,ZTF,,-,,Elliptical,WISEA J031458.34+045428.2,2021-11-03 6:48:00,2021-11-03,ZTF,,,,,
2021acxb,20.77,0.0641,w-P1,FINISHED,spec ia,NO,26,49.9027958,-27.4940333,elliptical,,-,99,430,"Pan-STARRS1",,-,,Elliptical,-,2021-10-30 10:46:34,2021-11-03,DEbass,,,,,
2021acwr,19.77,0.103,,ABANDON,spec ia,NO,45,13.4399,1.9556556,elliptical,,-,99,430,Pan-STARRS1,,-,,Elliptical,-,2021-10-30 7:00:29,2021-11-03,ZTF,,,,,
2021adlv,19.17,0.033,r-ZTF,FINISHED,Spec ia ,NO,22,127.7659917,-4.1942167,elliptical,,-,99,424,ZTF,,,,Elliptical,-,2021-11-05 11:35:53,2021-11-09,UCSC,,,,,
2021adlz,17.51,0.029,r-ZTF,FINISHED,spec ia,NO,7,157.5367,12.0613944,,,-,99,426,ZTF,,,,Elliptical?,-,2021-11-03 11:28:19,2021-11-06,ZTF,,,,,
2021acnt,17.358,0.008,orange-ATLAS,FINISHED,spec ia,NO,4,145.4285,-28.2024889,z=.008,,-,99,433,ATLAS,,,,Elliptical,-,2021-10-26 14:52:48,2021-11-06,ePESSTO+	,,,,,
2021adov,19.59,,,ABANDON,phot ia,NO,,15.9667958,-1.7150667,elliptical,,-,99,425,ZTF,,,,Elliptical,-,2021-11-04 6:20:10,,?,,,,,
2021adlt,18.782,0.021,cyan-ATLAS,FINISHED,spec ia,NO,38,69.7994958,6.3734389,,,-,99,425,ATLAS,,-,,Elliptical,-,2021-11-04 11:34:05,2021-11-09,ePESSTO+,,,,,
2021adga,20.08,0.052,,ABANDON,spec ia,NO,,11.9148958,-5.7386111,caught at moon,,,99,"9,999",,,,,,,,,,,,,,
2021aefx,17.2488,0.005,Clear-,FINISHED,spec ia,NO,35,64.9721667,-54.9479444,z=0.005,,-,99,417,DLT40,,,,Spiral,NGC1566,2021-11-11 12:30:44,2021-11-13,Global SN Project,,,,,
2021adoz,20.53,0.056,g-ZTF,FINISHED,spec ia,NO,10,125.4689042,8.0814861,get on 13th,,-,99,425,ZTF,,,,Elliptical,-,2021-11-04 10:42:14,2021-11-13,None,,,,,
2021aden,20.4052,0.084,,ABANDON,spec ia,NO,,3.9248667,12.8116111,first half,,,99,"9,999",,,,,,,,,,,,,,
2021aess,19.8345,0.007,,ABANDON,phot ia,NO,,53.450525,-19.4957306,interesting. possibly faint,,-,99,415,ZTF,,,,Spiral?,-,2021-11-14 6:33:55,,,,,,,
2021aemv,19.54,,,ABANDON,phot ia,NO,49,113.5307708,19.2479722,just get color,,-,99,416,ZTF,,,,Spiral,-,2021-11-13 9:07:12,2021-11-15,,,,,,
2021adug,21.29,0.0735,w-P1,FINISHED,spec ia,NO,51,13.5491042,-14.9698444,barely caught,,-,99,423,Pan-STARRS1,,,,Elliptical,-,2021-11-06 6:14:24,2021-11-16,DEbass,,,,,
2021aeca,19.0776,0.052,g-ZTF,FINISHED,spec ia,NO,50,124.6304333,-14.7222833,barely caught (-1.7)?,,0.048137,99,420,ZTF,,,,Elliptical,WISEA J081831.26-144319.0,2021-11-09 11:32:48,2021-11-16,ZTF,,,,,
2021ackd,20.76,0.049658,,ABANDON,spec ia,NO,,21.3857333,8.6186944,first half,,,99,"9,999",,,,,,,,,,,,,,
2021aexy,18.41,0.039,g-ZTF,FINISHED,spec ia,NO,4,48.9743625,-23.0448222,-1.8,,-,99,410,ZTF,,,,Spiral?,-,2021-11-19 6:33:07,2021-11-27,ePESSTO+,,,,,
2021afeb,19.9,0.0553,i-Sloan,FINISHED,spec ia,NO,21,15.068499,-15.2983343,,,-,99,407,Pan-STARRS1,,,,Elliptical,-,2021-11-22 6:02:53,2021-11-27,UCSC,,,,,
2021afue,18.85,0.04223,r-ZTF,FINISHED,spec ia,NO,41,154.4560625,-7.4067611,,,-,99,397,ZTF,,,,Elliptical,-,2021-12-02 9:36:00,2021-12-03,ZTF,,,,,
2021agbv,18.315,0.052,orange-ATLAS,FINISHED,spec ia,NO,22,29.167725,-14.130075,,,-,99,396,ATLAS,,,,Spiral?,-,2021-12-03 7:43:41,2021-12-06,ATLAS,,,,,
2021agep,17.6,0.02,g-Sloan,FINISHED,spec ia,NO,,39.7933917,1.1433528,,,0.020522,99,"9,999",ASAS-SN,,,,Elliptical?,WISEA J023910.60+010836.1,,2021-12-09 5:16:48,ASAS-SN,,,,,
2021agey,17.399,0.024,,ABANDON,spec ia,NO,51,24.5886667,-15.8131722,missed,,-,99,388,ATLAS,,,,Elliptical,-,2021-12-11 7:00:29,2021-12-15,ePESSTO+,,,,,
2021aghx,18.01,0.017722,,ABANDON,ib,NO,,330.465625,-22.4887389,,,-,99,385,GaiaAlerts,,,,Spiral,-,2021-12-14 8:49:55,,ZTF,,,,,
2021aghw,17.78,0.0415,,ABANDON,-,NO,53,70.1809167,-36.6847389,missed peak,,-,99,385,GaiaAlerts,,,,Elliptical,-,2021-12-14 7:33:36,2021-12-15,DEbass	,,,,,
2021aggc,17.53,0.034782,,FINISHED,phot ia,NO,,50.4161083,-6.636325,,,-,99,387,ATLAS,,,,Spiral,-,2021-12-12 7:40:48,,,,,,,
2021aggs,18.566,,,ABANDON,phot ia,NO,51,175.7062833,18.8879722,,,-,99,385,ATLAS,,,,Spiral,-,2021-12-13 14:36:58,2021-12-15,,,,,,
2021aggu,17.187,0.029,orange-ATLAS,FINISHED,spec ia,NO,,136.88,18.4360306,SHARED WITH YSE,,-,99,385,ATLAS,,YSE21aggu,,Spiral,-,2021-12-13 12:40:19,,TMTS,,,,,
2021agfq,18.619,0.039,,FINISHED,SN II,NO,47,164.7807583,1.8894889,SHARED WITH YSE,,-,99,386,ATLAS,,YSE21agfq,,Elliptical?,-,2021-12-12 14:22:34,2021-12-18,,,,,,
2021agjd,17.537,0.044,orange-ATLAS,FINISHED,spec ia,NO,20,11.8689958,14.7528639,hit elevation limit,,-,99,382,ATLAS,,,,Elliptical?,-,2021-12-17 5:55:41,2021-12-18,ZTF,,,,,
2021agle,17.152,0.017,,ABANDON,SN II,NO,,30.5450083,-28.6473,,,-,99,378,ATLAS,,,,Spiral,-,2021-12-21 8:54:14,,,,,,,
2021aglf,17.983,0.048,orange-ATLAS,FINISHED,spec ia,NO,16,22.5680375,20.6004056,,,-,99,378,ATLAS,,,,Elliptical,-,2021-12-21 9:25:55,2021-12-21,,,,,,
2021aglk,17.274,0.037,orange-ATLAS,FINISHED,spec ia ,NO,6,98.2307917,-36.0344306,,,-,99,377,ATLAS,,,,,-,2021-12-21 12:12:58,2021-12-22,None,,,,,
2022qi,19.03,0.021,,ABANDON,SN II,DONTGET,,97.94959057,-17.62162187,,,,99,"9,999",,,,,,,,,,,,,,
2022hrs,15,0.0047,Clear-,FINISHED,spec ia,NO,11,190.8930625,11.5766306,14th mag,,,99,261,ZTF,,,,Spiral,NGC4647,2022-04-16 14:50:40,2022-04-20,ZTF,,,,,
2022hqs,19.4337,0.026,r-ZTF,FINISHED,spec ia,NO,33,165.4670625,-12.4880444,,,0.026031,99,267,ZTF,,,,Elliptical,MCG -02-28-040,2022-04-11 6:00:19,2022-04-20,ZTF,,,,,
2022hss,18.215,,orange-ATLAS,ABANDON,phot ia,NO,25,186.4099785,7.1925114,,,,99,260,ATLAS,,,,Elliptical,,2022-04-18 5:04:57,2022-04-20,Pan-STARRS	,,,,,
2022hql,18.541,0.023,,ABANDON,SN II,NO,54,207.0258792,12.0749639,,,,99,"9,999",,,,,,,,2022-04-21,,,,,,
2022huw,0.044607,18.32,g-ZTF,FINISHED,spec ia,NO,10,149.1949458,11.90865,,,,99,259,ZTF,,,,Spiral?,,2022-04-19 6:10:05,2022-04-23,,,,,,
2022ihc,18.658,,orange-ATLAS,ABANDON,phot ia,NO,,147.6171,-21.8068,,,,99,253,ATLAS,,,,,,2022-04-25 2:01:06,,ZTF,,,,,
2022iea,18.875,0.0426,orange-ATLAS,ABANDON,phot ia,NO,,205.40633,14.29357,,,,99,255,ATLAS,,,,Elliptical,,2022-04-23 8:31:40,,ZTF,,,,,
2022idx,18.672,0.0141,cyan-ATLAS,ABANDON,91T,NO,,193.30072,-6.38518,low priority,,,99,255,ATLAS,,,,spiral ,,2022-04-23 9:54:27,,ZTF,,,,,
2022ikc,19.62,0.0343,r-ZTF,ABANDON,SN II,NO,,220.0350833,0.9069694,elliptical,,,99,254,ZTF,,,,Elliptical,,2022-04-24 7:33:36,,ATLAS,,,,,
2022iem,18.852,,orange-ATLAS,FINISHED,spec ia,NO,50,262.7129792,5.866225,,,,99,254,ATLAS,,,,Elliptical?,,2022-04-23 12:42:55,2022-06-07,ZTF,,,,,
2022iwt,16.825,0.012,orange-ATLAS,ABANDON,SN II,NO,,351.65554,-81.90785,z=0.012 GET SPEC!,,,99,"9,999",,,,,,,,,,,,,,
2022irq,19.51,,,ABANDON,phot ia,NO,,171.316125,-2.0777139,missed,,,99,"9,999",,,,,,,,,,,,,,
2022isb,20.91,0.077198,,ABANDON,spec ia,NO,,227.6094263,6.006556806,too late,,,99,"9,999",,,,,,,,,,,,,,
2022ied,19.456,0.051,,ABANDON,spec ia,NO,,194.9053643,5.61465525,too late,,,99,"9,999",,,,,,,,,,,,,,
2022itd,19.6572,0.06,g-ZTF,FINISHED,spec ia,NO,18,273.9674167,12.0377472,elliptical ,,,99,250,ZTF,,,,Elliptical,SDSS J181552.02+120216.5,2022-04-28 11:04:18,2022-05-02,,,,,,
2022jkx,18.819,0.022,,ABANDON,phot ia,NO,,205.0812333,-23.8543306,big galaxy,,,99,"9,999",,,,,,,,,,,,,,
2022jkn,20.7262,,g-ZTF,ABANDON,phot ia,NO,45,156.70105,16.9176472,early green,,,99,248,ZTF,,,,Elliptical,SDSS J102648.41+165511.1,2022-04-30 5:07:49,2022-05-05,ALeRCE,,,,,
2022jmn,16.2,,g-Sloan,ABANDON,phot ia,NO,,20.7676708,-43.9146889,elliptical ,,0.022185,99,241,ASAS-SN,,,,,ESO 244- G 024,2022-05-07 10:04:48,,ASAS-SN	,,,,,
2022jmr,18.464,0.04,orange-ATLAS,FINISHED,spec ia,NO,41,315.0588917,-24.1144667,,,,99,241,ATLAS,,,,Elliptical,,2022-05-07 9:04:15,2022-06-20,ATLAS,,,,,
2022jsb,19.46,,"r-ZTF
",ABANDON,phot ia,NO,,204.672075,9.0632944,caught at moon,,,99,"9,999",,,,,,,,,,,,,,
2022joe,19.82,,,ABANDON,phot ia,NO,,217.3360833,-22.9360806,nearby big galaxy,,,99,"9,999",,,,,,,,,,,,,,
2022jpq,16.34,,,ABANDON,phot ia,NO,,209.477875,-29.3131111,16mag. spiral,,,99,"9,999",,,,,,,,,,,,,,
2022jqr,19.24,0.094,,ABANDON,spec ia,NO,,313.1799208,-7.2523278,too high z,,,99,"9,999",,,,,,,,,,,,,,
2022jpy,18.6496,,,ABANDON,phot ia,NO,,154.7396667,-13.1872389,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022jpx,17.3509,0.015,,ABANDON,phot ia,NO,,152.5416625,-11.0805556,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022jli,14.4,0.006,,ABANDON,phot ia,NO,,8.6883333,-8.3902778,,,,99,"9,999",,,,,,,,,,,,,,
2022jxa,18.78,,,ABANDON,phot ia,NO,,132.7919083,18.800375,setting,,,99,"9,999",,,,,,,,,,,,,,
2022juw,18.59,0.028,,ABANDON,II,NO,,127.6311,18.2038389,setting,,,99,"9,999",,,,,,,,,,,,,,
2022jnh,19.2147,0.04,,ABANDON,IIP,NO,,242.9028833,4.882425,,,0.04,99,"9,999",,,,,,,,,,,,,,
2022jnr,19.6477,0.035,r-ZTF,FINISHED,spec ia,NO,51,225.664475,17.2398,,,,99,240,ZTF,,,,Elliptical,,2022-05-08 7:29:17,2022-05-14,ZTF,,,,,
2022jqg,19.3451,0.0377959982,,ABANDON,spec ia,NO,,234.7707375,21.7075222,bad obs,,,99,"9,999",,,,,,,,,,,,,,
2022jru,19.3,,,ABANDON,phot ia,NO,,216.6171583,11.1747972,"close to briht star, not clearly rising",,,99,"9,999",,,,,,,,,,,,,,
2022jut,18.9971,0.034129,g-ZTF,FINISHED,spec ia,NO,57,241.4584542,17.4798278,,,,99,237,ZTF,,,,Elliptical,,2022-05-11 7:15:24,2022-05-17,Pan-STARRS	,,,,,
2022jzx,16.888,0.017,,YES,II,NO,,15.5410708,-4.23515,17thmag https://star.pst.qub.ac.uk/sne/atlas4/candidate/1010210010041405500/,,,99,"9,999",,,,,,,,,,,,,,
2022jzy,,0.006,,YES,Ic,NO,,8.690375,-8.386675,14th mag https://star.pst.qub.ac.uk/sne/atlas4/candidate/1003445540082309300/,,0.006,99,"9,999",,,,,,,,,,,,,,
2022kad,17.861,0.01991,,ABANDON,II,NO,,224.6805042,11.6308111,"early, just get color",,0.01991,99,"9,999",,,,,,,,,,,,,,
2022jzb,19.24,0.045291,r-ZTF,FINISHED,spec ia,NO,36,184.09655,-18.5541972,elliptical,,,99,234,ZTF,,,,Elliptical,,2022-05-14 5:32:38,2022-05-17,ZTF,,,,,
2022kcc,19.79,0.0633,r-ZTF,ABANDON,phot ia,NO,12,173.2481667,-5.2344111,elliptical,,,99,239,ZTF,,,,Elliptical,,2022-05-09 4:59:31,2022-05-02,ATLAS,,,,,
2022kck,19.78,0.046999,g-ZTF,FINISHED,spec ia,NO,13,188.2814292,-14.490175,just get color,,,99,232,ZTF,,,,Elliptical,,2022-05-16 5:32:38,2022-05-20,ePESSTO+	,,,,,
2022kap,19.86,0.076,,ABANDON,spec ia,NO,,173.3484,12.8099972,missed,,,99,"9,999",,,,,,,,,,,,,,
2022kft,19.3965,0.046,r-ZTF,FINISHED,spec ia,NO,30,174.369025,-10.8982722,just get color,,,99,228,ZTF,,,,Elliptical ,WISEA J113728.45-105352.3,2022-05-20 4:11:40,2022-05-23,ZTF,,,,,
2022kkg,18.5797,0.04144,r-ZTF,FINISHED,spec ia,NO,58,305.8165625,20.2161,elliptical,,,99,226,ZTF,,,,Elliptical ,WISEA J202316.49+201301.4,2022-05-22 10:21:12,2022-05-23,ePESSTO+	,,,,,
2022kkf,19.1095,,,ABANDON,phot ia,NO,,287.7956417,-24.3974194,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022kjq,19.73,0.071483,,ABANDON,phot ia,NO,,224.8946,-23.1819583,missed,,,99,"9,999",,,,,,,,,,,,,,
2022kur,18.909,0.037783,,ABANDON,phot ia,NO,,231.6550333,-37.3694389,,,,99,"9,999",,,,,,,,,,,,,,
2022kpy,18.9216,0.056195,,ABANDON,spec ia,NO,,9.1345042,19.3985028,peaked???,,,99,"9,999",,,,,,,,,,,,,,
2022kmp,19.091,0.059003,,ABANDON,spec ia,NO,,177.6020208,22.7136861,caught at moon,,,99,"9,999",,,,,,,,,,,,,,
2022kjl,18.36,0.031465,,FINISHED,spec ia,NO,59,210.5093708,-16.540525,,,,99,226,Pan-STARRS,,,,Elliptical ,,2022-05-22 8:29:34,2022-05-26,SCAT	,,,,,
2022lax,20,0.058,,FINISHED,spec ia,NO,27,216.2111917,-8.7529444,,,,99,223,ZTF,,,,Elliptical ,,2022-05-25 8:09:36,2022-05-29,Global SN Project,,,,,
2022knm,17.88,0.04,,ABANDON,spec ia,NO,,201.2681167,-24.6568889,only -1 days and north,,,99,"9,999",,,,,,,,,,,,,,
2022lex,18.776,0.08,,ABANDON,spec ia,NO,,341.5625781,-7.957060625,Missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022lco,18.85,0.07,,ABANDON,spec ia,NO,,303.6008479,-12.54597916,missed peak,,,99,"9,999",,,,,,,,,,,,,,
2022lkt,18.7984,0.077,g-ZTF,ABANDON,spec ia,NO,14,208.9466542,4.1633333,bad luck,,0.079504,99,217,ZTF,,,,Elliptical ,WISEA J135547.09+040948.3,2022-05-31 7:10:20,2022-06-07,ZTF,,,,,
2022mhe,17.994,0.02874,cyan-ATLAS,FINISHED,spec ia,NO,34,352.0268208,8.7624667,,,,99,209,ATLAS,,,,Elliptical ,,2022-06-07 13:45:15,2022-07-03,SCAT	,,,,,
2022mcs,20.57,0.070083,g-ZTF,ABANDON,phot ia,NO,,257.8404792,14.5735222,just get color,,,99,213,ZTF,,,,Elliptical ,,2022-06-04 7:36:29,,,,,,,
2022mit,17.68,0.03,w-P1,ABANDON,phot ia,NO,,314.7308333,-27.4200722,just get color,,,99,208,Pan-STARRS,,,,Elliptical ?,,2022-06-08 13:39:07,,,,,,,
2022mma,19.431,0.044,,YES,SN IIn,NO,,219.7562792,15.9866167,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022moc,18.55,0.049,orange-ATLAS,ABANDON,spec ia,NO,,356.4331792,-24.5538,missed peak,,,99,206,ATLAS,,,,Elliptical ?,,2022-06-11 8:54:16,,,,,,,
2022mop,20.45,,w-P1,ABANDON,phot ia,NO,,352.7133792,-2.942725,just get color,,,99,205,Pan-STARRS,,,,Elliptical ,,2022-06-11 13:59:06,,,,,,,
2022mvc,18.26,0.035027,orange-ATLAS,ABANDON,spec ia,NO,,232.5523542,7.7653417,bad weather,,,99,201,ATLAS,,,,Elliptical ,,2022-06-16 9:53:02,,,,,,,
2022mvb,18.428,0.02958,orange-ATLAS,FINISHED,spec ia,NO,24,240.5391042,-6.4345278,,,,99,201,ATLAS,,,,Elliptical ,,2022-06-16 10:01:00,2022-06-18,,,,,,
2022mxv,18.249,0.014,,ABANDON,II,NO,,357.7712292,20.1525861,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022mjk,18.5,0.018,,ABANDON,phot ia,NO,,21.4223375,1.7614389,nearby elliptical,,,99,"9,999",,,,,,,,,,,,,,
2022myp,17.527,0.02633,orange-ATLAS,FINISHED,spec ia,NO,40,205.4382875,-25.7934472,elliptical. -7days on Jun19,,,99,198,ATLAS,,,,Elliptical ,,2022-06-19 1:21:15,2022-07-03,,,,,,
2022nag,18.748,0.020954,g-ZTF,FINISHED,spec ia,NO,57,271.2527167,9.4799583,,,0.020954,99,200,ZTF,,,,Elliptical ,CGCG 084-015,2022-06-17 7:54:04,2022-06-20,,,,,,
2022mzz,18.712,0.052374,r-ZTF,ABANDON,spec ia,NO,,206.8317042,21.8329972,missed peak,,0.05237393,99,200,ZTF,,,,Spiral,SDSS J134719.26+215001.7,2022-06-17 5:08:54,,,,,,,
2022nah,17.81,0.021435,,ABANDON,phot ia,NO,,11.7371125,-21.8471222,just get color,,,99,"9,999",,,,,,,,,,,,,,
2022mya,18.8674,0.030431,SN Ib,ABANDON,Ib,NO,,260.2835583,16.0590528,just get color,,,99,"9,999",,,,,,,,,,,,,,
