target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022hrs_22S02,2022-12-18 08:55:20.006,2022-12-18 08:59:40.006,4.33,0h50m54.289s,+11d34m35.87s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 08:59:40.006,2022-12-18 09:04:20.006,4.67,,,['filter:V to R'],,
73P_22S01,2022-12-18 09:04:20.006,2022-12-18 09:12:40.006,8.33,22h37m25.22s,-19d02m45.7s,{'filter': 'R'},20,5
TransitionBlock,2022-12-18 09:12:40.006,2022-12-18 09:14:00.006,1.33,,,[],,
2060_22S01,2022-12-18 09:14:00.006,2022-12-18 09:17:20.006,3.33,0h39m56.89s,+6d15m39.9s,{'filter': 'R'},120,1
TransitionBlock,2022-12-18 09:17:20.006,2022-12-18 09:18:20.006,1.0,,,[],,
C2019_F1_22S01,2022-12-18 09:18:20.006,2022-12-18 10:04:20.006,46.0,1h14m48.67s,-20d55m26.3s,{'filter': 'R'},30,25
TransitionBlock,2022-12-18 10:04:20.006,2022-12-18 10:05:20.006,1.0,,,[],,
22P_22S01,2022-12-18 10:05:20.006,2022-12-18 10:47:20.006,42.0,0h51m43.02s,-0d32m03.7s,{'filter': 'R'},60,18
TransitionBlock,2022-12-18 10:47:20.006,2022-12-18 10:49:40.006,2.33,,,[],,
C2014_UN271_22S01,2022-12-18 10:49:40.006,2022-12-18 10:56:40.006,7.0,2h32m13.34s,-61d10m01.2s,{'filter': 'R'},60,3
TransitionBlock,2022-12-18 10:56:40.006,2022-12-18 11:01:40.006,5.0,,,['filter:R to V'],,
2022xkq_22S02,2022-12-18 11:01:40.006,2022-12-18 11:06:00.006,4.33,0h20m21.58133333s,-11d52m56.19s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:06:00.006,2022-12-18 11:06:20.006,0.33,,,[],,
2022ucj_22S02,2022-12-18 11:06:20.006,2022-12-18 11:10:40.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:10:40.006,2022-12-18 11:11:00.006,0.33,,,[],,
2022udc_22S02,2022-12-18 11:11:00.006,2022-12-18 11:15:20.006,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:15:20.006,2022-12-18 11:17:20.006,2.0,,,[],,
2022ydv_22S02,2022-12-18 11:17:20.006,2022-12-18 11:21:40.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:21:40.006,2022-12-18 11:23:00.006,1.33,,,[],,
2022ydu_22S02,2022-12-18 11:23:00.006,2022-12-18 11:27:20.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:27:20.006,2022-12-18 11:27:40.006,0.33,,,[],,
2022tiv_22S02,2022-12-18 11:27:40.006,2022-12-18 11:32:00.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:32:00.006,2022-12-18 11:32:40.006,0.67,,,[],,
2022xbu_22S02,2022-12-18 11:32:40.006,2022-12-18 11:37:00.006,4.33,1h25m19.71333333s,-6d26m14.96s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:37:00.006,2022-12-18 11:39:00.006,2.0,,,[],,
2021aefx_22S02,2022-12-18 11:39:00.006,2022-12-18 11:43:20.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2022-12-18 11:43:20.006,2022-12-18 11:45:20.006,2.0,,,[],,
2022abgg_22S05,2022-12-18 11:45:20.006,2022-12-18 11:51:40.006,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'V'},300,1
TransitionBlock,2022-12-18 11:51:40.006,2022-12-18 11:54:40.006,3.0,,,['filter:V to R'],,
2022abgg_22S05,2022-12-18 11:54:40.006,2022-12-18 12:01:00.006,6.33,2h23m00.889992s,-9d11m49.08984s,{'filter': 'R'},300,1
TransitionBlock,2022-12-18 12:01:00.006,2022-12-18 12:04:40.006,3.67,,,['filter:R to V'],,
2022abic_22S05,2022-12-18 12:04:40.006,2022-12-18 12:11:00.006,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'V'},300,1
TransitionBlock,2022-12-18 12:11:00.006,2022-12-18 12:14:00.006,3.0,,,['filter:V to R'],,
2022abic_22S05,2022-12-18 12:14:00.006,2022-12-18 12:20:20.006,6.33,2h59m09.286992s,-4d28m16.24008s,{'filter': 'R'},300,1
TransitionBlock,2022-12-18 12:20:20.006,2022-12-18 12:24:20.006,4.0,,,['filter:R to V'],,
2022abid_22S05,2022-12-18 12:24:20.006,2022-12-18 12:30:40.006,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'V'},300,1
TransitionBlock,2022-12-18 12:30:40.006,2022-12-18 12:33:40.006,3.0,,,['filter:V to R'],,
2022abid_22S05,2022-12-18 12:33:40.006,2022-12-18 12:40:00.006,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'R'},300,1
TransitionBlock,2022-12-18 12:40:00.006,2022-12-18 12:41:40.006,1.67,,,[],,
2022acyd_22S05,2022-12-18 12:41:40.006,2022-12-18 12:48:00.006,6.33,4h01m11.361s,+5d32m54.75012s,{'filter': 'R'},300,1
TransitionBlock,2022-12-18 12:48:00.006,2022-12-18 12:51:00.006,3.0,,,[],,
C2021_E3_22S01,2022-12-18 12:56:00.015,2022-12-18 13:46:00.015,50.0,9h09m04.78s,-43d53m26.2s,{'filter': 'R'},20,30
TransitionBlock,2022-12-18 13:46:00.015,2022-12-18 13:47:20.015,1.33,,,[],,
C2019_E3_22S01,2022-12-18 13:47:40.017,2022-12-18 14:29:40.017,42.0,7h19m40.07s,-75d55m11.6s,{'filter': 'R'},60,18
TransitionBlock,2022-12-18 14:29:40.017,2022-12-18 14:32:40.017,3.0,,,[],,
2022yjy_22S05,2022-12-18 14:32:40.017,2022-12-18 14:39:00.017,6.33,7h41m40.863s,+8d59m54.83004s,{'filter': 'R'},300,1
TransitionBlock,2022-12-18 14:39:00.017,2022-12-18 14:40:00.017,1.0,,,[],,
