target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022wwt_2022S-05,2022-11-21 08:25:20.005,2022-11-21 08:31:40.005,6.33,17h48m28.281s,-60d34m29.29008s,{'filter': 'V'},300,1
TransitionBlock,2022-11-21 08:31:40.005,2022-11-21 08:34:40.005,3.0,,,['filter:V to R'],,
2022wwt_2022S-05,2022-11-21 08:34:40.005,2022-11-21 08:41:00.005,6.33,17h48m28.281s,-60d34m29.29008s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 08:41:00.005,2022-11-21 08:44:20.005,3.33,,,[],,
2022wxo_2022S-05,2022-11-21 08:45:40.006,2022-11-21 08:52:00.006,6.33,1h56m17.67s,-7d41m58.09992s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 08:52:00.006,2022-11-21 08:53:20.006,1.33,,,[],,
A2021_X2_2022S-01,2022-11-21 08:53:40.006,2022-11-21 09:30:20.006,36.67,0h33m50.16s,-35d40m25.7s,{'filter': 'R'},120,11
TransitionBlock,2022-11-21 09:30:20.006,2022-11-21 09:31:40.006,1.33,,,[],,
2022jzx_2022S-05,2022-11-21 09:37:00.008,2022-11-21 09:43:20.008,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 09:43:20.008,2022-11-21 09:44:00.008,0.67,,,[],,
C2021_T4_2022S-01,2022-11-21 09:47:20.008,2022-11-21 10:37:20.008,50.0,1h34m31.22s,-10d46m37.3s,{'filter': 'R'},20,30
TransitionBlock,2022-11-21 10:37:20.008,2022-11-21 10:40:00.008,2.67,,,[],,
C2022_F1_2022S-01,2022-11-21 10:40:00.008,2022-11-21 11:16:40.008,36.67,19h39m58.89s,-71d16m07.9s,{'filter': 'R'},120,11
TransitionBlock,2022-11-21 11:16:40.008,2022-11-21 11:20:20.008,3.67,,,[],,
2022wsu_2022S-05,2022-11-21 11:20:20.008,2022-11-21 11:26:40.008,6.33,2h16m11.652s,+17d58m15.44016s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 11:26:40.008,2022-11-21 11:28:20.008,1.67,,,[],,
2022xhd_2022S-05,2022-11-21 11:30:20.012,2022-11-21 11:36:40.012,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 11:36:40.012,2022-11-21 11:39:40.012,3.0,,,['filter:R to V'],,
2022xhd_2022S-05,2022-11-21 11:40:00.012,2022-11-21 11:46:20.012,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'V'},300,1
TransitionBlock,2022-11-21 11:46:20.012,2022-11-21 11:49:40.012,3.33,,,['filter:V to R'],,
2022_QE78_2022S-01,2022-11-21 11:50:00.013,2022-11-21 12:32:00.013,42.0,3h33m25.82s,-21d34m00.6s,{'filter': 'R'},60,18
TransitionBlock,2022-11-21 12:32:00.013,2022-11-21 12:33:00.013,1.0,,,[],,
C2022_R6_2022S-01,2022-11-21 12:33:00.013,2022-11-21 13:09:40.013,36.67,3h24m49.61s,-43d07m39.1s,{'filter': 'R'},120,11
TransitionBlock,2022-11-21 13:09:40.013,2022-11-21 13:11:40.013,2.0,,,[],,
P2021_R1_2022S-01,2022-11-21 13:11:40.013,2022-11-21 13:43:20.013,31.67,2h18m22.2s,+6d56m23.5s,{'filter': 'R'},300,5
TransitionBlock,2022-11-21 13:43:20.013,2022-11-21 13:44:40.013,1.33,,,[],,
2022xix_2022S-05,2022-11-21 13:44:40.013,2022-11-21 13:51:00.013,6.33,4h15m07.435008s,-0d55m59.73996s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 13:51:00.013,2022-11-21 13:52:20.013,1.33,,,[],,
2022aaiw_2022S-05,2022-11-21 13:54:20.017,2022-11-21 14:00:40.017,6.33,6h10m11.170992s,-27d35m53.17008s,{'filter': 'R'},300,1
TransitionBlock,2022-11-21 14:00:40.017,2022-11-21 14:03:40.017,3.0,,,['filter:R to V'],,
2022aaiw_2022S-05,2022-11-21 14:04:00.018,2022-11-21 14:10:20.018,6.33,6h10m11.170992s,-27d35m53.17008s,{'filter': 'V'},300,1
TransitionBlock,2022-11-21 14:10:20.018,2022-11-21 14:15:40.018,5.33,,,['filter:V to R'],,
C2022_E2_2022S-01,2022-11-21 14:16:00.018,2022-11-21 15:02:00.018,46.0,10h34m26.29s,-19d32m40.2s,{'filter': 'R'},30,25
TransitionBlock,2022-11-21 15:02:00.018,2022-11-21 15:03:00.018,1.0,,,[],,
C2021_G2_2022S-01,2022-11-21 15:03:20.020,2022-11-21 15:49:20.020,46.0,9h13m18.1s,-34d35m03.6s,{'filter': 'R'},30,25
TransitionBlock,2022-11-21 15:49:20.020,2022-11-21 15:50:40.020,1.33,,,[],,
97P_2022S-01,2022-11-21 15:51:00.022,2022-11-21 16:22:40.022,31.67,9h17m08.4s,-2d08m08.8s,{'filter': 'R'},300,5
