target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_E3_22S01,2025-01-08 08:58:40.007,2025-01-08 21:58:40.007000,2025-01-08 09:00:40.007,2025-01-08 22:00:40.007000,1.999999999999993,2h07m09.2s,-61d08m16.2s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.3}",120,1
TransitionBlock,2025-01-08 09:00:40.007,2025-01-08 22:00:40.007000,2025-01-08 09:01:00.007,2025-01-08 22:01:00.007000,0.3333333333333588,,,['filter:g to r'],,
C2022_E3_22S01,2025-01-08 09:01:00.007,2025-01-08 22:01:00.007000,2025-01-08 09:03:00.007,2025-01-08 22:03:00.007000,1.999999999999993,2h07m09.2s,-61d08m16.2s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.3}",120,1
TransitionBlock,2025-01-08 09:03:00.007,2025-01-08 22:03:00.007000,2025-01-08 09:03:20.007,2025-01-08 22:03:20.007000,0.3333333333333588,,,['filter:r to i'],,
C2022_E3_22S01,2025-01-08 09:03:20.007,2025-01-08 22:03:20.007000,2025-01-08 09:05:20.007,2025-01-08 22:05:20.007000,1.999999999999993,2h07m09.2s,-61d08m16.2s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.3}",120,1
TransitionBlock,2025-01-08 09:05:20.007,2025-01-08 22:05:20.007000,2025-01-08 09:06:20.007,2025-01-08 22:06:20.007000,0.9999999999999964,,,['filter:i to g'],,
C2022_A3_22S01,2025-01-08 09:06:20.007,2025-01-08 22:06:20.007000,2025-01-08 09:08:20.007,2025-01-08 22:08:20.007000,1.999999999999993,22h59m18.71s,-61d36m26.1s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.53}",120,1
TransitionBlock,2025-01-08 09:08:20.007,2025-01-08 22:08:20.007000,2025-01-08 09:08:40.007,2025-01-08 22:08:40.007000,0.3333333333333588,,,['filter:g to r'],,
C2022_A3_22S01,2025-01-08 09:08:40.007,2025-01-08 22:08:40.007000,2025-01-08 09:10:40.007,2025-01-08 22:10:40.007000,1.999999999999993,22h59m18.71s,-61d36m26.1s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.53}",120,1
TransitionBlock,2025-01-08 09:10:40.007,2025-01-08 22:10:40.007000,2025-01-08 09:11:00.007,2025-01-08 22:11:00.007000,0.3333333333333588,,,['filter:r to i'],,
C2022_A3_22S01,2025-01-08 09:11:00.007,2025-01-08 22:11:00.007000,2025-01-08 09:13:00.007,2025-01-08 22:13:00.007000,1.999999999999993,22h59m18.71s,-61d36m26.1s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.53}",120,1
TransitionBlock,2025-01-08 09:13:00.007,2025-01-08 22:13:00.007000,2025-01-08 09:14:00.007,2025-01-08 22:14:00.007000,0.9999999999999964,,,['filter:i to g'],,
C2024_T5_22S01,2025-01-08 09:14:00.007,2025-01-08 22:14:00.007000,2025-01-08 09:36:40.007,2025-01-08 22:36:40.007000,22.66666666666664,0h57m53.04s,-48d52m24.8s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.3}",120,11
TransitionBlock,2025-01-08 09:36:40.007,2025-01-08 22:36:40.007000,2025-01-08 09:37:00.007,2025-01-08 22:37:00.007000,0.3333333333333588,,,['filter:g to r'],,
C2024_T5_22S01,2025-01-08 09:37:00.007,2025-01-08 22:37:00.007000,2025-01-08 09:59:40.007,2025-01-08 22:59:40.007000,22.66666666666664,0h57m53.04s,-48d52m24.8s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.3}",120,11
TransitionBlock,2025-01-08 09:59:40.007,2025-01-08 22:59:40.007000,2025-01-08 10:00:00.007,2025-01-08 23:00:00.007000,0.3333333333333588,,,['filter:r to i'],,
C2024_T5_22S01,2025-01-08 10:00:00.007,2025-01-08 23:00:00.007000,2025-01-08 10:22:40.007,2025-01-08 23:22:40.007000,22.66666666666664,0h57m53.04s,-48d52m24.8s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.3}",120,11
TransitionBlock,2025-01-08 10:22:40.007,2025-01-08 23:22:40.007000,2025-01-08 10:25:20.007,2025-01-08 23:25:20.007000,2.6666666666666305,,,[],,
C2021_A9_22S01,2025-01-08 10:31:40.010,2025-01-08 23:31:40.010000,2025-01-08 10:33:40.010,2025-01-08 23:33:40.010000,1.999999999999993,5h08m54.32s,+2d31m30.5s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.45}",120,1
TransitionBlock,2025-01-08 10:33:40.010,2025-01-08 23:33:40.010000,2025-01-08 10:34:00.010,2025-01-08 23:34:00.010000,0.33333333333327886,,,['filter:i to g'],,
C2021_A9_22S01,2025-01-08 10:34:20.010,2025-01-08 23:34:20.010000,2025-01-08 10:36:20.010,2025-01-08 23:36:20.010000,1.999999999999993,5h08m54.32s,+2d31m30.5s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.45}",120,1
TransitionBlock,2025-01-08 10:36:20.010,2025-01-08 23:36:20.010000,2025-01-08 10:36:40.010,2025-01-08 23:36:40.010000,0.33333333333327886,,,['filter:g to r'],,
C2021_A9_22S01,2025-01-08 10:36:40.010,2025-01-08 23:36:40.010000,2025-01-08 10:38:40.010,2025-01-08 23:38:40.010000,1.999999999999993,5h08m54.32s,+2d31m30.5s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.45}",120,1
TransitionBlock,2025-01-08 10:38:40.010,2025-01-08 23:38:40.010000,2025-01-08 10:41:40.010,2025-01-08 23:41:40.010000,2.9999999999999893,,,['filter:r to g'],,
C2019_E3_22S01,2025-01-08 10:41:40.010,2025-01-08 23:41:40.010000,2025-01-08 11:01:00.010,2025-01-09 00:01:00.010000,19.333333333333293,0h45m18.35s,-62d26m40.7s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.3}",60,18
TransitionBlock,2025-01-08 11:01:00.010,2025-01-09 00:01:00.010000,2025-01-08 11:01:20.010,2025-01-09 00:01:20.010000,0.3333333333333588,,,['filter:g to r'],,
C2019_E3_22S01,2025-01-08 11:01:20.010,2025-01-09 00:01:20.010000,2025-01-08 11:20:40.010,2025-01-09 00:20:40.010000,19.333333333333293,0h45m18.35s,-62d26m40.7s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.3}",60,18
TransitionBlock,2025-01-08 11:20:40.010,2025-01-09 00:20:40.010000,2025-01-08 11:21:00.010,2025-01-09 00:21:00.010000,0.3333333333333588,,,['filter:r to i'],,
C2019_E3_22S01,2025-01-08 11:21:00.010,2025-01-09 00:21:00.010000,2025-01-08 11:40:20.010,2025-01-09 00:40:20.010000,19.333333333333293,0h45m18.35s,-62d26m40.7s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.3}",60,18
TransitionBlock,2025-01-08 11:40:20.010,2025-01-09 00:40:20.010000,2025-01-08 11:43:40.010,2025-01-09 00:43:40.010000,3.333333333333348,,,['filter:i to g'],,
C2022_QE78_22S01,2025-01-08 11:47:40.013,2025-01-09 00:47:40.013000,2025-01-08 12:00:00.013,2025-01-09 01:00:00.013000,12.333333333333316,6h27m35.09s,+5d34m06.4s,"{'filter': 'g', 'magnitude': 15, 'rate (""/min)': 0.33}",20,30
TransitionBlock,2025-01-08 12:00:00.013,2025-01-09 01:00:00.013000,2025-01-08 12:01:40.013,2025-01-09 01:01:40.013000,1.666666666666714,,,['filter:g to i'],,
C2024_S1_22S01,2025-01-08 12:11:40.014,2025-01-09 01:11:40.014000,2025-01-08 12:26:00.014,2025-01-09 01:26:00.014000,14.333333333333389,7h08m01.44s,-37d32m08s,"{'filter': 'i', 'magnitude': 16, 'rate (""/min)': 2.44}",30,25
TransitionBlock,2025-01-08 12:26:00.014,2025-01-09 01:26:00.014000,2025-01-08 12:26:20.014,2025-01-09 01:26:20.014000,0.33333333333327886,,,['filter:i to g'],,
C2024_S1_22S01,2025-01-08 12:26:40.014,2025-01-09 01:26:40.014000,2025-01-08 12:41:00.014,2025-01-09 01:41:00.014000,14.333333333333389,7h08m01.44s,-37d32m08s,"{'filter': 'g', 'magnitude': 16, 'rate (""/min)': 2.44}",30,25
TransitionBlock,2025-01-08 12:41:00.014,2025-01-09 01:41:00.014000,2025-01-08 12:41:20.014,2025-01-09 01:41:20.014000,0.33333333333327886,,,['filter:g to r'],,
C2024_S1_22S01,2025-01-08 12:41:20.014,2025-01-09 01:41:20.014000,2025-01-08 12:55:40.014,2025-01-09 01:55:40.014000,14.333333333333389,7h08m01.44s,-37d32m08s,"{'filter': 'r', 'magnitude': 16, 'rate (""/min)': 2.44}",30,25
TransitionBlock,2025-01-08 12:55:40.014,2025-01-09 01:55:40.014000,2025-01-08 12:57:20.014,2025-01-09 01:57:20.014000,1.666666666666714,,,['filter:r to i'],,
C2022_U3_22S01,2025-01-08 13:01:00.015,2025-01-09 02:01:00.015000,2025-01-08 13:15:20.015,2025-01-09 02:15:20.015000,14.33333333333323,7h56m58.45s,+0d22m37.4s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.35}",30,25
TransitionBlock,2025-01-08 13:15:20.015,2025-01-09 02:15:20.015000,2025-01-08 13:15:40.015,2025-01-09 02:15:40.015000,0.33333333333327886,,,['filter:i to g'],,
C2022_U3_22S01,2025-01-08 13:16:00.016,2025-01-09 02:16:00.016000,2025-01-08 13:30:20.016,2025-01-09 02:30:20.016000,14.33333333333323,7h56m58.45s,+0d22m37.4s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.35}",30,25
TransitionBlock,2025-01-08 13:30:20.016,2025-01-09 02:30:20.016000,2025-01-08 13:30:40.016,2025-01-09 02:30:40.016000,0.33333333333327886,,,['filter:g to r'],,
C2022_U3_22S01,2025-01-08 13:30:40.016,2025-01-09 02:30:40.016000,2025-01-08 13:45:00.016,2025-01-09 02:45:00.016000,14.33333333333323,7h56m58.45s,+0d22m37.4s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.35}",30,25
TransitionBlock,2025-01-08 13:45:00.016,2025-01-09 02:45:00.016000,2025-01-08 13:48:00.016,2025-01-09 02:48:00.016000,3.000000000000149,,,['filter:r to i'],,
C2019_L3_22S01,2025-01-08 13:55:40.017,2025-01-09 02:55:40.017000,2025-01-08 14:15:00.017,2025-01-09 03:15:00.017000,19.33333333333337,12h39m39.31s,-56d43m28.1s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.22}",60,18
TransitionBlock,2025-01-08 14:15:00.017,2025-01-09 03:15:00.017000,2025-01-08 14:15:20.017,2025-01-09 03:15:20.017000,0.33333333333327886,,,['filter:i to r'],,
C2019_L3_22S01,2025-01-08 14:15:40.018,2025-01-09 03:15:40.018000,2025-01-08 14:35:00.018,2025-01-09 03:35:00.018000,19.33333333333337,12h39m39.31s,-56d43m28.1s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.22}",60,18
TransitionBlock,2025-01-08 14:35:00.018,2025-01-09 03:35:00.018000,2025-01-08 14:35:20.018,2025-01-09 03:35:20.018000,0.33333333333327886,,,['filter:r to g'],,
C2019_L3_22S01,2025-01-08 14:35:40.019,2025-01-09 03:35:40.019000,2025-01-08 14:55:00.019,2025-01-09 03:55:00.019000,19.33333333333337,12h39m39.31s,-56d43m28.1s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.22}",60,18
TransitionBlock,2025-01-08 14:55:00.019,2025-01-09 03:55:00.019000,2025-01-08 14:57:40.019,2025-01-09 03:57:40.019000,2.6666666666667105,,,['filter:g to i'],,
29P_22S01,2025-01-08 14:58:00.020,2025-01-09 03:58:00.020000,2025-01-08 15:12:20.020,2025-01-09 04:12:20.020000,14.333333333333389,10h09m25.67s,+8d52m40s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.16}",30,25
TransitionBlock,2025-01-08 15:12:20.020,2025-01-09 04:12:20.020000,2025-01-08 15:12:40.020,2025-01-09 04:12:40.020000,0.33333333333327886,,,['filter:i to r'],,
29P_22S01,2025-01-08 15:13:00.020,2025-01-09 04:13:00.020000,2025-01-08 15:27:20.020,2025-01-09 04:27:20.020000,14.333333333333389,10h09m25.67s,+8d52m40s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.16}",30,25
TransitionBlock,2025-01-08 15:27:20.020,2025-01-09 04:27:20.020000,2025-01-08 15:27:40.020,2025-01-09 04:27:40.020000,0.33333333333327886,,,['filter:r to g'],,
29P_22S01,2025-01-08 15:28:00.021,2025-01-09 04:28:00.021000,2025-01-08 15:42:20.021,2025-01-09 04:42:20.021000,14.333333333333389,10h09m25.67s,+8d52m40s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.16}",30,25
TransitionBlock,2025-01-08 15:42:20.021,2025-01-09 04:42:20.021000,2025-01-08 15:45:40.021,2025-01-09 04:45:40.021000,3.333333333333428,,,['filter:g to i'],,
C2022_S4_22S01,2025-01-08 15:47:20.022,2025-01-09 04:47:20.022000,2025-01-08 16:01:40.022,2025-01-09 05:01:40.022000,14.333333333333389,15h37m07.29s,-57d20m37.4s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.29}",30,25
TransitionBlock,2025-01-08 16:01:40.022,2025-01-09 05:01:40.022000,2025-01-08 16:02:00.022,2025-01-09 05:02:00.022000,0.33333333333327886,,,['filter:i to r'],,
C2022_S4_22S01,2025-01-08 16:02:20.022,2025-01-09 05:02:20.022000,2025-01-08 16:16:40.022,2025-01-09 05:16:40.022000,14.333333333333389,15h37m07.29s,-57d20m37.4s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.29}",30,25
TransitionBlock,2025-01-08 16:16:40.022,2025-01-09 05:16:40.022000,2025-01-08 16:17:00.022,2025-01-09 05:17:00.022000,0.33333333333327886,,,['filter:r to g'],,
C2022_S4_22S01,2025-01-08 16:17:20.023,2025-01-09 05:17:20.023000,2025-01-08 16:31:40.023,2025-01-09 05:31:40.023000,14.333333333333389,15h37m07.29s,-57d20m37.4s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.29}",30,25
