target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
2022jzx_22S05,2022-12-06 08:44:40.006,2022-12-06 08:51:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-06 08:51:00.006,2022-12-06 08:53:00.006,2.0,,,[],,,1
73P-JD001_22S01,2022-12-06 08:53:00.006,2022-12-06 09:00:20.006,7.33,21h35m47.53s,-24d44m39.5s,{'filter': 'R'},30,4,1
TransitionBlock,2022-12-06 09:00:20.006,2022-12-06 09:00:40.006,0.33,,,[],,,1
73P-BU_22S01,2022-12-06 09:00:40.006,2022-12-06 09:04:00.006,3.33,22h16m27.18s,-21d53m00.7s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-06 09:04:00.006,2022-12-06 09:04:20.006,0.33,,,[],,,1
73P-BV_22S01,2022-12-06 09:04:20.006,2022-12-06 09:07:40.006,3.33,22h08m03.38s,-22d38m31.6s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-06 09:07:40.006,2022-12-06 09:12:00.006,4.33,,,['filter:R to V'],,,1
2022xhd _22S02,2022-12-06 09:12:00.006,2022-12-06 09:16:20.006,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-06 09:16:20.006,2022-12-06 09:17:20.006,1.0,,,[],,,1
2022vye_22S02,2022-12-06 09:17:20.006,2022-12-06 09:21:40.006,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-06 09:21:40.006,2022-12-06 09:22:40.006,1.0,,,[],,,1
2022ucj_22S02,2022-12-06 09:22:40.006,2022-12-06 09:27:00.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-06 09:27:00.006,2022-12-06 09:27:20.006,0.33,,,[],,,1
2022udc_22S02,2022-12-06 09:27:20.006,2022-12-06 09:31:40.006,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-06 09:31:40.006,2022-12-06 09:32:00.006,0.33,,,[],,,1
2022ssk_22S02,2022-12-06 09:32:00.006,2022-12-06 09:36:20.006,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-06 09:36:20.006,2022-12-06 09:40:00.006,3.67,,,['filter:V to R'],,,1
395P_22S01,2022-12-06 09:40:00.006,2022-12-06 09:43:20.006,3.33,23h05m24.88s,-3d15m57.1s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-06 09:43:20.006,2022-12-06 09:48:40.006,5.33,,,['filter:R to V'],,,1
2022ydv_22S02,2022-12-06 09:48:40.006,2022-12-06 09:53:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 09:53:00.006,2022-12-06 09:54:20.006,1.33,,,[],,,2
2022tiv_22S02,2022-12-06 09:54:20.006,2022-12-06 09:58:40.006,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 09:58:40.006,2022-12-06 09:59:40.006,1.0,,,[],,,2
2022wbc_22S02,2022-12-06 09:59:40.006,2022-12-06 10:04:00.006,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:04:00.006,2022-12-06 10:05:00.006,1.0,,,[],,,2
2022ywf_22S02,2022-12-06 10:05:00.006,2022-12-06 10:09:20.006,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:09:20.006,2022-12-06 10:11:20.006,2.0,,,[],,,2
2021aefx_22S02,2022-12-06 10:11:20.006,2022-12-06 10:15:40.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:15:40.006,2022-12-06 10:17:40.006,2.0,,,[],,,2
2022ihz_22S02,2022-12-06 10:17:40.006,2022-12-06 10:22:00.006,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:22:00.006,2022-12-06 10:22:20.006,0.33,,,[],,,2
2022aaaw_22S02,2022-12-06 10:22:20.006,2022-12-06 10:26:40.006,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:26:40.006,2022-12-06 10:27:00.006,0.33,,,[],,,2
2022zxj_22S02,2022-12-06 10:27:00.006,2022-12-06 10:31:20.006,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:31:20.006,2022-12-06 10:32:20.006,1.0,,,[],,,2
2022ydu_22S02,2022-12-06 10:32:20.006,2022-12-06 10:36:40.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-06 10:36:40.006,2022-12-06 10:41:00.006,4.33,,,['filter:V to R'],,,2
