target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
2022zxj_22S05,2022-12-05 08:43:40.006,2022-12-05 08:50:00.006,6.33e+00,0h00m51.580008s,-2d18m02.81016s,{'filter': 'V'},300,1,1
TransitionBlock,2022-12-05 08:50:00.006,2022-12-05 08:53:00.006,3.0,,,['filter:V to R'],,,1
2022zxj_22S05,2022-12-05 08:53:00.006,2022-12-05 08:59:20.006,6.33,0h00m51.580008s,-2d18m02.81016s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-05 08:59:20.006,2022-12-05 09:03:20.006,4.0,,,['filter:R to V'],,,1
2022ywf_22S05,2022-12-05 09:03:20.006,2022-12-05 09:09:40.006,6.33,1h22m12.196008s,+0d57m23.68008s,{'filter': 'V'},300,1,1
TransitionBlock,2022-12-05 09:09:40.006,2022-12-05 09:12:40.006,3.0,,,['filter:V to R'],,,1
2022ywf_22S05,2022-12-05 09:12:40.006,2022-12-05 09:19:00.006,6.33,1h22m12.196008s,+0d57m23.68008s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-05 09:19:00.006,2022-12-05 09:23:00.006,4.0,,,['filter:R to V'],,,1
2022ucj_22S02,2022-12-05 09:23:00.006,2022-12-05 09:27:20.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-05 09:27:20.006,2022-12-05 09:27:40.006,0.33,,,[],,,1
2022udc_22S02,2022-12-05 09:27:40.006,2022-12-05 09:32:00.006,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-05 09:32:00.006,2022-12-05 09:32:20.006,0.33,,,[],,,1
2022ssk_22S02,2022-12-05 09:32:20.006,2022-12-05 09:36:40.006,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-05 09:36:40.006,2022-12-05 09:37:40.006,1.0,,,[],,,1
2022ydu_22S02,2022-12-05 09:37:40.006,2022-12-05 09:42:00.006,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-05 09:42:00.006,2022-12-05 09:45:40.006,3.67,,,['filter:V to R'],,,1
2022abid_22S05,2022-12-05 09:46:40.008,2022-12-05 09:53:00.008,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'R'},300,1,2
TransitionBlock,2022-12-05 09:53:00.008,2022-12-05 09:56:00.008,3.0,,,['filter:R to V'],,,2
2022abid_22S05,2022-12-05 09:56:00.008,2022-12-05 10:02:20.008,6.33,2h07m19.492992s,-25d26m26.36988s,{'filter': 'V'},300,1,2
TransitionBlock,2022-12-05 10:02:20.008,2022-12-05 10:06:40.008,4.33,,,['filter:V to R'],,,2
2022xoz_22S05,2022-12-05 10:10:20.009,2022-12-05 10:16:40.009,6.33,2h50m25.621008s,+5d47m37.60008s,{'filter': 'R'},300,1,2
TransitionBlock,2022-12-05 10:16:40.009,2022-12-05 10:20:40.009,4.0,,,['filter:R to V'],,,2
2022yvv_22S05,2022-12-05 10:21:00.010,2022-12-05 10:27:20.010,6.33,2h41m43.017s,-22d48m51.32988s,{'filter': 'V'},300,1,2
TransitionBlock,2022-12-05 10:27:20.010,2022-12-05 10:30:20.010,3.0,,,['filter:V to R'],,,2
2022yvv_22S05,2022-12-05 10:30:20.010,2022-12-05 10:36:40.010,6.33,2h41m43.017s,-22d48m51.32988s,{'filter': 'R'},300,1,2
TransitionBlock,2022-12-05 10:36:40.010,2022-12-05 10:40:40.010,4.0,,,['filter:R to V'],,,2
2022xoz_22S05,2022-12-05 10:40:40.010,2022-12-05 10:47:00.010,6.33,2h50m25.621008s,+5d47m37.60008s,{'filter': 'V'},300,1,2
TransitionBlock,2022-12-05 10:47:00.010,2022-12-05 10:49:20.010,2.33,,,[],,,2
2022ydv_22S02,2022-12-05 10:49:20.010,2022-12-05 10:53:40.010,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-05 10:53:40.010,2022-12-05 10:55:00.010,1.33,,,[],,,3
2022tiv_22S02,2022-12-05 10:55:00.010,2022-12-05 10:59:20.010,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-05 10:59:20.010,2022-12-05 11:00:20.010,1.0,,,[],,,3
