target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2024_S1_22S01,2025-02-27 07:57:20.004,2025-02-27 20:57:20.004000,2025-02-27 07:59:20.004,2025-02-27 20:59:20.004000,1.999999999999993,5h44m15.23s,-16d43m54.7s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.73}",120,1
TransitionBlock,2025-02-27 07:59:20.004,2025-02-27 20:59:20.004000,2025-02-27 07:59:40.004,2025-02-27 20:59:40.004000,0.3333333333333588,,,['filter:g to r'],,
C2024_S1_22S01,2025-02-27 07:59:40.004,2025-02-27 20:59:40.004000,2025-02-27 08:01:40.004,2025-02-27 21:01:40.004000,1.999999999999993,5h44m15.23s,-16d43m54.7s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.73}",120,1
TransitionBlock,2025-02-27 08:01:40.004,2025-02-27 21:01:40.004000,2025-02-27 08:02:00.004,2025-02-27 21:02:00.004000,0.33333333333327886,,,['filter:r to i'],,
C2024_S1_22S01,2025-02-27 08:02:00.004,2025-02-27 21:02:00.004000,2025-02-27 08:04:00.004,2025-02-27 21:04:00.004000,1.999999999999993,5h44m15.23s,-16d43m54.7s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.73}",120,1
TransitionBlock,2025-02-27 08:04:00.004,2025-02-27 21:04:00.004000,2025-02-27 08:05:20.004,2025-02-27 21:05:20.004000,1.3333333333332753,,,['filter:i to g'],,
P2024_R2_22S01,2025-02-27 08:05:20.004,2025-02-27 21:05:20.004000,2025-02-27 08:07:20.004,2025-02-27 21:07:20.004000,1.999999999999993,3h53m14.45s,+5d44m56.2s,"{'filter': 'g', 'magnitude': 21, 'rate (""/min)': 0.87}",120,1
TransitionBlock,2025-02-27 08:07:20.004,2025-02-27 21:07:20.004000,2025-02-27 08:07:40.004,2025-02-27 21:07:40.004000,0.33333333333327886,,,['filter:g to r'],,
P2024_R2_22S01,2025-02-27 08:07:40.004,2025-02-27 21:07:40.004000,2025-02-27 08:09:40.004,2025-02-27 21:09:40.004000,1.999999999999993,3h53m14.45s,+5d44m56.2s,"{'filter': 'r', 'magnitude': 21, 'rate (""/min)': 0.87}",120,1
TransitionBlock,2025-02-27 08:09:40.004,2025-02-27 21:09:40.004000,2025-02-27 08:10:00.004,2025-02-27 21:10:00.004000,0.33333333333327886,,,['filter:r to i'],,
P2024_R2_22S01,2025-02-27 08:10:00.004,2025-02-27 21:10:00.004000,2025-02-27 08:12:00.004,2025-02-27 21:12:00.004000,1.999999999999993,3h53m14.45s,+5d44m56.2s,"{'filter': 'i', 'magnitude': 21, 'rate (""/min)': 0.87}",120,1
TransitionBlock,2025-02-27 08:12:00.004,2025-02-27 21:12:00.004000,2025-02-27 08:12:40.004,2025-02-27 21:12:40.004000,0.6666666666667176,,,['filter:i to g'],,
C2021_A9_22S01,2025-02-27 08:12:40.004,2025-02-27 21:12:40.004000,2025-02-27 08:14:40.004,2025-02-27 21:14:40.004000,1.999999999999993,4h44m08.03s,+3d06m20.8s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.17}",120,1
TransitionBlock,2025-02-27 08:14:40.004,2025-02-27 21:14:40.004000,2025-02-27 08:15:00.004,2025-02-27 21:15:00.004000,0.33333333333327886,,,['filter:g to r'],,
C2021_A9_22S01,2025-02-27 08:15:00.004,2025-02-27 21:15:00.004000,2025-02-27 08:17:00.004,2025-02-27 21:17:00.004000,1.999999999999993,4h44m08.03s,+3d06m20.8s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.17}",120,1
TransitionBlock,2025-02-27 08:17:00.004,2025-02-27 21:17:00.004000,2025-02-27 08:17:20.004,2025-02-27 21:17:20.004000,0.33333333333327886,,,['filter:r to i'],,
C2021_A9_22S01,2025-02-27 08:17:20.004,2025-02-27 21:17:20.004000,2025-02-27 08:19:20.004,2025-02-27 21:19:20.004000,1.999999999999993,4h44m08.03s,+3d06m20.8s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.17}",120,1
TransitionBlock,2025-02-27 08:19:20.004,2025-02-27 21:19:20.004000,2025-02-27 08:21:40.004,2025-02-27 21:21:40.004000,2.3333333333333517,,,['filter:i to g'],,
C2024_T5_22S01,2025-02-27 08:21:40.004,2025-02-27 21:21:40.004000,2025-02-27 08:41:00.004,2025-02-27 21:41:00.004000,19.333333333333293,1h21m24.33s,-43d10m09.5s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-02-27 08:41:00.004,2025-02-27 21:41:00.004000,2025-02-27 08:41:20.004,2025-02-27 21:41:20.004000,0.33333333333327886,,,['filter:g to r'],,
C2024_T5_22S01,2025-02-27 08:41:20.004,2025-02-27 21:41:20.004000,2025-02-27 09:00:40.004,2025-02-27 22:00:40.004000,19.33333333333337,1h21m24.33s,-43d10m09.5s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-02-27 09:00:40.004,2025-02-27 22:00:40.004000,2025-02-27 09:01:00.004,2025-02-27 22:01:00.004000,0.3333333333333588,,,['filter:r to i'],,
C2024_T5_22S01,2025-02-27 09:01:00.004,2025-02-27 22:01:00.004000,2025-02-27 09:20:20.004,2025-02-27 22:20:20.004000,19.333333333333293,1h21m24.33s,-43d10m09.5s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-02-27 09:20:20.004,2025-02-27 22:20:20.004000,2025-02-27 09:23:40.004,2025-02-27 22:23:40.004000,3.333333333333348,,,['filter:i to g'],,
C2022_U3_22S01,2025-02-27 09:36:00.008,2025-02-27 22:36:00.008000,2025-02-27 09:55:20.008,2025-02-27 22:55:20.008000,19.333333333333293,7h36m08.78s,-1d08m18.3s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-02-27 09:55:20.008,2025-02-27 22:55:20.008000,2025-02-27 09:55:40.008,2025-02-27 22:55:40.008000,0.3333333333333588,,,['filter:g to r'],,
