target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2021_Y1_22S01,2023-02-01 08:38:40.006,2023-02-01 09:28:40.006,50.0,3h15m12.43s,-12d11m47.9s,{'filter': 'R'},20,30
TransitionBlock,2023-02-01 09:28:40.006,2023-02-01 09:30:00.006,1.33,,,[],,
C2021_S3_22S01,2023-02-01 09:30:00.006,2023-02-01 10:20:00.006,50.0,5h20m37.99s,-37d16m47s,{'filter': 'R'},20,30
TransitionBlock,2023-02-01 10:20:00.006,2023-02-01 10:21:20.006,1.33,,,[],,
C2014_UN271_22S01,2023-02-01 10:21:20.006,2023-02-01 10:28:20.006,7.0,2h27m51.57s,-59d35m31.9s,{'filter': 'R'},60,3
TransitionBlock,2023-02-01 10:28:20.006,2023-02-01 10:29:20.006,1.0,,,[],,
C2017_K2_22S01,2023-02-01 10:29:20.006,2023-02-01 11:19:20.006,50.0,22h53m40.84s,-70d16m13.5s,{'filter': 'R'},20,30
TransitionBlock,2023-02-01 11:19:20.006,2023-02-01 11:23:00.006,3.67,,,['filter:R to V'],,
2021aefx_22S02,2023-02-01 11:23:00.006,2023-02-01 11:27:20.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-02-01 11:27:20.006,2023-02-01 11:31:40.006,4.33,,,['filter:V to R'],,
C2022_R6_22S01,2023-02-01 11:31:40.006,2023-02-01 11:35:00.006,3.33,3h12m34.57s,-39d27m25.9s,{'filter': 'R'},120,1
TransitionBlock,2023-02-01 11:35:00.006,2023-02-01 11:38:00.006,3.0,,,[],,
C2021_A9_22S01,2023-02-01 11:45:00.013,2023-02-01 11:48:20.013,3.33,8h13m18.83s,+14d35m38.9s,{'filter': 'R'},120,1
TransitionBlock,2023-02-01 11:48:20.013,2023-02-01 11:50:20.013,2.0,,,[],,
C2021_G2_22S01,2023-02-01 11:50:40.013,2023-02-01 12:40:40.013,50.0,9h00m47.5s,-39d29m13.5s,{'filter': 'R'},20,30
TransitionBlock,2023-02-01 12:40:40.013,2023-02-01 12:42:00.013,1.33,,,[],,
C2022_A3_22S01,2023-02-01 12:42:20.015,2023-02-01 13:28:20.015,46.0,9h46m38.79s,-3d23m35.3s,{'filter': 'R'},30,25
TransitionBlock,2023-02-01 13:28:20.015,2023-02-01 13:29:00.015,0.67,,,[],,
C2022_E2_22S01,2023-02-01 13:29:20.016,2023-02-01 14:19:20.016,50.0,10h01m04.05s,-18d30m43.3s,{'filter': 'R'},20,30
TransitionBlock,2023-02-01 14:19:20.016,2023-02-01 14:21:40.016,2.33,,,[],,
C2019_E3_22S01,2023-02-01 14:21:40.016,2023-02-01 15:03:40.016,42.0,5h42m18.39s,-75d47m16s,{'filter': 'R'},60,18
TransitionBlock,2023-02-01 15:03:40.016,2023-02-01 15:06:40.016,3.0,,,[],,
99P_22S01,2023-02-01 15:24:00.021,2023-02-01 16:06:00.021,42.0,16h09m49.45s,-22d50m32.5s,{'filter': 'R'},60,18
TransitionBlock,2023-02-01 16:06:00.021,2023-02-01 16:08:00.021,2.0,,,[],,
C2021_P4_22S01,2023-02-01 16:08:20.022,2023-02-01 16:54:20.022,46.0,20h16m31.95s,-64d11m13.9s,{'filter': 'R'},30,25
TransitionBlock,2023-02-01 16:54:20.022,2023-02-01 16:56:40.022,2.33,,,[],,
81P_22S01,2023-02-01 16:57:00.024,2023-02-01 17:05:20.024,8.33,15h53m52.92s,-17d12m37.1s,{'filter': 'R'},20,5
