target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2024_S1_22S01,2025-03-03 07:50:20.004,2025-03-03 20:50:20.004000,2025-03-03 07:52:20.004,2025-03-03 20:52:20.004000,1.999999999999993,5h44m02.05s,-15d36m28.3s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.67}",120,1
TransitionBlock,2025-03-03 07:52:20.004,2025-03-03 20:52:20.004000,2025-03-03 07:52:40.004,2025-03-03 20:52:40.004000,0.3333333333333588,,,['filter:g to r'],,
C2024_S1_22S01,2025-03-03 07:52:40.004,2025-03-03 20:52:40.004000,2025-03-03 07:54:40.004,2025-03-03 20:54:40.004000,1.999999999999993,5h44m02.05s,-15d36m28.3s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.67}",120,1
TransitionBlock,2025-03-03 07:54:40.004,2025-03-03 20:54:40.004000,2025-03-03 07:55:00.004,2025-03-03 20:55:00.004000,0.33333333333327886,,,['filter:r to i'],,
C2024_S1_22S01,2025-03-03 07:55:00.004,2025-03-03 20:55:00.004000,2025-03-03 07:57:00.004,2025-03-03 20:57:00.004000,1.999999999999993,5h44m02.05s,-15d36m28.3s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.67}",120,1
TransitionBlock,2025-03-03 07:57:00.004,2025-03-03 20:57:00.004000,2025-03-03 07:58:20.004,2025-03-03 20:58:20.004000,1.3333333333332753,,,['filter:i to g'],,
P2024_R2_22S01,2025-03-03 07:58:20.004,2025-03-03 20:58:20.004000,2025-03-03 08:00:20.004,2025-03-03 21:00:20.004000,1.999999999999993,3h58m37.51s,+6d12m40.4s,"{'filter': 'g', 'magnitude': 21, 'rate (""/min)': 0.89}",120,1
TransitionBlock,2025-03-03 08:00:20.004,2025-03-03 21:00:20.004000,2025-03-03 08:00:40.004,2025-03-03 21:00:40.004000,0.33333333333327886,,,['filter:g to r'],,
P2024_R2_22S01,2025-03-03 08:00:40.004,2025-03-03 21:00:40.004000,2025-03-03 08:02:40.004,2025-03-03 21:02:40.004000,1.999999999999993,3h58m37.51s,+6d12m40.4s,"{'filter': 'r', 'magnitude': 21, 'rate (""/min)': 0.89}",120,1
TransitionBlock,2025-03-03 08:02:40.004,2025-03-03 21:02:40.004000,2025-03-03 08:03:00.004,2025-03-03 21:03:00.004000,0.33333333333327886,,,['filter:r to i'],,
P2024_R2_22S01,2025-03-03 08:03:00.004,2025-03-03 21:03:00.004000,2025-03-03 08:05:00.004,2025-03-03 21:05:00.004000,1.999999999999993,3h58m37.51s,+6d12m40.4s,"{'filter': 'i', 'magnitude': 21, 'rate (""/min)': 0.89}",120,1
TransitionBlock,2025-03-03 08:05:00.004,2025-03-03 21:05:00.004000,2025-03-03 08:07:20.004,2025-03-03 21:07:20.004000,2.3333333333333517,,,['filter:i to g'],,
C2024_T5_22S01,2025-03-03 08:07:20.004,2025-03-03 21:07:20.004000,2025-03-03 08:26:40.004,2025-03-03 21:26:40.004000,19.333333333333293,1h24m04.84s,-42d44m43.1s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-03-03 08:26:40.004,2025-03-03 21:26:40.004000,2025-03-03 08:27:00.004,2025-03-03 21:27:00.004000,0.33333333333327886,,,['filter:g to r'],,
C2024_T5_22S01,2025-03-03 08:27:00.004,2025-03-03 21:27:00.004000,2025-03-03 08:46:20.004,2025-03-03 21:46:20.004000,19.33333333333337,1h24m04.84s,-42d44m43.1s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
TransitionBlock,2025-03-03 08:46:20.004,2025-03-03 21:46:20.004000,2025-03-03 08:46:40.004,2025-03-03 21:46:40.004000,0.33333333333327886,,,['filter:r to i'],,
C2024_T5_22S01,2025-03-03 08:46:40.004,2025-03-03 21:46:40.004000,2025-03-03 09:06:00.004,2025-03-03 22:06:00.004000,19.33333333333337,1h24m04.84s,-42d44m43.1s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.4}",60,18
