target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
TransitionBlock,2025-03-03 09:06:00.004,2025-03-03 22:06:00.004000,2025-03-03 09:09:20.004,2025-03-03 22:09:20.004000,3.333333333333348,,,['filter:i to g'],,
C2022_U3_22S01,2025-03-03 09:19:40.007,2025-03-03 22:19:40.007000,2025-03-03 09:39:00.007,2025-03-03 22:39:00.007000,19.333333333333293,7h35m26.48s,-1d08m41.5s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.09}",60,18
TransitionBlock,2025-03-03 09:39:00.007,2025-03-03 22:39:00.007000,2025-03-03 09:39:20.007,2025-03-03 22:39:20.007000,0.3333333333333588,,,['filter:g to r'],,
C2022_U3_22S01,2025-03-03 09:39:20.007,2025-03-03 22:39:20.007000,2025-03-03 09:58:40.007,2025-03-03 22:58:40.007000,19.333333333333293,7h35m26.48s,-1d08m41.5s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.09}",60,18
TransitionBlock,2025-03-03 09:58:40.007,2025-03-03 22:58:40.007000,2025-03-03 09:59:00.007,2025-03-03 22:59:00.007000,0.3333333333333588,,,['filter:r to i'],,
C2022_U3_22S01,2025-03-03 09:59:00.007,2025-03-03 22:59:00.007000,2025-03-03 10:18:20.007,2025-03-03 23:18:20.007000,19.333333333333293,7h35m26.48s,-1d08m41.5s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.09}",60,18
TransitionBlock,2025-03-03 10:18:20.007,2025-03-03 23:18:20.007000,2025-03-03 10:19:40.007,2025-03-03 23:19:40.007000,1.3333333333333552,,,['filter:i to g'],,
C2022_L2_22S01,2025-03-03 10:19:40.007,2025-03-03 23:19:40.007000,2025-03-03 10:34:00.007,2025-03-03 23:34:00.007000,14.333333333333309,6h24m09.98s,-33d05m48.6s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.79}",30,25
TransitionBlock,2025-03-03 10:34:00.007,2025-03-03 23:34:00.007000,2025-03-03 10:34:20.007,2025-03-03 23:34:20.007000,0.3333333333333588,,,['filter:g to r'],,
C2022_L2_22S01,2025-03-03 10:34:20.007,2025-03-03 23:34:20.007000,2025-03-03 10:48:40.007,2025-03-03 23:48:40.007000,14.333333333333309,6h24m09.98s,-33d05m48.6s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.79}",30,25
TransitionBlock,2025-03-03 10:48:40.007,2025-03-03 23:48:40.007000,2025-03-03 10:49:00.007,2025-03-03 23:49:00.007000,0.3333333333333588,,,['filter:r to i'],,
C2022_L2_22S01,2025-03-03 10:49:00.007,2025-03-03 23:49:00.007000,2025-03-03 11:03:20.007,2025-03-04 00:03:20.007000,14.333333333333309,6h24m09.98s,-33d05m48.6s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.79}",30,25
TransitionBlock,2025-03-03 11:03:20.007,2025-03-04 00:03:20.007000,2025-03-03 11:05:40.007,2025-03-04 00:05:40.007000,2.3333333333333517,,,[],,
29P_22S01,2025-03-03 11:18:40.012,2025-03-04 00:18:40.012000,2025-03-03 11:33:00.012,2025-03-04 00:33:00.012000,14.333333333333309,9h47m20.67s,+10d06m48.4s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-03-03 11:33:00.012,2025-03-04 00:33:00.012000,2025-03-03 11:33:20.012,2025-03-04 00:33:20.012000,0.3333333333333588,,,['filter:i to g'],,
29P_22S01,2025-03-03 11:33:40.012,2025-03-04 00:33:40.012000,2025-03-03 11:48:00.012,2025-03-04 00:48:00.012000,14.333333333333309,9h47m20.67s,+10d06m48.4s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-03-03 11:48:00.012,2025-03-04 00:48:00.012000,2025-03-03 11:48:20.012,2025-03-04 00:48:20.012000,0.3333333333333588,,,['filter:g to r'],,
29P_22S01,2025-03-03 11:48:20.012,2025-03-04 00:48:20.012000,2025-03-03 12:02:40.012,2025-03-04 01:02:40.012000,14.333333333333469,9h47m20.67s,+10d06m48.4s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.27}",30,25
TransitionBlock,2025-03-03 12:02:40.012,2025-03-04 01:02:40.012000,2025-03-03 12:04:40.012,2025-03-04 01:04:40.012000,1.999999999999993,,,['filter:r to g'],,
C2024_A1_22S01,2025-03-03 12:04:40.012,2025-03-04 01:04:40.012000,2025-03-03 12:19:00.012,2025-03-04 01:19:00.012000,14.333333333333389,6h35m26.29s,-5d48m29.9s,"{'filter': 'g', 'magnitude': 16, 'rate (""/min)': 0.87}",30,25
TransitionBlock,2025-03-03 12:19:00.012,2025-03-04 01:19:00.012000,2025-03-03 12:19:20.012,2025-03-04 01:19:20.012000,0.33333333333327886,,,['filter:g to r'],,
C2024_A1_22S01,2025-03-03 12:19:20.012,2025-03-04 01:19:20.012000,2025-03-03 12:33:40.012,2025-03-04 01:33:40.012000,14.333333333333389,6h35m26.29s,-5d48m29.9s,"{'filter': 'r', 'magnitude': 16, 'rate (""/min)': 0.87}",30,25
TransitionBlock,2025-03-03 12:33:40.012,2025-03-04 01:33:40.012000,2025-03-03 12:34:20.012,2025-03-04 01:34:20.012000,0.6666666666667176,,,['filter:r to g'],,
C2022_R6_22S01,2025-03-03 12:34:20.012,2025-03-04 01:34:20.012000,2025-03-03 12:48:40.012,2025-03-04 01:48:40.012000,14.333333333333389,6h39m47.28s,-23d44m19.7s,"{'filter': 'g', 'magnitude': 16, 'rate (""/min)': 0.37}",30,25
TransitionBlock,2025-03-03 12:48:40.012,2025-03-04 01:48:40.012000,2025-03-03 12:51:00.012,2025-03-04 01:51:00.012000,2.3333333333332718,,,['filter:g to i'],,
C2019_L3_22S01,2025-03-03 13:00:20.015,2025-03-04 02:00:20.015000,2025-03-03 13:19:40.015,2025-03-04 02:19:40.015000,19.33333333333337,12h26m59.99s,-60d07m54.7s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.17}",60,18
TransitionBlock,2025-03-03 13:19:40.015,2025-03-04 02:19:40.015000,2025-03-03 13:22:20.015,2025-03-04 02:22:20.015000,2.6666666666667105,,,[],,
2024_OC2_22S01,2025-03-03 13:22:40.016,2025-03-04 02:22:40.016000,2025-03-03 13:24:40.016,2025-03-04 02:24:40.016000,1.999999999999993,11h33m09.42s,+10d34m40.2s,"{'filter': 'i', 'magnitude': 20, 'rate (""/min)': 1.17}",120,1
TransitionBlock,2025-03-03 13:24:40.016,2025-03-04 02:24:40.016000,2025-03-03 13:25:00.016,2025-03-04 02:25:00.016000,0.33333333333327886,,,['filter:i to g'],,
2024_OC2_22S01,2025-03-03 13:25:20.016,2025-03-04 02:25:20.016000,2025-03-03 13:27:20.016,2025-03-04 02:27:20.016000,1.999999999999993,11h33m09.42s,+10d34m40.2s,"{'filter': 'g', 'magnitude': 20, 'rate (""/min)': 1.17}",120,1
TransitionBlock,2025-03-03 13:27:20.016,2025-03-04 02:27:20.016000,2025-03-03 13:27:40.016,2025-03-04 02:27:40.016000,0.33333333333327886,,,['filter:g to r'],,
2024_OC2_22S01,2025-03-03 13:27:40.016,2025-03-04 02:27:40.016000,2025-03-03 13:29:40.016,2025-03-04 02:29:40.016000,1.999999999999993,11h33m09.42s,+10d34m40.2s,"{'filter': 'r', 'magnitude': 20, 'rate (""/min)': 1.17}",120,1
TransitionBlock,2025-03-03 13:29:40.016,2025-03-04 02:29:40.016000,2025-03-03 13:32:20.016,2025-03-04 02:32:20.016000,2.6666666666667105,,,[],,
C2019_L3_22S01,2025-03-03 13:38:20.017,2025-03-04 02:38:20.017000,2025-03-03 13:57:40.017,2025-03-04 02:57:40.017000,19.33333333333337,12h26m59.99s,-60d07m54.7s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.17}",60,18
TransitionBlock,2025-03-03 13:57:40.017,2025-03-04 02:57:40.017000,2025-03-03 13:58:00.017,2025-03-04 02:58:00.017000,0.33333333333327886,,,['filter:r to g'],,
C2019_L3_22S01,2025-03-03 13:58:20.018,2025-03-04 02:58:20.018000,2025-03-03 14:17:40.018,2025-03-04 03:17:40.018000,19.33333333333337,12h26m59.99s,-60d07m54.7s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.17}",60,18
TransitionBlock,2025-03-03 14:17:40.018,2025-03-04 03:17:40.018000,2025-03-03 14:18:40.018,2025-03-04 03:18:40.018000,0.9999999999999964,,,['filter:g to i'],,
C2022_S4_22S01,2025-03-03 14:19:00.018,2025-03-04 03:19:00.018000,2025-03-03 14:33:20.018,2025-03-04 03:33:20.018000,14.33333333333323,15h39m02.18s,-56d23m21.2s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.33}",30,25
TransitionBlock,2025-03-03 14:33:20.018,2025-03-04 03:33:20.018000,2025-03-03 14:33:40.018,2025-03-04 03:33:40.018000,0.33333333333327886,,,['filter:i to r'],,
C2022_S4_22S01,2025-03-03 14:34:00.019,2025-03-04 03:34:00.019000,2025-03-03 14:48:20.019,2025-03-04 03:48:20.019000,14.33333333333323,15h39m02.18s,-56d23m21.2s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.33}",30,25
TransitionBlock,2025-03-03 14:48:20.019,2025-03-04 03:48:20.019000,2025-03-03 14:48:40.019,2025-03-04 03:48:40.019000,0.33333333333327886,,,['filter:r to g'],,
C2022_S4_22S01,2025-03-03 14:49:00.019,2025-03-04 03:49:00.019000,2025-03-03 15:03:20.019,2025-03-04 04:03:20.019000,14.333333333333389,15h39m02.18s,-56d23m21.2s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.33}",30,25
TransitionBlock,2025-03-03 15:03:20.019,2025-03-04 04:03:20.019000,2025-03-03 15:04:00.019,2025-03-04 04:04:00.019000,0.6666666666667176,,,['filter:g to i'],,
12P_22S01,2025-03-03 15:04:20.020,2025-03-04 04:04:20.020000,2025-03-03 15:23:40.020,2025-03-04 04:23:40.020000,19.33333333333337,17h16m53.81s,-50d17m53.8s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.12}",60,18
TransitionBlock,2025-03-03 15:23:40.020,2025-03-04 04:23:40.020000,2025-03-03 15:24:00.020,2025-03-04 04:24:00.020000,0.33333333333327886,,,['filter:i to r'],,
12P_22S01,2025-03-03 15:24:20.021,2025-03-04 04:24:20.021000,2025-03-03 15:43:40.021,2025-03-04 04:43:40.021000,19.33333333333337,17h16m53.81s,-50d17m53.8s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.12}",60,18
TransitionBlock,2025-03-03 15:43:40.021,2025-03-04 04:43:40.021000,2025-03-03 15:44:00.021,2025-03-04 04:44:00.021000,0.33333333333327886,,,['filter:r to g'],,
12P_22S01,2025-03-03 15:44:20.021,2025-03-04 04:44:20.021000,2025-03-03 16:03:40.021,2025-03-04 05:03:40.021000,19.33333333333337,17h16m53.81s,-50d17m53.8s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.12}",60,18
TransitionBlock,2025-03-03 16:03:40.021,2025-03-04 05:03:40.021000,2025-03-03 16:04:40.021,2025-03-04 05:04:40.021000,0.9999999999999964,,,['filter:g to i'],,
C2024_G6_22S01,2025-03-03 16:05:00.022,2025-03-04 05:05:00.022000,2025-03-03 16:24:20.022,2025-03-04 05:24:20.022000,19.33333333333337,17h23m55.72s,-27d55m57.5s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-03-03 16:24:20.022,2025-03-04 05:24:20.022000,2025-03-03 16:24:40.022,2025-03-04 05:24:40.022000,0.33333333333327886,,,['filter:i to r'],,
C2024_G6_22S01,2025-03-03 16:25:00.023,2025-03-04 05:25:00.023000,2025-03-03 16:44:20.023,2025-03-04 05:44:20.023000,19.33333333333337,17h23m55.72s,-27d55m57.5s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-03-03 16:44:20.023,2025-03-04 05:44:20.023000,2025-03-03 16:44:40.023,2025-03-04 05:44:40.023000,0.33333333333327886,,,['filter:r to g'],,
C2024_G6_22S01,2025-03-03 16:45:00.024,2025-03-04 05:45:00.024000,2025-03-03 17:04:20.024,2025-03-04 06:04:20.024000,19.33333333333337,17h23m55.72s,-27d55m57.5s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.13}",60,18
TransitionBlock,2025-03-03 17:04:20.024,2025-03-04 06:04:20.024000,2025-03-03 17:05:40.024,2025-03-04 06:05:40.024000,1.3333333333332753,,,['filter:g to i'],,
C2024_J3_22S01,2025-03-03 17:06:00.024,2025-03-04 06:06:00.024000,2025-03-03 17:20:20.024,2025-03-04 06:20:20.024000,14.333333333333389,19h36m21.65s,-26d02m38.7s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
TransitionBlock,2025-03-03 17:20:20.024,2025-03-04 06:20:20.024000,2025-03-03 17:20:40.024,2025-03-04 06:20:40.024000,0.33333333333327886,,,['filter:i to r'],,
C2024_J3_22S01,2025-03-03 17:21:00.025,2025-03-04 06:21:00.025000,2025-03-03 17:35:20.025,2025-03-04 06:35:20.025000,14.333333333333389,19h36m21.65s,-26d02m38.7s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
TransitionBlock,2025-03-03 17:35:20.025,2025-03-04 06:35:20.025000,2025-03-03 17:35:40.025,2025-03-04 06:35:40.025000,0.33333333333327886,,,['filter:r to g'],,
C2024_J3_22S01,2025-03-03 17:36:00.026,2025-03-04 06:36:00.026000,2025-03-03 17:50:20.026,2025-03-04 06:50:20.026000,14.333333333333389,19h36m21.65s,-26d02m38.7s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.3}",30,25
