target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_E3_22S01,2023-02-21 08:08:40.005,2023-02-21 08:58:40.005,50.0,4h38m31.94s,+7d18m49.5s,{'filter': 'R'},20,30
TransitionBlock,2023-02-21 08:58:40.005,2023-02-21 08:59:40.005,1.0,,,[],,
C2021_Y1_22S01,2023-02-21 08:59:40.005,2023-02-21 09:49:40.005,50.0,3h20m10.19s,-15d27m24.6s,{'filter': 'R'},20,30
TransitionBlock,2023-02-21 09:49:40.005,2023-02-21 09:51:00.005,1.33,,,[],,
C2021_S3_22S01,2023-02-21 09:51:00.005,2023-02-21 09:59:20.005,8.33,5h13m49.79s,-35d05m49.6s,{'filter': 'R'},20,5
TransitionBlock,2023-02-21 09:59:20.005,2023-02-21 10:00:40.005,1.33,,,[],,
C2014_UN271_22S01,2023-02-21 10:00:40.005,2023-02-21 10:07:40.005,7.0,2h30m32.79s,-58d47m12.5s,{'filter': 'R'},60,3
TransitionBlock,2023-02-21 10:07:40.005,2023-02-21 10:10:00.005,2.33,,,[],,
C2021_G2_22S01,2023-02-21 10:13:40.009,2023-02-21 11:03:40.009,50.0,8h52m25.17s,-38d54m08.9s,{'filter': 'R'},20,30
TransitionBlock,2023-02-21 11:03:40.009,2023-02-21 11:05:00.009,1.33,,,[],,
C2022_A3_22S01,2023-02-21 11:05:20.011,2023-02-21 11:51:20.011,46.0,9h18m55.14s,-5d19m57s,{'filter': 'R'},30,25
TransitionBlock,2023-02-21 11:51:20.011,2023-02-21 11:52:00.011,0.67,,,[],,
C2022_E2_22S01,2023-02-21 11:52:20.013,2023-02-21 12:42:20.013,50.0,9h42m39.28s,-16d17m08.3s,{'filter': 'R'},20,30
TransitionBlock,2023-02-21 12:42:20.013,2023-02-21 12:44:40.013,2.33,,,[],,
C2019_E3_22S01,2023-02-21 12:44:40.013,2023-02-21 13:26:40.013,42.0,5h14m18.84s,-74d14m49.3s,{'filter': 'R'},60,18
TransitionBlock,2023-02-21 13:26:40.013,2023-02-21 13:28:20.013,1.67,,,[],,
C2019_L3_22S01,2023-02-21 13:28:20.013,2023-02-21 14:18:20.013,50.0,9h22m35.26s,-35d14m36.8s,{'filter': 'R'},20,30
TransitionBlock,2023-02-21 14:18:20.013,2023-02-21 14:20:40.013,2.33,,,[],,
C2021_C5_22S01,2023-02-21 14:33:00.019,2023-02-21 15:19:00.019,46.0,17h19m59.81s,-71d36m35s,{'filter': 'R'},30,25
TransitionBlock,2023-02-21 15:19:00.019,2023-02-21 15:22:00.019,3.0,,,[],,
A2019_U5_22S01,2023-02-21 15:22:20.021,2023-02-21 16:04:20.021,42.0,13h09m01.43s,+0d03m58.1s,{'filter': 'R'},60,18
TransitionBlock,2023-02-21 16:04:20.021,2023-02-21 16:08:00.021,3.67,,,[],,
C2021_P4_22S01,2023-02-21 16:32:20.023,2023-02-21 17:18:20.023,46.0,21h17m52.46s,-62d50m25.9s,{'filter': 'R'},30,25
TransitionBlock,2023-02-21 17:18:20.023,2023-02-21 17:20:40.023,2.33,,,[],,
81P_22S01,2023-02-21 17:21:00.025,2023-02-21 17:29:20.025,8.33,16h39m28.97s,-18d37m03.4s,{'filter': 'R'},20,5
TransitionBlock,2023-02-21 17:29:20.025,2023-02-21 17:32:00.025,2.67,,,[],,
C2022_F1_22S01,2023-02-21 17:32:20.025,2023-02-21 17:35:40.025,3.33,22h11m16.35s,-58d20m41.1s,{'filter': 'R'},120,1
