target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
A2021_X2_2022S-01,2022-11-18 08:27:20.005,2022-11-18 09:04:00.005,36.67,0h38m16.36s,-35d27m32.1s,{'filter': 'R'},120,11
TransitionBlock,2022-11-18 09:04:00.005,2022-11-18 09:05:20.005,1.33,,,[],,
382P_2022S-01,2022-11-18 09:05:40.007,2022-11-18 09:42:20.007,36.67,0h34m06.78s,-0d37m01.6s,{'filter': 'R'},120,11
TransitionBlock,2022-11-18 09:42:20.007,2022-11-18 09:42:40.007,0.33,,,[],,
2022jzx_2022S-05,2022-11-18 09:48:40.008,2022-11-18 09:55:00.008,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-18 09:55:00.008,2022-11-18 09:56:00.008,1.0,,,[],,
2022wsu_2022S-05,2022-11-18 09:56:20.009,2022-11-18 10:02:40.009,6.33,2h16m11.652s,+17d58m15.44016s,{'filter': 'R'},300,1
TransitionBlock,2022-11-18 10:02:40.009,2022-11-18 10:03:40.009,1.0,,,[],,
C2021_T4_2022S-01,2022-11-18 10:04:00.009,2022-11-18 10:54:00.009,50.0,1h39m15.41s,-10d23m00.4s,{'filter': 'R'},20,30
TransitionBlock,2022-11-18 10:54:00.009,2022-11-18 10:57:00.009,3.0,,,[],,
C2022_F1_2022S-01,2022-11-18 10:57:00.009,2022-11-18 11:33:40.009,36.67,19h34m51.35s,-71d39m12.7s,{'filter': 'R'},120,11
TransitionBlock,2022-11-18 11:33:40.009,2022-11-18 11:39:40.009,6.0,,,['filter:R to V'],,
2022zxj_2022S-05,2022-11-18 11:39:40.009,2022-11-18 11:46:00.009,6.33,0h00m51.580008s,-2d18m02.81016s,{'filter': 'V'},300,1
TransitionBlock,2022-11-18 11:46:00.009,2022-11-18 11:48:00.009,2.0,,,[],,
2022xhd_2022S-05,2022-11-18 11:52:20.013,2022-11-18 11:58:40.013,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'V'},300,1
TransitionBlock,2022-11-18 11:58:40.013,2022-11-18 12:02:00.013,3.33,,,['filter:V to R'],,
2022_QE78_2022S-01,2022-11-18 12:02:20.013,2022-11-18 12:44:20.013,42.0,3h34m16.23s,-21d33m39.6s,{'filter': 'R'},60,18
TransitionBlock,2022-11-18 12:44:20.013,2022-11-18 12:45:20.013,1.0,,,[],,
C2022_R6_2022S-01,2022-11-18 12:45:20.013,2022-11-18 13:22:00.013,36.67,3h25m43.91s,-43d06m30.3s,{'filter': 'R'},120,11
TransitionBlock,2022-11-18 13:22:00.013,2022-11-18 13:24:00.013,2.0,,,[],,
P2021_R1_2022S-01,2022-11-18 13:24:00.013,2022-11-18 13:55:40.013,31.67,2h19m19.01s,+7d00m12s,{'filter': 'R'},300,5
TransitionBlock,2022-11-18 13:55:40.013,2022-11-18 13:57:00.013,1.33,,,[],,
2022xhd_2022S-05,2022-11-18 13:57:00.013,2022-11-18 14:03:20.013,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'R'},300,1
TransitionBlock,2022-11-18 14:03:20.013,2022-11-18 14:04:00.013,0.67,,,[],,
2022xix_2022S-05,2022-11-18 14:04:00.013,2022-11-18 14:10:20.013,6.33,4h15m07.435008s,-0d55m59.73996s,{'filter': 'R'},300,1
TransitionBlock,2022-11-18 14:10:20.013,2022-11-18 14:12:00.013,1.67,,,[],,
C2021_S3_2022S-01,2022-11-18 14:14:20.018,2022-11-18 15:04:20.018,50.0,6h13m30.7s,-34d57m17.1s,{'filter': 'R'},20,30
TransitionBlock,2022-11-18 15:04:20.018,2022-11-18 15:05:40.018,1.33,,,[],,
C2021_G2_2022S-01,2022-11-18 15:06:00.020,2022-11-18 15:52:00.020,46.0,9h12m49.21s,-34d18m14.5s,{'filter': 'R'},30,25
TransitionBlock,2022-11-18 15:52:00.020,2022-11-18 15:53:20.020,1.33,,,[],,
97P_2022S-01,2022-11-18 15:53:40.022,2022-11-18 16:25:20.022,31.67,9h16m02.98s,-1d55m05.2s,{'filter': 'R'},300,5
