target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2022_F1_2022S-01,2022-11-23 08:28:00.005,2022-11-23 08:38:00.005,10.0,19h44m58.26s,-70d53m28.4s,{'filter': 'R'},120,3
TransitionBlock,2022-11-23 08:38:00.005,2022-11-23 08:40:40.005,2.67,,,[],,
395P_2022S-01,2022-11-23 08:40:40.005,2022-11-23 08:50:40.005,10.0,23h00m22.72s,-3d35m18.9s,{'filter': 'R'},120,3
TransitionBlock,2022-11-23 08:50:40.005,2022-11-23 08:52:00.005,1.33,,,[],,
A2021_X2_2022S-01,2022-11-23 08:56:40.006,2022-11-23 09:03:00.006,6.33,0h29m43.09s,-35d50m44.6s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 09:03:00.006,2022-11-23 09:04:20.006,1.33,,,[],,
445P_2022S-01,2022-11-23 09:04:20.006,2022-11-23 09:10:40.006,6.33,23h18m48.62s,-5d45m07.2s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 09:10:40.006,2022-11-23 09:11:20.006,0.67,,,[],,
382P_2022S-01,2022-11-23 09:11:20.006,2022-11-23 09:21:20.006,10.0,0h33m34.93s,-0d42m14.2s,{'filter': 'R'},120,3
TransitionBlock,2022-11-23 09:21:20.006,2022-11-23 09:21:40.006,0.33,,,[],,
2022jzy_2022S-05,2022-11-23 09:21:40.006,2022-11-23 09:28:00.006,6.33,0h34m45.69s,-8d23m12.03s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 09:28:00.006,2022-11-23 09:28:20.006,0.33,,,[],,
2022jzx_2022S-05,2022-11-23 09:29:00.008,2022-11-23 09:35:20.008,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 09:35:20.008,2022-11-23 09:37:20.008,2.0,,,[],,
73P-BU_2022S-01,2022-11-23 09:37:20.008,2022-11-23 11:01:20.008,84.0,21h35m46.99s,-26d29m27.4s,{'filter': 'R'},60,36
TransitionBlock,2022-11-23 11:01:20.008,2022-11-23 11:03:20.008,2.0,,,[],,
C2021_T4_2022S-01,2022-11-23 11:03:20.008,2022-11-23 11:20:00.008,16.67,1h29m56.2s,-11d08m31.6s,{'filter': 'R'},20,10
TransitionBlock,2022-11-23 11:20:00.008,2022-11-23 11:21:00.008,1.0,,,[],,
2060_2022S-01,2022-11-23 11:21:00.008,2022-11-23 11:31:00.008,10.0,0h41m17.29s,+6d28m20s,{'filter': 'R'},120,3
TransitionBlock,2022-11-23 11:31:00.008,2022-11-23 11:33:00.008,2.0,,,[],,
C2020_T2_2022S-01,2022-11-23 11:33:00.008,2022-11-23 11:39:20.008,6.33,22h36m54.12s,-38d02m18.9s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 11:39:20.008,2022-11-23 11:41:20.008,2.0,,,[],,
C2022_R6_2022S-01,2022-11-23 11:44:00.013,2022-11-23 11:54:00.013,10.0,3h23m56.3s,-43d08m06.5s,{'filter': 'R'},120,3
TransitionBlock,2022-11-23 11:54:00.013,2022-11-23 11:55:00.013,1.0,,,[],,
2022_QE78_2022S-01,2022-11-23 11:55:20.013,2022-11-23 12:09:20.013,14.0,3h32m36.18s,-21d33m49.6s,{'filter': 'R'},60,6
TransitionBlock,2022-11-23 12:09:20.013,2022-11-23 12:10:40.013,1.33,,,[],,
C2019_F1_2022S-01,2022-11-23 12:10:40.013,2022-11-23 12:25:20.013,14.67,1h22m00.68s,-23d53m40.1s,{'filter': 'R'},30,8
TransitionBlock,2022-11-23 12:25:20.013,2022-11-23 12:30:20.013,5.0,,,['filter:R to V'],,
2022aanf_2022S-05,2022-11-23 12:35:40.015,2022-11-23 12:42:00.015,6.33,4h09m09.625008s,+17d06m59.05008s,{'filter': 'V'},300,1
TransitionBlock,2022-11-23 12:42:00.015,2022-11-23 12:45:00.015,3.0,,,['filter:V to R'],,
2022aanf_2022S-05,2022-11-23 12:45:00.015,2022-11-23 12:51:20.015,6.33,4h09m09.625008s,+17d06m59.05008s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 12:51:20.015,2022-11-23 12:52:00.015,0.67,,,[],,
7P_2022S-01,2022-11-23 12:52:00.015,2022-11-23 12:58:20.015,6.33,3h47m50.18s,+1d43m41.1s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 12:58:20.015,2022-11-23 12:59:20.015,1.0,,,[],,
P2021_R1_2022S-01,2022-11-23 12:59:20.015,2022-11-23 13:05:40.015,6.33,2h17m28.75s,+6d53m00.3s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 13:05:40.015,2022-11-23 13:10:00.015,4.33,,,['filter:R to V'],,
2022xhd_2022S-05,2022-11-23 13:10:00.015,2022-11-23 13:16:20.015,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'V'},300,1
TransitionBlock,2022-11-23 13:16:20.015,2022-11-23 13:19:20.015,3.0,,,['filter:V to R'],,
2022xhd_2022S-05,2022-11-23 13:19:20.015,2022-11-23 13:25:40.015,6.33,3h39m32.199s,-17d39m51.78996s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 13:25:40.015,2022-11-23 13:29:20.015,3.67,,,['filter:R to V'],,
2022xix_2022S-05,2022-11-23 13:29:20.015,2022-11-23 13:35:40.015,6.33,4h15m07.435008s,-0d55m59.73996s,{'filter': 'V'},300,1
TransitionBlock,2022-11-23 13:35:40.015,2022-11-23 13:38:40.015,3.0,,,['filter:V to R'],,
2022xix_2022S-05,2022-11-23 13:38:40.015,2022-11-23 13:45:00.015,6.33,4h15m07.435008s,-0d55m59.73996s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 13:45:00.015,2022-11-23 13:46:20.015,1.33,,,[],,
2022wxo_2022S-05,2022-11-23 13:46:20.015,2022-11-23 13:52:40.015,6.33,1h56m17.67s,-7d41m58.09992s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 13:52:40.015,2022-11-23 13:56:20.015,3.67,,,[],,
C2021_E3_2022S-01,2022-11-23 13:57:00.017,2022-11-23 14:13:40.017,16.67,9h50m23.87s,-43d13m15.7s,{'filter': 'R'},20,10
TransitionBlock,2022-11-23 14:13:40.017,2022-11-23 14:15:20.017,1.67,,,[],,
C2021_S3_2022S-01,2022-11-23 14:15:40.018,2022-11-23 14:32:20.018,16.67,6h10m58.86s,-35d37m25.6s,{'filter': 'R'},20,10
TransitionBlock,2022-11-23 14:32:20.018,2022-11-23 14:35:40.018,3.33,,,['filter:R to V'],,
2022aaiw_2022S-05,2022-11-23 14:36:00.019,2022-11-23 14:42:20.019,6.33,6h10m11.170992s,-27d35m53.17008s,{'filter': 'V'},300,1
TransitionBlock,2022-11-23 14:42:20.019,2022-11-23 14:45:20.019,3.0,,,['filter:V to R'],,
2022aaiw_2022S-05,2022-11-23 14:45:20.019,2022-11-23 14:51:40.019,6.33,6h10m11.170992s,-27d35m53.17008s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 14:51:40.019,2022-11-23 14:53:40.019,2.0,,,[],,
2022aajn_2022S-05,2022-11-23 14:58:00.020,2022-11-23 15:04:20.020,6.33,7h08m15.559008s,+21d04m21.42984s,{'filter': 'R'},300,1
TransitionBlock,2022-11-23 15:04:20.020,2022-11-23 15:06:40.020,2.33,,,[],,
C2019_L3_2022S-01,2022-11-23 15:07:00.020,2022-11-23 15:23:40.020,16.67,9h59m11.13s,-23d02m35.7s,{'filter': 'R'},20,10
TransitionBlock,2022-11-23 15:23:40.020,2022-11-23 15:25:40.020,2.0,,,[],,
C2019_E3_2022S-01,2022-11-23 15:26:00.021,2022-11-23 15:40:00.021,14.0,7h57m54s,-73d52m34.4s,{'filter': 'R'},60,6
TransitionBlock,2022-11-23 15:40:00.021,2022-11-23 15:42:00.021,2.0,,,[],,
C2022_E2_2022S-01,2022-11-23 15:42:20.021,2022-11-23 15:57:00.021,14.67,10h34m19.84s,-19d36m58.5s,{'filter': 'R'},30,8
TransitionBlock,2022-11-23 15:57:00.021,2022-11-23 15:58:00.021,1.0,,,[],,
C2021_G2_2022S-01,2022-11-23 15:58:20.022,2022-11-23 16:13:00.022,14.67,9h13m43.01s,-34d51m30.1s,{'filter': 'R'},30,8
TransitionBlock,2022-11-23 16:13:00.022,2022-11-23 16:14:20.022,1.33,,,[],,
97P_2022S-01,2022-11-23 16:14:40.023,2022-11-23 16:21:00.023,6.33,9h18m06.07s,-2d20m30.9s,{'filter': 'R'},300,1
