target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-02-03 08:36:00.006,2023-02-03 09:18:00.006,42.0,1h20m19.14s,-14d17m03.9s,{'filter': 'R'},60,18
TransitionBlock,2023-02-03 09:18:00.006,2023-02-03 09:20:40.006,2.67,,,[],,
C2019_E3_22S01,2023-02-03 09:20:40.006,2023-02-03 10:02:40.006,42.0,5h38m51.17s,-75d39m38.6s,{'filter': 'R'},60,18
TransitionBlock,2023-02-03 10:02:40.006,2023-02-03 10:03:40.006,1.0,,,[],,
C2017_K2_22S01,2023-02-03 10:03:40.006,2023-02-03 10:53:40.006,50.0,23h12m23.13s,-69d52m31.3s,{'filter': 'R'},20,30
TransitionBlock,2023-02-03 10:53:40.006,2023-02-03 10:57:20.006,3.67,,,['filter:R to V'],,
2022ydv_22S02,2023-02-03 10:57:20.006,2023-02-03 11:01:40.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-02-03 11:01:40.006,2023-02-03 11:02:00.006,0.33,,,[],,
2021aefx_22S02,2023-02-03 11:02:00.006,2023-02-03 11:06:20.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-02-03 11:06:20.006,2023-02-03 11:13:00.006,6.67,,,['filter:V to R'],,
C2022_E2_22S01,2023-02-03 11:14:20.012,2023-02-03 12:04:20.012,50.0,9h59m18s,-18d19m59.5s,{'filter': 'R'},20,30
TransitionBlock,2023-02-03 12:04:20.012,2023-02-03 12:05:20.012,1.0,,,[],,
C2021_G2_22S01,2023-02-03 12:05:40.013,2023-02-03 12:55:40.013,50.0,8h59m55.91s,-39d28m24.2s,{'filter': 'R'},20,30
TransitionBlock,2023-02-03 12:55:40.013,2023-02-03 12:56:00.013,0.33,,,[],,
C2019_L3_22S01,2023-02-03 12:56:20.015,2023-02-03 13:46:20.015,50.0,9h35m46.77s,-34d37m40.2s,{'filter': 'R'},20,30
TransitionBlock,2023-02-03 13:46:20.015,2023-02-03 13:48:20.015,2.0,,,[],,
C2021_A9_22S01,2023-02-03 13:48:20.015,2023-02-03 13:51:40.015,3.33,8h11m36.3s,+14d38m19.7s,{'filter': 'R'},120,1
TransitionBlock,2023-02-03 13:51:40.015,2023-02-03 13:53:00.015,1.33,,,[],,
2003_CC22_22S01,2023-02-03 13:53:40.017,2023-02-03 14:35:40.017,42.0,10h29m15.35s,+13d22m02.2s,{'filter': 'R'},60,18
TransitionBlock,2023-02-03 14:35:40.017,2023-02-03 14:36:40.017,1.0,,,[],,
C2022_A3_22S01,2023-02-03 14:36:40.017,2023-02-03 15:22:40.017,46.0,9h43m58.38s,-3d36m53.8s,{'filter': 'R'},30,25
TransitionBlock,2023-02-03 15:22:40.017,2023-02-03 15:23:40.017,1.0,,,[],,
157P_22S01,2023-02-03 15:23:40.017,2023-02-03 16:09:40.017,46.0,11h09m27.84s,-11d31m18.1s,{'filter': 'R'},30,25
TransitionBlock,2023-02-03 16:09:40.017,2023-02-03 16:12:00.017,2.33,,,[],,
81P_22S01,2023-02-03 16:16:20.023,2023-02-03 16:24:40.023,8.33,15h58m46.38s,-17d24m11.1s,{'filter': 'R'},20,5
TransitionBlock,2023-02-03 16:24:40.023,2023-02-03 16:26:20.023,1.67,,,[],,
A2019_U5_22S01,2023-02-03 16:26:40.023,2023-02-03 17:08:40.023,42.0,13h32m38.37s,+1d06m54.8s,{'filter': 'R'},60,18
