target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
2023_RN3_22S01,2025-01-05 08:59:40.007,2025-01-05 21:59:40.007000,2025-01-05 09:01:40.007,2025-01-05 22:01:40.007000,1.999999999999993,2h04m12.27s,+9d47m41.6s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.06}",120,1
TransitionBlock,2025-01-05 09:01:40.007,2025-01-05 22:01:40.007000,2025-01-05 09:02:00.007,2025-01-05 22:02:00.007000,0.3333333333333588,,,[],,
C2022_JK5_22S01,2025-01-05 09:02:00.007,2025-01-05 22:02:00.007000,2025-01-05 09:04:00.007,2025-01-05 22:04:00.007000,1.999999999999993,2h30m39.46s,+10d33m27.1s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.07}",120,1
TransitionBlock,2025-01-05 09:04:00.007,2025-01-05 22:04:00.007000,2025-01-05 09:06:40.007,2025-01-05 22:06:40.007000,2.6666666666667105,,,[],,
C2022_E3_22S01,2025-01-05 09:06:40.007,2025-01-05 22:06:40.007000,2025-01-05 09:08:40.007,2025-01-05 22:08:40.007000,1.999999999999993,2h08m27.74s,-61d28m10.7s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.31}",120,1
TransitionBlock,2025-01-05 09:08:40.007,2025-01-05 22:08:40.007000,2025-01-05 09:09:40.007,2025-01-05 22:09:40.007000,0.9999999999999964,,,[],,
C2022_A3_22S01,2025-01-05 09:09:40.007,2025-01-05 22:09:40.007000,2025-01-05 09:11:40.007,2025-01-05 22:11:40.007000,1.999999999999993,22h57m51.14s,-62d14m02.8s,"{'filter': 'R', 'magnitude': 19, 'rate (""/min)': 0.54}",120,1
TransitionBlock,2025-01-05 09:11:40.007,2025-01-05 22:11:40.007000,2025-01-05 09:12:40.007,2025-01-05 22:12:40.007000,0.9999999999999964,,,[],,
C2014_UN271_22S01,2025-01-05 09:13:00.007,2025-01-05 22:13:00.007000,2025-01-05 09:15:20.007,2025-01-05 22:15:20.007000,2.3333333333333517,3h36m35.85s,-70d13m04.1s,"{'filter': 'R', 'magnitude': 17, 'rate (""/min)': 0.11}",30,4
TransitionBlock,2025-01-05 09:15:20.007,2025-01-05 22:15:20.007000,2025-01-05 09:16:20.007,2025-01-05 22:16:20.007000,0.9999999999999964,,,[],,
C2024_T5_22S01,2025-01-05 09:16:20.007,2025-01-05 22:16:20.007000,2025-01-05 09:39:00.007,2025-01-05 22:39:00.007000,22.66666666666664,0h57m11.79s,-49d13m00.4s,"{'filter': 'R', 'magnitude': 18, 'rate (""/min)': 0.3}",120,11
TransitionBlock,2025-01-05 09:39:00.007,2025-01-05 22:39:00.007000,2025-01-05 09:39:40.007,2025-01-05 22:39:40.007000,0.6666666666666377,,,[],,
C2019_E3_22S01,2025-01-05 09:39:40.007,2025-01-05 22:39:40.007000,2025-01-05 09:59:00.007,2025-01-05 22:59:00.007000,19.333333333333293,0h45m38.21s,-62d48m23.5s,"{'filter': 'R', 'magnitude': 18, 'rate (""/min)': 0.3}",60,18
TransitionBlock,2025-01-05 09:59:00.007,2025-01-05 22:59:00.007000,2025-01-05 10:02:00.007,2025-01-05 23:02:00.007000,2.9999999999999893,,,[],,
