target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
22P_22S01,2023-01-12 08:57:00.006,2023-01-12 09:33:40.006,36.67,1h08m20.4s,+2d00m48.1s,{'filter': 'R'},120,11
TransitionBlock,2023-01-12 09:33:40.006,2023-01-12 09:36:00.006,2.33,,,[],,
C2014_UN271_22S01,2023-01-12 09:36:00.006,2023-01-12 09:43:00.006,7.0,2h27m56.7s,-60d22m42.3s,{'filter': 'R'},60,3
TransitionBlock,2023-01-12 09:43:00.006,2023-01-12 09:45:00.006,2.0,,,[],,
C2021_Y1_22S01,2023-01-12 09:45:00.006,2023-01-12 09:53:20.006,8.33,3h22m32.5s,-7d11m03.3s,{'filter': 'R'},20,5
TransitionBlock,2023-01-12 09:53:20.006,2023-01-12 09:56:20.006,3.0,,,[],,
C2022_F1_22S01,2023-01-12 09:56:20.006,2023-01-12 09:59:40.006,3.33,21h14m09.28s,-63d24m19.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-12 09:59:40.006,2023-01-12 10:04:40.006,5.0,,,['filter:R to V'],,
2022ucj_22S02,2023-01-12 10:04:40.006,2023-01-12 10:09:00.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1
TransitionBlock,2023-01-12 10:09:00.006,2023-01-12 10:10:40.006,1.67,,,[],,
2022ydv_22S02,2023-01-12 10:10:40.006,2023-01-12 10:15:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-12 10:15:00.006,2023-01-12 10:19:40.006,4.67,,,['filter:V to R'],,
C2021_S3_22S01,2023-01-12 10:21:00.010,2023-01-12 11:11:00.010,50.0,5h33m37.34s,-38d28m33.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-12 11:11:00.010,2023-01-12 11:12:20.010,1.33,,,[],,
C2019_E3_22S01,2023-01-12 11:12:40.011,2023-01-12 11:54:40.011,42.0,6h22m56.03s,-76d33m09.6s,{'filter': 'R'},60,18
TransitionBlock,2023-01-12 11:54:40.011,2023-01-12 11:56:20.011,1.67,,,[],,
C2021_G2_22S01,2023-01-12 11:57:40.013,2023-01-12 12:47:40.013,50.0,9h08m37.09s,-39d04m53.3s,{'filter': 'R'},20,30
TransitionBlock,2023-01-12 12:47:40.013,2023-01-12 12:48:20.013,0.67,,,[],,
C2021_E3_22S01,2023-01-12 12:48:40.015,2023-01-12 13:38:40.015,50.0,8h07m32.86s,-40d12m05.2s,{'filter': 'R'},20,30
TransitionBlock,2023-01-12 13:38:40.015,2023-01-12 13:40:40.015,2.0,,,[],,
C2021_A9_22S01,2023-01-12 13:41:00.017,2023-01-12 13:44:20.017,3.33,8h30m20.76s,+14d09m03.1s,{'filter': 'R'},120,1
TransitionBlock,2023-01-12 13:44:20.017,2023-01-12 13:48:00.017,3.67,,,[],,
C2021_C5_22S01,2023-01-12 13:49:00.017,2023-01-12 14:35:00.017,46.0,15h03m10.99s,-63d20m44.8s,{'filter': 'R'},30,25
TransitionBlock,2023-01-12 14:35:00.017,2023-01-12 14:37:00.017,2.0,,,[],,
C2019_L3_22S01,2023-01-12 14:37:20.019,2023-01-12 15:27:20.019,50.0,9h50m15.49s,-32d23m31.2s,{'filter': 'R'},20,30
TransitionBlock,2023-01-12 15:27:20.019,2023-01-12 15:28:20.019,1.0,,,[],,
97P_22S01,2023-01-12 15:28:20.019,2023-01-12 15:31:40.019,3.33,9h12m28.08s,-3d43m49.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-12 15:31:40.019,2023-01-12 15:32:20.019,0.67,,,[],,
C2022_A3_22S01,2023-01-12 15:32:20.019,2023-01-12 15:39:40.019,7.33,10h09m57.19s,-0d56m14.4s,{'filter': 'R'},30,4
TransitionBlock,2023-01-12 15:39:40.019,2023-01-12 15:41:40.019,2.0,,,[],,
A2019_U5_22S01,2023-01-12 15:46:20.021,2023-01-12 16:28:20.021,42.0,13h48m11.85s,+2d43m11.8s,{'filter': 'R'},60,18
TransitionBlock,2023-01-12 16:28:20.021,2023-01-12 16:29:40.021,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-12 16:30:00.023,2023-01-12 16:36:20.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
