target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-01-14 08:56:00.006,2023-01-14 09:38:00.006,42.0,1h15m17.37s,-17d03m10.3s,{'filter': 'R'},60,18
TransitionBlock,2023-01-14 09:38:00.006,2023-01-14 09:38:40.006,0.67,,,[],,
22P_22S01,2023-01-14 09:38:40.006,2023-01-14 09:42:00.006,3.33,1h10m02.09s,+2d14m35.6s,{'filter': 'R'},120,1
TransitionBlock,2023-01-14 09:42:00.006,2023-01-14 09:43:20.006,1.33,,,[],,
C2021_Y1_22S01,2023-01-14 09:43:20.006,2023-01-14 09:51:40.006,8.33,3h21m08.36s,-7d49m06.4s,{'filter': 'R'},20,5
TransitionBlock,2023-01-14 09:51:40.006,2023-01-14 09:53:40.006,2.0,,,[],,
C2014_UN271_22S01,2023-01-14 09:53:40.006,2023-01-14 10:00:40.006,7.0,2h27m48.1s,-60d18m04.3s,{'filter': 'R'},60,3
TransitionBlock,2023-01-14 10:00:40.006,2023-01-14 10:02:00.006,1.33,,,[],,
C2022_F1_22S01,2023-01-14 10:02:00.006,2023-01-14 10:05:20.006,3.33,21h17m25.09s,-63d06m49.4s,{'filter': 'R'},120,1
TransitionBlock,2023-01-14 10:05:20.006,2023-01-14 10:07:40.006,2.33,,,[],,
C2021_S3_22S01,2023-01-14 10:08:20.009,2023-01-14 10:58:20.009,50.0,5h32m03.55s,-38d24m37.2s,{'filter': 'R'},20,30
TransitionBlock,2023-01-14 10:58:20.009,2023-01-14 10:59:40.009,1.33,,,[],,
C2019_E3_22S01,2023-01-14 11:00:00.011,2023-01-14 11:42:00.011,42.0,6h18m18.65s,-76d31m15.7s,{'filter': 'R'},60,18
TransitionBlock,2023-01-14 11:42:00.011,2023-01-14 11:43:40.011,1.67,,,[],,
C2021_G2_22S01,2023-01-14 11:48:20.013,2023-01-14 12:38:20.013,50.0,9h07m54.17s,-39d10m03.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-14 12:38:20.013,2023-01-14 12:39:00.013,0.67,,,[],,
C2021_E3_22S01,2023-01-14 12:39:20.015,2023-01-14 13:29:20.015,50.0,8h02m36.51s,-39d38m58.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-14 13:29:20.015,2023-01-14 13:31:20.015,2.0,,,[],,
C2021_A9_22S01,2023-01-14 13:31:40.017,2023-01-14 13:35:00.017,3.33,8h28m36.59s,+14d11m42.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-14 13:35:00.017,2023-01-14 13:38:40.017,3.67,,,[],,
C2021_C5_22S01,2023-01-14 13:39:40.017,2023-01-14 14:25:40.017,46.0,15h09m13.43s,-63d52m40.5s,{'filter': 'R'},30,25
TransitionBlock,2023-01-14 14:25:40.017,2023-01-14 14:27:40.017,2.0,,,[],,
C2019_L3_22S01,2023-01-14 14:28:00.019,2023-01-14 15:18:00.019,50.0,9h49m05.38s,-32d40m09.2s,{'filter': 'R'},20,30
TransitionBlock,2023-01-14 15:18:00.019,2023-01-14 15:19:20.019,1.33,,,[],,
97P_22S01,2023-01-14 15:19:20.019,2023-01-14 15:22:40.019,3.33,9h11m19.37s,-3d38m30.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-14 15:22:40.019,2023-01-14 15:23:20.019,0.67,,,[],,
C2022_A3_22S01,2023-01-14 15:23:20.019,2023-01-14 15:30:40.019,7.33,10h07m51.8s,-1d12m36.4s,{'filter': 'R'},30,4
TransitionBlock,2023-01-14 15:30:40.019,2023-01-14 15:33:20.019,2.67,,,[],,
81P_22S01,2023-01-14 15:39:20.021,2023-01-14 15:47:40.021,8.33,15h08m04.68s,-14d56m53.7s,{'filter': 'R'},20,5
TransitionBlock,2023-01-14 15:47:40.021,2023-01-14 15:48:40.021,1.0,,,[],,
A2019_U5_22S01,2023-01-14 15:49:00.022,2023-01-14 16:31:00.022,42.0,13h47m15.89s,+2d33m05s,{'filter': 'R'},60,18
TransitionBlock,2023-01-14 16:31:00.022,2023-01-14 16:32:20.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-14 16:32:40.023,2023-01-14 16:39:00.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
