target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2021_Y1_22S01,2023-01-29 08:42:20.006,2023-01-29 09:32:20.006,50.0,3h15m28.13s,-11d34m11.3s,{'filter': 'R'},20,30
TransitionBlock,2023-01-29 09:32:20.006,2023-01-29 09:33:40.006,1.33,,,[],,
C2021_S3_22S01,2023-01-29 09:33:40.006,2023-01-29 10:23:40.006,50.0,5h22m16.39s,-37d32m17.7s,{'filter': 'R'},20,30
TransitionBlock,2023-01-29 10:23:40.006,2023-01-29 10:25:00.006,1.33,,,[],,
C2014_UN271_22S01,2023-01-29 10:25:00.006,2023-01-29 10:32:00.006,7.0,2h27m41.2s,-59d43m00.1s,{'filter': 'R'},60,3
TransitionBlock,2023-01-29 10:32:00.006,2023-01-29 10:33:00.006,1.0,,,[],,
C2017_K2_22S01,2023-01-29 10:33:00.006,2023-01-29 11:23:00.006,50.0,22h24m34.23s,-70d39m54.1s,{'filter': 'R'},20,30
TransitionBlock,2023-01-29 11:23:00.006,2023-01-29 11:26:40.006,3.67,,,['filter:R to V'],,
2021aefx_22S02,2023-01-29 11:26:40.006,2023-01-29 11:31:00.006,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2023-01-29 11:31:00.006,2023-01-29 11:35:20.006,4.33,,,['filter:V to R'],,
C2022_R6_22S01,2023-01-29 11:35:20.006,2023-01-29 11:38:40.006,3.33,3h12m14.24s,-39d43m34.4s,{'filter': 'R'},120,1
TransitionBlock,2023-01-29 11:38:40.006,2023-01-29 11:42:40.006,4.0,,,['filter:R to V'],,
2022ydv_22S02,2023-01-29 11:42:40.006,2023-01-29 11:47:00.006,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2023-01-29 11:47:00.006,2023-01-29 11:53:40.006,6.67,,,['filter:V to R'],,
C2021_A9_22S01,2023-01-29 11:59:40.013,2023-01-29 12:03:00.013,3.33,8h15m55.73s,+14d31m32s,{'filter': 'R'},120,1
TransitionBlock,2023-01-29 12:03:00.013,2023-01-29 12:05:00.013,2.0,,,[],,
C2021_G2_22S01,2023-01-29 12:05:20.013,2023-01-29 12:55:20.013,50.0,9h02m05.29s,-39d29m18.4s,{'filter': 'R'},20,30
TransitionBlock,2023-01-29 12:55:20.013,2023-01-29 12:56:40.013,1.33,,,[],,
C2022_A3_22S01,2023-01-29 12:57:00.015,2023-01-29 13:43:00.015,46.0,9h50m37.34s,-3d02m43.9s,{'filter': 'R'},30,25
TransitionBlock,2023-01-29 13:43:00.015,2023-01-29 13:43:40.015,0.67,,,[],,
C2022_E2_22S01,2023-01-29 13:44:00.017,2023-01-29 14:34:00.017,50.0,10h03m41.96s,-18d45m51.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-29 14:34:00.017,2023-01-29 14:37:00.017,3.0,,,[],,
99P_22S01,2023-01-29 15:19:40.021,2023-01-29 16:01:40.021,42.0,16h07m35.97s,-22d42m35.4s,{'filter': 'R'},60,18
TransitionBlock,2023-01-29 16:01:40.021,2023-01-29 16:03:40.021,2.0,,,[],,
C2021_P4_22S01,2023-01-29 16:04:00.022,2023-01-29 16:50:00.022,46.0,20h05m51.07s,-64d22m04.8s,{'filter': 'R'},30,25
TransitionBlock,2023-01-29 16:50:00.022,2023-01-29 16:52:20.022,2.33,,,[],,
81P_22S01,2023-01-29 16:52:40.024,2023-01-29 17:01:00.024,8.33,15h46m19.89s,-16d53m37.6s,{'filter': 'R'},20,5
