target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
2022jzx_22S05,2022-12-12 08:50:40.006,2022-12-12 08:57:00.006,6.33e+00,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-12 08:57:00.006,2022-12-12 08:57:20.006,0.33,,,[],,,1
22P_22S01,2022-12-12 08:57:20.006,2022-12-12 09:39:20.006,42.0,0h49m39.68s,-0d56m08.3s,{'filter': 'R'},60,18,1
TransitionBlock,2022-12-12 09:39:20.006,2022-12-12 09:41:40.006,2.33,,,[],,,1
C2014_UN271_22S01,2022-12-12 09:44:40.008,2022-12-12 09:51:40.008,7.0,2h33m32.54s,-61d16m14.4s,{'filter': 'R'},60,3,1
TransitionBlock,2022-12-12 09:51:40.008,2022-12-12 09:54:00.008,2.33,,,[],,,1
382P_22S01,2022-12-12 09:54:00.008,2022-12-12 09:57:20.008,3.33,0h34m41.06s,-0d38m35.1s,{'filter': 'R'},120,1,2
TransitionBlock,2022-12-12 09:57:20.008,2022-12-12 09:58:00.008,0.67,,,[],,,2
C2021_T4_22S01,2022-12-12 09:58:00.008,2022-12-12 10:48:00.008,50.0,0h58m54.2s,-13d06m31s,{'filter': 'R'},20,30,2
TransitionBlock,2022-12-12 10:48:00.008,2022-12-12 10:49:40.008,1.67,,,[],,,2
C2021_Y1_22S01,2022-12-12 10:50:00.011,2022-12-12 11:40:00.011,50.0,3h59m58.23s,+5d41m18.2s,{'filter': 'R'},20,30,3
TransitionBlock,2022-12-12 11:40:00.011,2022-12-12 11:43:40.011,3.67,,,[],,,3
C2022_F1_22S01,2022-12-12 11:43:40.011,2022-12-12 12:20:20.011,36.67,20h21m35.2s,-67d57m48.9s,{'filter': 'R'},120,11,4
TransitionBlock,2022-12-12 12:20:20.011,2022-12-12 12:24:40.011,4.33,,,['filter:R to V'],,,4
2022ydv_22S02,2022-12-12 12:24:40.011,2022-12-12 12:29:00.011,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,4
TransitionBlock,2022-12-12 12:29:00.011,2022-12-12 12:30:20.011,1.33,,,[],,,4
2022ydu_22S02,2022-12-12 12:30:20.011,2022-12-12 12:34:40.011,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,4
TransitionBlock,2022-12-12 12:34:40.011,2022-12-12 12:35:00.011,0.33,,,[],,,4
2022tiv_22S02,2022-12-12 12:35:00.011,2022-12-12 12:39:20.011,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,4
TransitionBlock,2022-12-12 12:39:20.011,2022-12-12 12:46:20.011,7.0,,,['filter:V to R'],,,4
C2022_E2_22S01,2022-12-12 12:49:40.015,2022-12-12 13:35:40.015,46.0,10h31m15s,-20d01m53.8s,{'filter': 'R'},30,25,5
TransitionBlock,2022-12-12 13:35:40.015,2022-12-12 13:36:40.015,1.0,,,[],,,5
C2021_G2_22S01,2022-12-12 13:37:00.017,2022-12-12 14:23:00.017,46.0,9h14m47.39s,-36d50m36.8s,{'filter': 'R'},30,25,6
TransitionBlock,2022-12-12 14:23:00.017,2022-12-12 14:23:20.017,0.33,,,[],,,6
C2021_E3_22S01,2022-12-12 14:23:40.018,2022-12-12 15:13:40.018,50.0,9h19m30.32s,-43d59m17.6s,{'filter': 'R'},20,30,7
TransitionBlock,2022-12-12 15:13:40.018,2022-12-12 15:15:20.018,1.67,,,[],,,7
C2021_C5_22S01,2022-12-12 15:15:40.020,2022-12-12 16:01:40.020,46.0,13h45m32.06s,-54d42m57.7s,{'filter': 'R'},30,25,8
TransitionBlock,2022-12-12 16:01:40.020,2022-12-12 16:05:00.020,3.33,,,[],,,8
C2021_A9_22S01,2022-12-12 16:05:20.022,2022-12-12 16:08:40.022,3.33,8h52m55.81s,+13d39m40.8s,{'filter': 'R'},120,1,8
TransitionBlock,2022-12-12 16:08:40.022,2022-12-12 16:09:40.022,1.0,,,[],,,8
2003_CC22_22S01,2022-12-12 16:09:40.022,2022-12-12 16:13:00.022,3.33,10h31m50.09s,+11d39m38.5s,{'filter': 'R'},120,1,8
